target_datetime,date,slot_id,load_kw,interval_end,LOAD_W1,LOAD_W1_source_end,LOAD_D1,LOAD_D1_source_end,fixed_price,common_history_available
2025-01-01 00:00:00,2025-01-01,1,3529.7296,2025-01-01 00:10:00,,2024-12-25 00:10:00,,2024-12-31 00:10:00,0.4248,False
2025-01-01 00:10:00,2025-01-01,2,3609.5287,2025-01-01 00:20:00,,2024-12-25 00:20:00,,2024-12-31 00:20:00,0.4245,False
2025-01-01 00:20:00,2025-01-01,3,3726.56,2025-01-01 00:30:00,,2024-12-25 00:30:00,,2024-12-31 00:30:00,0.4269,False
2025-01-01 00:30:00,2025-01-01,4,3510.6311,2025-01-01 00:40:00,,2024-12-25 00:40:00,,2024-12-31 00:40:00,0.4272,False
2025-01-01 00:40:00,2025-01-01,5,3502.5625,2025-01-01 00:50:00,,2024-12-25 00:50:00,,2024-12-31 00:50:00,0.4271,False
2025-01-01 00:50:00,2025-01-01,6,3787.01,2025-01-01 01:00:00,,2024-12-25 01:00:00,,2024-12-31 01:00:00,0.4285,False
2025-01-01 01:00:00,2025-01-01,7,3900.3205,2025-01-01 01:10:00,,2024-12-25 01:10:00,,2024-12-31 01:10:00,0.4311,False
2025-01-01 01:10:00,2025-01-01,8,3916.8376,2025-01-01 01:20:00,,2024-12-25 01:20:00,,2024-12-31 01:20:00,0.4302,False
2025-01-01 01:20:00,2025-01-01,9,3817.28,2025-01-01 01:30:00,,2024-12-25 01:30:00,,2024-12-31 01:30:00,0.4279,False
2025-01-01 01:30:00,2025-01-01,10,3533.0136,2025-01-01 01:40:00,,2024-12-25 01:40:00,,2024-12-31 01:40:00,0.4312,False
2025-01-01 01:40:00,2025-01-01,11,3694.6613,2025-01-01 01:50:00,,2024-12-25 01:50:00,,2024-12-31 01:50:00,0.4333,False
2025-01-01 01:50:00,2025-01-01,12,4064.73,2025-01-01 02:00:00,,2024-12-25 02:00:00,,2024-12-31 02:00:00,0.4311,False
2025-01-01 02:00:00,2025-01-01,13,3810.671,2025-01-01 02:10:00,,2024-12-25 02:10:00,,2024-12-31 02:10:00,0.4293,False
2025-01-01 02:10:00,2025-01-01,14,3844.9495,2025-01-01 02:20:00,,2024-12-25 02:20:00,,2024-12-31 02:20:00,0.4324,False
2025-01-01 02:20:00,2025-01-01,15,4234.62,2025-01-01 02:30:00,,2024-12-25 02:30:00,,2024-12-31 02:30:00,0.4367,False
2025-01-01 02:30:00,2025-01-01,16,4109.9755,2025-01-01 02:40:00,,2024-12-25 02:40:00,,2024-12-31 02:40:00,0.4348,False
2025-01-01 02:40:00,2025-01-01,17,3996.8945,2025-01-01 02:50:00,,2024-12-25 02:50:00,,2024-12-31 02:50:00,0.4335,False
2025-01-01 02:50:00,2025-01-01,18,4102.19,2025-01-01 03:00:00,,2024-12-25 03:00:00,,2024-12-31 03:00:00,0.4357,False
2025-01-01 03:00:00,2025-01-01,19,4086.0577,2025-01-01 03:10:00,,2024-12-25 03:10:00,,2024-12-31 03:10:00,0.4374,False
2025-01-01 03:10:00,2025-01-01,20,4133.7626,2025-01-01 03:20:00,,2024-12-25 03:20:00,,2024-12-31 03:20:00,0.4371,False
2025-01-01 03:20:00,2025-01-01,21,4179.18,2025-01-01 03:30:00,,2024-12-25 03:30:00,,2024-12-31 03:30:00,0.4356,False
