发行时刻,诊断类型,前缀统计,未来统计,样本数,Pearson,Spearman,描述性OLS斜率,描述性OLS截距,用途
6,残差持续性,mean,mean,358,0.930975629830307,0.497295103908575,0.917350158927247,-0.779312527800358,仅诊断，不部署为校正系数
6,残差持续性,mean,median,358,0.928952368932555,0.476608719770568,0.926593785211154,-1.10456663201436,仅诊断，不部署为校正系数
6,残差持续性,median,mean,358,0.92028204260094,0.478163827426989,0.90770802247794,-0.919774332767203,仅诊断，不部署为校正系数
6,残差持续性,median,median,358,0.919544542148647,0.471757704497899,0.91811504805247,-1.24345394603469,仅诊断，不部署为校正系数
6,残差持续性,last6_mean,mean,358,0.672087058004204,0.428758167028658,0.636205292757202,-1.04269441686116,仅诊断，不部署为校正系数
6,残差持续性,last6_mean,median,358,0.658869720612696,0.396844198534365,0.631350317338671,-1.40654926332067,仅诊断，不部署为校正系数
6,尺度持续性,mean,mean,358,0.913268065254688,0.493400796306135,0.682120984100548,0.317704106141083,仅诊断，不部署为校正系数
6,尺度持续性,mean,median,358,0.925630163023153,0.479208935095178,0.665754640660496,0.333005969253613,仅诊断，不部署为校正系数
6,尺度持续性,median,mean,358,0.898767562010689,0.485299642646931,0.674334897455253,0.326328046613969,仅诊断，不部署为校正系数
6,尺度持续性,median,median,358,0.912542507999458,0.484910734963598,0.659317974085883,0.34026008504891,仅诊断，不部署为校正系数
6,尺度持续性,last6_mean,mean,358,0.679882897123221,0.418722151875643,0.501849756548625,0.498518267964378,仅诊断，不部署为校正系数
6,尺度持续性,last6_mean,median,358,0.692515085413828,0.403085552236487,0.492246237840804,0.50704199711116,仅诊断，不部署为校正系数
12,残差持续性,mean,mean,358,0.763107626561806,0.409928967463178,1.02890455474956,0.00308232321981317,仅诊断，不部署为校正系数
12,残差持续性,mean,median,358,0.748593540213044,0.367102045374568,1.01956029462427,0.900496805996638,仅诊断，不部署为校正系数
12,残差持续性,median,mean,358,0.732250865456519,0.382977691162053,0.995918741163056,-0.143360329715202,仅诊断，不部署为校正系数
12,残差持续性,median,median,358,0.718024966979419,0.363923830063296,0.986463680688923,0.754219487856385,仅诊断，不部署为校正系数
12,残差持续性,last6_mean,mean,358,0.614574314130727,0.324379477129704,0.653324525121196,0.451392437606307,仅诊断，不部署为校正系数
12,残差持续性,last6_mean,median,358,0.600382772425655,0.296727800844743,0.644703935676694,1.3306635832555,仅诊断，不部署为校正系数
12,尺度持续性,mean,mean,358,0.76640743951766,0.415944875016657,0.911499704184924,0.088738325968055,仅诊断，不部署为校正系数
12,尺度持续性,mean,median,358,0.7658074036193,0.377771245128356,0.882226599246393,0.117190728031342,仅诊断，不部署为校正系数
12,尺度持续性,median,mean,358,0.705244144227611,0.398759967720924,0.885022066869401,0.116248762275846,仅诊断，不部署为校正系数
12,尺度持续性,median,median,358,0.70672902809531,0.381794752727813,0.859075447791299,0.141342049547428,仅诊断，不部署为校正系数
12,尺度持续性,last6_mean,mean,358,0.589729698723752,0.295107831651358,0.719046997923906,0.282068932737443,仅诊断，不部署为校正系数
12,尺度持续性,last6_mean,median,358,0.593452904227662,0.293166693234615,0.70089716657807,0.299370128456384,仅诊断，不部署为校正系数
18,残差持续性,mean,mean,358,0.799487296715429,0.429204351633746,1.10825536336857,1.06177475815348,仅诊断，不部署为校正系数
18,残差持续性,mean,median,358,0.790217593017046,0.378834660488431,1.11301808522843,1.00072035076965,仅诊断，不部署为校正系数
18,残差持续性,median,mean,358,0.778720491827887,0.418318598038802,1.08201352594581,1.36162472919367,仅诊断，不部署为校正系数
18,残差持续性,median,median,358,0.769163570037625,0.378686106645705,1.08591803429106,1.29927719620917,仅诊断，不部署为校正系数
18,残差持续性,last6_mean,mean,358,0.863399036158003,0.389629921777771,0.747719231105316,-0.516623337935458,仅诊断，不部署为校正系数
18,残差持续性,last6_mean,median,358,0.853011923870269,0.358789568643318,0.750601357965222,-0.585288824386433,仅诊断，不部署为校正系数
18,尺度持续性,mean,mean,358,0.774322345308621,0.419861151849358,1.15152511982616,-0.150837827069028,仅诊断，不部署为校正系数
18,尺度持续性,mean,median,358,0.766651079123303,0.367952829970319,1.14330768241398,-0.143979880873669,仅诊断，不部署为校正系数
18,尺度持续性,median,mean,358,0.741585828887332,0.416013136553543,1.13464091822026,-0.132722370256744,仅诊断，不部署为校正系数
18,尺度持续性,median,median,358,0.73533597222892,0.378475045112114,1.12822723048052,-0.127676496154269,仅诊断，不部署为校正系数
18,尺度持续性,last6_mean,mean,358,0.830864498041157,0.391488414042575,0.799414899428034,0.201285426314774,仅诊断，不部署为校正系数
18,尺度持续性,last6_mean,median,358,0.82318884364742,0.368031553045426,0.794246405989727,0.205093728155709,仅诊断，不部署为校正系数
