issue_hour,forecast_slot,delivery_day_offset,delivery_slot_id,physical_start,physical_end,left_forecast_node_hour,right_forecast_node_hour,right_node_weight_for_interval_average,energy_multiplier_hours,left_node_source,is_current_day_contract
0,1,0,1,0:00,0:10,0,1,1/12,1/6,已完成槽观测代理；首日首发行用h1,True
0,2,0,2,0:10,0:20,0,1,1/4,1/6,已完成槽观测代理；首日首发行用h1,True
0,3,0,3,0:20,0:30,0,1,5/12,1/6,已完成槽观测代理；首日首发行用h1,True
0,4,0,4,0:30,0:40,0,1,7/12,1/6,已完成槽观测代理；首日首发行用h1,True
0,5,0,5,0:40,0:50,0,1,3/4,1/6,已完成槽观测代理；首日首发行用h1,True
0,6,0,6,0:50,1:00,0,1,11/12,1/6,已完成槽观测代理；首日首发行用h1,True
0,7,0,7,1:00,1:10,1,2,1/12,1/6,同一发行的小时预报,True
0,8,0,8,1:10,1:20,1,2,1/4,1/6,同一发行的小时预报,True
0,9,0,9,1:20,1:30,1,2,5/12,1/6,同一发行的小时预报,True
0,10,0,10,1:30,1:40,1,2,7/12,1/6,同一发行的小时预报,True
0,11,0,11,1:40,1:50,1,2,3/4,1/6,同一发行的小时预报,True
0,12,0,12,1:50,2:00,1,2,11/12,1/6,同一发行的小时预报,True
0,13,0,13,2:00,2:10,2,3,1/12,1/6,同一发行的小时预报,True
0,14,0,14,2:10,2:20,2,3,1/4,1/6,同一发行的小时预报,True
0,15,0,15,2:20,2:30,2,3,5/12,1/6,同一发行的小时预报,True
0,16,0,16,2:30,2:40,2,3,7/12,1/6,同一发行的小时预报,True
0,17,0,17,2:40,2:50,2,3,3/4,1/6,同一发行的小时预报,True
0,18,0,18,2:50,3:00,2,3,11/12,1/6,同一发行的小时预报,True
0,19,0,19,3:00,3:10,3,4,1/12,1/6,同一发行的小时预报,True
0,20,0,20,3:10,3:20,3,4,1/4,1/6,同一发行的小时预报,True
0,21,0,21,3:20,3:30,3,4,5/12,1/6,同一发行的小时预报,True
0,22,0,22,3:30,3:40,3,4,7/12,1/6,同一发行的小时预报,True
0,23,0,23,3:40,3:50,3,4,3/4,1/6,同一发行的小时预报,True
0,24,0,24,3:50,4:00,3,4,11/12,1/6,同一发行的小时预报,True
0,25,0,25,4:00,4:10,4,5,1/12,1/6,同一发行的小时预报,True
0,26,0,26,4:10,4:20,4,5,1/4,1/6,同一发行的小时预报,True
0,27,0,27,4:20,4:30,4,5,5/12,1/6,同一发行的小时预报,True
0,28,0,28,4:30,4:40,4,5,7/12,1/6,同一发行的小时预报,True
0,29,0,29,4:40,4:50,4,5,3/4,1/6,同一发行的小时预报,True
0,30,0,30,4:50,5:00,4,5,11/12,1/6,同一发行的小时预报,True
0,31,0,31,5:00,5:10,5,6,1/12,1/6,同一发行的小时预报,True
0,32,0,32,5:10,5:20,5,6,1/4,1/6,同一发行的小时预报,True
0,33,0,33,5:20,5:30,5,6,5/12,1/6,同一发行的小时预报,True
0,34,0,34,5:30,5:40,5,6,7/12,1/6,同一发行的小时预报,True
0,35,0,35,5:40,5:50,5,6,3/4,1/6,同一发行的小时预报,True
0,36,0,36,5:50,6:00,5,6,11/12,1/6,同一发行的小时预报,True
0,37,0,37,6:00,6:10,6,7,1/12,1/6,同一发行的小时预报,True
0,38,0,38,6:10,6:20,6,7,1/4,1/6,同一发行的小时预报,True
0,39,0,39,6:20,6:30,6,7,5/12,1/6,同一发行的小时预报,True
0,40,0,40,6:30,6:40,6,7,7/12,1/6,同一发行的小时预报,True
0,41,0,41,6:40,6:50,6,7,3/4,1/6,同一发行的小时预报,True
0,42,0,42,6:50,7:00,6,7,11/12,1/6,同一发行的小时预报,True
0,43,0,43,7:00,7:10,7,8,1/12,1/6,同一发行的小时预报,True
0,44,0,44,7:10,7:20,7,8,1/4,1/6,同一发行的小时预报,True
0,45,0,45,7:20,7:30,7,8,5/12,1/6,同一发行的小时预报,True
0,46,0,46,7:30,7:40,7,8,7/12,1/6,同一发行的小时预报,True
0,47,0,47,7:40,7:50,7,8,3/4,1/6,同一发行的小时预报,True
0,48,0,48,7:50,8:00,7,8,11/12,1/6,同一发行的小时预报,True
0,49,0,49,8:00,8:10,8,9,1/12,1/6,同一发行的小时预报,True
0,50,0,50,8:10,8:20,8,9,1/4,1/6,同一发行的小时预报,True
0,51,0,51,8:20,8:30,8,9,5/12,1/6,同一发行的小时预报,True
