slot_id,source_marker,excel_column,template_label,physical_interval,plan_semantics,adjustment_semantics,latest_possible_issue_hour
1,0:10,B,0:10-0:20,0:00-0:10,g0_kwh,"a_final_kwh, not delta",0
2,0:20,C,0:20-0:30,0:10-0:20,g0_kwh,"a_final_kwh, not delta",0
3,0:30,D,0:30-0:40,0:20-0:30,g0_kwh,"a_final_kwh, not delta",0
4,0:40,E,0:40-0:50,0:30-0:40,g0_kwh,"a_final_kwh, not delta",0
5,0:50,F,0:50-1:00,0:40-0:50,g0_kwh,"a_final_kwh, not delta",0
6,1:00,G,1:00-1:10,0:50-1:00,g0_kwh,"a_final_kwh, not delta",0
7,1:10,H,1:10-1:20,1:00-1:10,g0_kwh,"a_final_kwh, not delta",0
8,1:20,I,1:20-1:30,1:10-1:20,g0_kwh,"a_final_kwh, not delta",0
9,1:30,J,1:30-1:40,1:20-1:30,g0_kwh,"a_final_kwh, not delta",0
10,1:40,K,1:40-1:50,1:30-1:40,g0_kwh,"a_final_kwh, not delta",0
11,1:50,L,1:50-2:00,1:40-1:50,g0_kwh,"a_final_kwh, not delta",0
12,2:00,M,2:00-2:10,1:50-2:00,g0_kwh,"a_final_kwh, not delta",0
13,2:10,N,2:10-2:20,2:00-2:10,g0_kwh,"a_final_kwh, not delta",0
14,2:20,O,2:20-2:30,2:10-2:20,g0_kwh,"a_final_kwh, not delta",0
15,2:30,P,2:30-2:40,2:20-2:30,g0_kwh,"a_final_kwh, not delta",0
16,2:40,Q,2:40-2:50,2:30-2:40,g0_kwh,"a_final_kwh, not delta",0
17,2:50,R,2:50-3:00,2:40-2:50,g0_kwh,"a_final_kwh, not delta",0
18,3:00,S,3:00-3:10,2:50-3:00,g0_kwh,"a_final_kwh, not delta",0
19,3:10,T,3:10-3:20,3:00-3:10,g0_kwh,"a_final_kwh, not delta",0
20,3:20,U,3:20-3:30,3:10-3:20,g0_kwh,"a_final_kwh, not delta",0
21,3:30,V,3:30-3:40,3:20-3:30,g0_kwh,"a_final_kwh, not delta",0
22,3:40,W,3:40-3:50,3:30-3:40,g0_kwh,"a_final_kwh, not delta",0
23,3:50,X,3:50-4:00,3:40-3:50,g0_kwh,"a_final_kwh, not delta",0
24,4:00,Y,4:00-4:10,3:50-4:00,g0_kwh,"a_final_kwh, not delta",0
25,4:10,Z,4:10-4:20,4:00-4:10,g0_kwh,"a_final_kwh, not delta",0
26,4:20,AA,4:20-4:30,4:10-4:20,g0_kwh,"a_final_kwh, not delta",0
27,4:30,AB,4:30-4:40,4:20-4:30,g0_kwh,"a_final_kwh, not delta",0
28,4:40,AC,4:40-4:50,4:30-4:40,g0_kwh,"a_final_kwh, not delta",0
29,4:50,AD,4:50-5:00,4:40-4:50,g0_kwh,"a_final_kwh, not delta",0
30,5:00,AE,5:00-5:10,4:50-5:00,g0_kwh,"a_final_kwh, not delta",0
31,5:10,AF,5:10-5:20,5:00-5:10,g0_kwh,"a_final_kwh, not delta",0
32,5:20,AG,5:20-5:30,5:10-5:20,g0_kwh,"a_final_kwh, not delta",0
33,5:30,AH,5:30-5:40,5:20-5:30,g0_kwh,"a_final_kwh, not delta",0
34,5:40,AI,5:40-5:50,5:30-5:40,g0_kwh,"a_final_kwh, not delta",0
35,5:50,AJ,5:50-6:00,5:40-5:50,g0_kwh,"a_final_kwh, not delta",0
36,6:00,AK,6:00-6:10,5:50-6:00,g0_kwh,"a_final_kwh, not delta",0
37,6:10,AL,6:10-6:20,6:00-6:10,g0_kwh,"a_final_kwh, not delta",6
38,6:20,AM,6:20-6:30,6:10-6:20,g0_kwh,"a_final_kwh, not delta",6
39,6:30,AN,6:30-6:40,6:20-6:30,g0_kwh,"a_final_kwh, not delta",6
40,6:40,AO,6:40-6:50,6:30-6:40,g0_kwh,"a_final_kwh, not delta",6
41,6:50,AP,6:50-7:00,6:40-6:50,g0_kwh,"a_final_kwh, not delta",6
42,7:00,AQ,7:0-7:10,6:50-7:00,g0_kwh,"a_final_kwh, not delta",6
43,7:10,AR,7:10-7:20,7:00-7:10,g0_kwh,"a_final_kwh, not delta",6
44,7:20,AS,7:20-7:30,7:10-7:20,g0_kwh,"a_final_kwh, not delta",6
45,7:30,AT,7:30-7:40,7:20-7:30,g0_kwh,"a_final_kwh, not delta",6
46,7:40,AU,7:40-7:50,7:30-7:40,g0_kwh,"a_final_kwh, not delta",6
47,7:50,AV,7:50-8:00,7:40-7:50,g0_kwh,"a_final_kwh, not delta",6
48,8:00,AW,8:00-8:10,7:50-8:00,g0_kwh,"a_final_kwh, not delta",6
49,8:10,AX,8:10-8:20,8:00-8:10,g0_kwh,"a_final_kwh, not delta",6
50,8:20,AY,8:20-8:30,8:10-8:20,g0_kwh,"a_final_kwh, not delta",6
51,8:30,AZ,8:30-8:40,8:20-8:30,g0_kwh,"a_final_kwh, not delta",6
52,8:40,BA,8:40-8:50,8:30-8:40,g0_kwh,"a_final_kwh, not delta",6
53,8:50,BB,8:50-9:00,8:40-8:50,g0_kwh,"a_final_kwh, not delta",6
54,9:00,BC,9:00-9:10,8:50-9:00,g0_kwh,"a_final_kwh, not delta",6
55,9:10,BD,9:10-9:20,9:00-9:10,g0_kwh,"a_final_kwh, not delta",6
56,9:20,BE,9:20-9:30,9:10-9:20,g0_kwh,"a_final_kwh, not delta",6
57,9:30,BF,9:30-9:40,9:20-9:30,g0_kwh,"a_final_kwh, not delta",6
58,9:40,BG,9:40-9:50,9:30-9:40,g0_kwh,"a_final_kwh, not delta",6
59,9:50,BH,9:50-10:00,9:40-9:50,g0_kwh,"a_final_kwh, not delta",6
60,10:00,BI,10:00-10:10,9:50-10:00,g0_kwh,"a_final_kwh, not delta",6
61,10:10,BJ,10:10-10:20,10:00-10:10,g0_kwh,"a_final_kwh, not delta",6
62,10:20,BK,10:20-10:30,10:10-10:20,g0_kwh,"a_final_kwh, not delta",6
63,10:30,BL,10:30-10:40,10:20-10:30,g0_kwh,"a_final_kwh, not delta",6
64,10:40,BM,10:40-10:50,10:30-10:40,g0_kwh,"a_final_kwh, not delta",6
65,10:50,BN,10:50-11:00,10:40-10:50,g0_kwh,"a_final_kwh, not delta",6
66,11:00,BO,11:00-11:10,10:50-11:00,g0_kwh,"a_final_kwh, not delta",6
67,11:10,BP,11:10-11:20,11:00-11:10,g0_kwh,"a_final_kwh, not delta",6
68,11:20,BQ,11:20-11:30,11:10-11:20,g0_kwh,"a_final_kwh, not delta",6
69,11:30,BR,11:30-11:40,11:20-11:30,g0_kwh,"a_final_kwh, not delta",6
70,11:40,BS,11:40-11:50,11:30-11:40,g0_kwh,"a_final_kwh, not delta",6
71,11:50,BT,11:50-12:00,11:40-11:50,g0_kwh,"a_final_kwh, not delta",6
72,12:00,BU,12:00-12:10,11:50-12:00,g0_kwh,"a_final_kwh, not delta",6
73,12:10,BV,12:10-12:20,12:00-12:10,g0_kwh,"a_final_kwh, not delta",12
74,12:20,BW,12:20-12:30,12:10-12:20,g0_kwh,"a_final_kwh, not delta",12
75,12:30,BX,12:30-12:40,12:20-12:30,g0_kwh,"a_final_kwh, not delta",12
76,12:40,BY,12:40-12:50,12:30-12:40,g0_kwh,"a_final_kwh, not delta",12
77,12:50,BZ,12:50-13:00,12:40-12:50,g0_kwh,"a_final_kwh, not delta",12
78,13:00,CA,13:00-13:10,12:50-13:00,g0_kwh,"a_final_kwh, not delta",12
79,13:10,CB,13:10-13:20,13:00-13:10,g0_kwh,"a_final_kwh, not delta",12
80,13:20,CC,13:20-13:30,13:10-13:20,g0_kwh,"a_final_kwh, not delta",12
81,13:30,CD,13:30-13:40,13:20-13:30,g0_kwh,"a_final_kwh, not delta",12
82,13:40,CE,13:40-13:50,13:30-13:40,g0_kwh,"a_final_kwh, not delta",12
83,13:50,CF,13:50-14:00,13:40-13:50,g0_kwh,"a_final_kwh, not delta",12
84,14:00,CG,14:00-14:10,13:50-14:00,g0_kwh,"a_final_kwh, not delta",12
85,14:10,CH,14:10-14:20,14:00-14:10,g0_kwh,"a_final_kwh, not delta",12
86,14:20,CI,14:20-14:30,14:10-14:20,g0_kwh,"a_final_kwh, not delta",12
87,14:30,CJ,14:30-14:40,14:20-14:30,g0_kwh,"a_final_kwh, not delta",12
88,14:40,CK,14:40-14:50,14:30-14:40,g0_kwh,"a_final_kwh, not delta",12
89,14:50,CL,14:50-15:00,14:40-14:50,g0_kwh,"a_final_kwh, not delta",12
90,15:00,CM,15:00-15:10,14:50-15:00,g0_kwh,"a_final_kwh, not delta",12
91,15:10,CN,15:10-15:20,15:00-15:10,g0_kwh,"a_final_kwh, not delta",12
92,15:20,CO,15:20-15:30,15:10-15:20,g0_kwh,"a_final_kwh, not delta",12
93,15:30,CP,15:30-15:40,15:20-15:30,g0_kwh,"a_final_kwh, not delta",12
94,15:40,CQ,15:40-15:50,15:30-15:40,g0_kwh,"a_final_kwh, not delta",12
95,15:50,CR,15:50-16:00,15:40-15:50,g0_kwh,"a_final_kwh, not delta",12
96,16:00,CS,16:00-16:10,15:50-16:00,g0_kwh,"a_final_kwh, not delta",12
97,16:10,CT,16:10-16:20,16:00-16:10,g0_kwh,"a_final_kwh, not delta",12
98,16:20,CU,16:20-16:30,16:10-16:20,g0_kwh,"a_final_kwh, not delta",12
99,16:30,CV,16:30-16:40,16:20-16:30,g0_kwh,"a_final_kwh, not delta",12
100,16:40,CW,16:40-16:50,16:30-16:40,g0_kwh,"a_final_kwh, not delta",12
101,16:50,CX,16:50-17:00,16:40-16:50,g0_kwh,"a_final_kwh, not delta",12
102,17:00,CY,17:00-17:10,16:50-17:00,g0_kwh,"a_final_kwh, not delta",12
103,17:10,CZ,17:10-17:20,17:00-17:10,g0_kwh,"a_final_kwh, not delta",12
104,17:20,DA,17:20-17:30,17:10-17:20,g0_kwh,"a_final_kwh, not delta",12
105,17:30,DB,17:30-17:40,17:20-17:30,g0_kwh,"a_final_kwh, not delta",12
106,17:40,DC,17:40-17:50,17:30-17:40,g0_kwh,"a_final_kwh, not delta",12
107,17:50,DD,17:50-18:00,17:40-17:50,g0_kwh,"a_final_kwh, not delta",12
108,18:00,DE,18:00-18:10,17:50-18:00,g0_kwh,"a_final_kwh, not delta",12
109,18:10,DF,18:10-18:20,18:00-18:10,g0_kwh,"a_final_kwh, not delta",18
110,18:20,DG,18:20-18:30,18:10-18:20,g0_kwh,"a_final_kwh, not delta",18
111,18:30,DH,18:30-18:40,18:20-18:30,g0_kwh,"a_final_kwh, not delta",18
112,18:40,DI,18:40-18:50,18:30-18:40,g0_kwh,"a_final_kwh, not delta",18
113,18:50,DJ,18:50-19:00,18:40-18:50,g0_kwh,"a_final_kwh, not delta",18
114,19:00,DK,19:00-19:10,18:50-19:00,g0_kwh,"a_final_kwh, not delta",18
115,19:10,DL,19:10-19:20,19:00-19:10,g0_kwh,"a_final_kwh, not delta",18
116,19:20,DM,19:20-19:30,19:10-19:20,g0_kwh,"a_final_kwh, not delta",18
117,19:30,DN,19:30-19:40,19:20-19:30,g0_kwh,"a_final_kwh, not delta",18
118,19:40,DO,19:40-19:50,19:30-19:40,g0_kwh,"a_final_kwh, not delta",18
119,19:50,DP,19:50-20:00,19:40-19:50,g0_kwh,"a_final_kwh, not delta",18
