slot_id,source_marker,physical_interval,interval_start_hour,interval_end_hour,duration_hours,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,purchase_kwh,charge_bus_kwh,discharge_bus_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,purchase_cost_yuan,energy_balance_residual_kwh,soc_transition_residual_kwh
1,0:10,0:00-0:10,0.0000000000,0.1666666667,0.1666666667,0.4248000000,3439.8466000000,0.0000000000,573.3077666667,0.0000000000,1406.6411000000,833.3333333333,0.0000000000,0.0000000000,6000.0000000000,6750.0000000000,597.5411392800,0.0000000000,0.0000000000
2,0:20,0:10-0:20,0.1666666667,0.3333333333,0.1666666667,0.4245000000,3437.9792000000,0.0000000000,572.9965333333,0.0000000000,1406.3298666667,833.3333333333,0.0000000000,0.0000000000,6750.0000000000,7500.0000000000,596.9870284000,-0.0000000000,0.0000000000
3,0:30,0:20-0:30,0.3333333333,0.5000000000,0.1666666667,0.4269000000,3444.3031000000,0.0000000000,574.0505166667,0.0000000000,1407.3838500000,833.3333333333,0.0000000000,0.0000000000,7500.0000000000,8250.0000000000,600.8121655650,0.0000000000,0.0000000000
4,0:40,0:30-0:40,0.5000000000,0.6666666667,0.1666666667,0.4272000000,3454.4437000000,0.0000000000,575.7406166667,0.0000000000,1409.0739500000,833.3333333333,0.0000000000,0.0000000000,8250.0000000000,9000.0000000000,601.9563914400,0.0000000000,0.0000000000
5,0:50,0:40-0:50,0.6666666667,0.8333333333,0.1666666667,0.4271000000,3458.8273000000,0.0000000000,576.4712166667,0.0000000000,1409.8045500000,833.3333333333,0.0000000000,0.0000000000,9000.0000000000,9750.0000000000,602.1275233050,0.0000000000,0.0000000000
6,1:00,0:50-1:00,0.8333333333,1.0000000000,0.1666666667,0.4285000000,3459.8401000000,0.0000000000,576.6400166667,0.0000000000,576.6400166667,0.0000000000,0.0000000000,0.0000000000,9750.0000000000,9750.0000000000,247.0902471417,0.0000000000,0.0000000000
7,1:10,1:00-1:10,1.0000000000,1.1666666667,0.1666666667,0.4311000000,3467.1582000000,0.0000000000,577.8597000000,0.0000000000,577.8597000000,0.0000000000,0.0000000000,0.0000000000,9750.0000000000,9750.0000000000,249.1153166700,0.0000000000,0.0000000000
8,1:20,1:10-1:20,1.1666666667,1.3333333333,0.1666666667,0.4302000000,3467.9632000000,0.0000000000,577.9938666667,0.0000000000,577.9938666667,0.0000000000,0.0000000000,0.0000000000,9750.0000000000,9750.0000000000,248.6529614400,0.0000000000,0.0000000000
9,1:30,1:20-1:30,1.3333333333,1.5000000000,0.1666666667,0.4279000000,3466.9683000000,0.0000000000,577.8280500000,0.0000000000,911.1613833333,333.3333333333,0.0000000000,0.0000000000,9750.0000000000,10050.0000000000,389.8859559283,0.0000000000,0.0000000000
10,1:40,1:30-1:40,1.5000000000,1.6666666667,0.1666666667,0.4312000000,3482.4927000000,0.0000000000,580.4154500000,0.0000000000,580.4154500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,250.2751420400,0.0000000000,0.0000000000
11,1:50,1:40-1:50,1.6666666667,1.8333333333,0.1666666667,0.4333000000,3495.0841000000,0.0000000000,582.5140166667,0.0000000000,582.5140166667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,252.4033234217,0.0000000000,0.0000000000
12,2:00,1:50-2:00,1.8333333333,2.0000000000,0.1666666667,0.4311000000,3498.4443000000,0.0000000000,583.0740500000,0.0000000000,583.0740500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,251.3632229550,0.0000000000,0.0000000000
13,2:10,2:00-2:10,2.0000000000,2.1666666667,0.1666666667,0.4293000000,3505.2295000000,0.0000000000,584.2049166667,0.0000000000,584.2049166667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,250.7991707250,0.0000000000,0.0000000000
14,2:20,2:10-2:20,2.1666666667,2.3333333333,0.1666666667,0.4324000000,3512.6387000000,0.0000000000,585.4397833333,0.0000000000,585.4397833333,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,253.1441623133,0.0000000000,0.0000000000
15,2:30,2:20-2:30,2.3333333333,2.5000000000,0.1666666667,0.4367000000,3516.8685000000,0.0000000000,586.1447500000,0.0000000000,586.1447500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,255.9694123250,0.0000000000,0.0000000000
16,2:40,2:30-2:40,2.5000000000,2.6666666667,0.1666666667,0.4348000000,3517.9246000000,0.0000000000,586.3207666667,0.0000000000,586.3207666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,254.9322693467,0.0000000000,0.0000000000
17,2:50,2:40-2:50,2.6666666667,2.8333333333,0.1666666667,0.4335000000,3518.5518000000,0.0000000000,586.4253000000,0.0000000000,586.4253000000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,254.2153675500,0.0000000000,0.0000000000
18,3:00,2:50-3:00,2.8333333333,3.0000000000,0.1666666667,0.4357000000,3521.0976000000,0.0000000000,586.8496000000,0.0000000000,586.8496000000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,255.6903707200,0.0000000000,0.0000000000
19,3:10,3:00-3:10,3.0000000000,3.1666666667,0.1666666667,0.4374000000,3526.9261000000,0.0000000000,587.8210166667,0.0000000000,587.8210166667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,257.1129126900,0.0000000000,0.0000000000
20,3:20,3:10-3:20,3.1666666667,3.3333333333,0.1666666667,0.4371000000,3537.2854000000,0.0000000000,589.5475666667,0.0000000000,589.5475666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,257.6912413900,0.0000000000,0.0000000000
21,3:30,3:20-3:30,3.3333333333,3.5000000000,0.1666666667,0.4356000000,3544.8808000000,0.0000000000,590.8134666667,0.0000000000,590.8134666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,257.3583460800,0.0000000000,0.0000000000
22,3:40,3:30-3:40,3.5000000000,3.6666666667,0.1666666667,0.4353000000,3541.2787000000,0.0000000000,590.2131166667,0.0000000000,590.2131166667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,256.9197696850,0.0000000000,0.0000000000
23,3:50,3:40-3:50,3.6666666667,3.8333333333,0.1666666667,0.4360000000,3546.3976000000,0.0000000000,591.0662666667,0.0000000000,591.0662666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,257.7048922667,0.0000000000,0.0000000000
