metric,value,unit,source_path,source_key
retained_cost_yuan,13058408.059413992,元,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
increase_cost_yuan,177115.23799251666,元,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
cancellation_cost_yuan,320320.94928716117,元,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
emergency_cost_yuan,185927.58694423895,元,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
total_cost_yuan,13741771.83363791,元,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
g0_kwh,22218815.970606133,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
a_kwh,21335764.508569665,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
grid_used_kwh,20484334.05551606,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
grid_unused_kwh,851430.45305360481,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
pv_curtailment_kwh,1392685.2229671348,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
charge_bus_kwh,6300592.1353786141,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
discharge_bus_kwh,5110187.358717544,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
emergency_kwh,37945.439078811847,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
initial_quote_yuan,13699049.957988316,元,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
soc_start_kwh,9265.2592720740777,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
soc_end_kwh,1812.2269822222222,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
soc_min_kwh,1200,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
soc_max_kwh,10800,kWh,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
emergency_positive_slots,546,次或槽,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
emergency_events,174,次或槽,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
allowed_adjustments,1002,次或槽,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
actual_adjustments,658,次或槽,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
rejected_adjustments,344,次或槽,../02_batch_run/tables/p3_policy_comparison.csv,P3_MAIN_MEAN_ROLLOUT_061218
