policy_id,role,total_cost_yuan,increase_vs_main_yuan,source_path
P3_MEAN_ROLLOUT_NONE,OPPORTUNITY_ABLATION,14216150.047031581,474378.213393671438,../../02_batch_run/tables/p3_policy_comparison.csv
P3_MEAN_ROLLOUT_06,OPPORTUNITY_ABLATION,13977587.461724102,235815.628086192533,../../02_batch_run/tables/p3_policy_comparison.csv
P3_MEAN_ROLLOUT_12,OPPORTUNITY_ABLATION,13880753.438673008,138981.605035098270,../../02_batch_run/tables/p3_policy_comparison.csv
P3_MEAN_ROLLOUT_18,OPPORTUNITY_ABLATION,14028085.47323174,286313.639593830332,../../02_batch_run/tables/p3_policy_comparison.csv
P3_MEAN_ROLLOUT_0612,OPPORTUNITY_ABLATION,13801250.965074651,59479.131436740980,../../02_batch_run/tables/p3_policy_comparison.csv
P3_MEAN_ROLLOUT_0618,OPPORTUNITY_ABLATION,13925823.075279688,184051.241641778499,../../02_batch_run/tables/p3_policy_comparison.csv
P3_MEAN_ROLLOUT_1218,OPPORTUNITY_ABLATION,13821197.486452315,79425.652814405039,../../02_batch_run/tables/p3_policy_comparison.csv
P3_MAIN_MEAN_ROLLOUT_061218,PRIMARY,13741771.83363791,0.000000000000,../../02_batch_run/tables/p3_policy_comparison.csv
P3_NO_PREFIX_061218,SINGLE_FACTOR_ABLATION,13827562.439871699,85790.606233788654,../../02_batch_run/tables/p3_policy_comparison.csv
P3_ROBUST_WORST_061218,SINGLE_FACTOR_ABLATION,14277597.930823129,535826.097185218707,../../02_batch_run/tables/p3_policy_comparison.csv
P3_ZERO_TERMINAL_061218,SINGLE_FACTOR_ABLATION,13745023.244757421,3251.411119511351,../../02_batch_run/tables/p3_policy_comparison.csv
P3_PARTIAL_ADJUST_MEAN_ROLLOUT_061218,PREDECLARED_EXTENSION,13752670.028196055,10898.194558145478,../../02_batch_run/tables/p3_policy_comparison.csv
