policy_id,date,slot_id,physical_interval_start,physical_interval_end,g0_kwh,a_kwh,emergency_kwh,source_path,source_key
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,61,2025-03-20T10:00:00,2025-03-20T10:10:00,0,0,0,../../02_batch_run/results/p3_actual_schedule.csv,P3_MAIN_MEAN_ROLLOUT_061218|2025-03-20|61
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,73,2025-03-20T12:00:00,2025-03-20T12:10:00,606.73542361111083,499.14167533223701,0,../../02_batch_run/results/p3_actual_schedule.csv,P3_MAIN_MEAN_ROLLOUT_061218|2025-03-20|73
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,85,2025-03-20T14:00:00,2025-03-20T14:10:00,0,0,0,../../02_batch_run/results/p3_actual_schedule.csv,P3_MAIN_MEAN_ROLLOUT_061218|2025-03-20|85
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,97,2025-03-20T16:00:00,2025-03-20T16:10:00,679.41450694444438,537.93952412320073,0,../../02_batch_run/results/p3_actual_schedule.csv,P3_MAIN_MEAN_ROLLOUT_061218|2025-03-20|97
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,109,2025-03-20T18:00:00,2025-03-20T18:10:00,715.14598333333345,715.14598333333345,0,../../02_batch_run/results/p3_actual_schedule.csv,P3_MAIN_MEAN_ROLLOUT_061218|2025-03-20|109
P3_MAIN_MEAN_ROLLOUT_061218,2025-03-20,121,2025-03-20T20:00:00,2025-03-20T20:10:00,0,0,0,../../02_batch_run/results/p3_actual_schedule.csv,P3_MAIN_MEAN_ROLLOUT_061218|2025-03-20|121
P3_MAIN_MEAN_ROLLOUT_061218,2025-06-21,61,2025-06-21T10:00:00,2025-06-21T10:10:00,0,0,0,../../02_batch_run/results/p3_actual_schedule.csv,P3_MAIN_MEAN_ROLLOUT_061218|2025-06-21|61
P3_MAIN_MEAN_ROLLOUT_061218,2025-06-21,73,2025-06-21T12:00:00,2025-06-21T12:10:00,0,0,0,../../02_batch_run/results/p3_actual_schedule.csv,P3_MAIN_MEAN_ROLLOUT_061218|2025-06-21|73
P3_MAIN_MEAN_ROLLOUT_061218,2025-06-21,85,2025-06-21T14:00:00,2025-06-21T14:10:00,0,0,0,../../02_batch_run/results/p3_actual_schedule.csv,P3_MAIN_MEAN_ROLLOUT_061218|2025-06-21|85
P3_MAIN_MEAN_ROLLOUT_061218,2025-06-21,97,2025-06-21T16:00:00,2025-06-21T16:10:00,262.76901249999992,262.76901249999992,0,../../02_batch_run/results/p3_actual_schedule.csv,P3_MAIN_MEAN_ROLLOUT_061218|2025-06-21|97
