metric,value,unit
formal_period,2025-02-01..2025-12-31,
formal_days,334,day
lightgbm_selected_days,301,day
lightgbm_fit_count,96,fit
planned_purchase_kwh,21803694.936431758,kWh
grid_used_kwh,20509432.909759797,kWh
grid_unused_kwh,1294262.0266719619,kWh
plan_utilization,0.9406402432961314,ratio
unused_plan_cash_cost,756432.6968131814,CNY
emergency_purchase_kwh,106752.97766038758,kWh
pv_curtailment_kwh,1469770.74052284,kWh
plan_cost_yuan,13350598.343001992,CNY
emergency_cost_yuan,626124.8105421517,CNY
total_cost_yuan,13976723.153544143,CNY
formal_initial_soc_kwh,9265.259272074078,kWh
formal_final_soc_kwh,8752.815297807336,kWh
emergency_slot_count,681,slot
emergency_event_count,208,event
q80_empirical_coverage_selected,0.777487,ratio
perfect_information_reference_yuan,12226656.677843468,CNY
