policy,date,grid_plan_kwh,grid_used_kwh,grid_unused_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,pv_curtailment_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,emergency_slot_count,emergency_event_count,subthreshold_emergency_kwh
MAIN,2025-02-01,47129.59644320988,42449.01199386831,4680.584449341568,18569.98926053497,14721.471299999996,5.684341886080803e-14,4222.3181,24488.62323591519,2.4212454263761174e-13,24488.62323591519,9265.259272074078,9621.059273222225,2040.6049888888924,10800.0,0,0,5.684341886080803e-14
MAIN,2025-02-02,92501.8409574074,82201.79816489712,10300.04279251028,20971.41829489713,17185.072146666673,2.273736754432321e-13,59.174066666666704,58919.11290702084,1.1773835240092012e-12,58919.11290702084,9621.059273222225,9400.81113122222,1680.0345222222186,10800.0,0,0,2.273736754432321e-13
MAIN,2025-02-03,90358.6234963786,84283.08189925925,6075.541597119343,21945.585399259257,17879.420000000006,3.1263880373444413e-13,0.0,57181.11653653944,1.1266507726759301e-12,57181.11653653945,9400.81113122222,9285.815768333334,1591.345333333334,10800.0,0,0,3.1263880373444413e-13
MAIN,2025-02-04,92287.06868333332,85741.16151123456,6545.907172098763,23359.71471123457,18813.41715,2.842170943040401e-13,0.0,58337.49641915033,1.0181224752159324e-12,58337.49641915034,9285.815768333334,9405.762175111113,1813.427051851851,10800.0,0,0,2.842170943040401e-13
MAIN,2025-02-05,93104.86186683128,84715.31474530864,8389.547121522639,22048.10325197531,18083.26799,2.557953848736361e-13,2.052500000000009,59282.25918600807,1.136783112087869e-12,59282.25918600807,9405.762175111113,9156.535113000004,1423.6374000000023,10800.0,0,0,2.557953848736361e-13
MAIN,2025-02-06,92993.97429666664,84619.16270185185,8374.811594814817,21737.10747518518,17390.40280666667,3.836930773104541e-13,1.400816666666742,59089.974820041,1.8720953676165663e-12,59089.974820041,9156.535113000004,9397.262055481484,1766.7228259259289,10800.0,0,0,3.836930773104541e-13
MAIN,2025-02-07,44515.441394197536,40045.343217160495,4470.098177037043,18064.998190493825,15236.90024,8.526512829121202e-14,5411.5656,23117.78427514583,3.401083858989296e-13,23117.78427514583,9397.262055481484,8725.87127137037,1541.8275999999994,10800.0,0,0,8.526512829121202e-14
MAIN,2025-02-08,39855.69397242798,39026.68888349795,829.0050889300442,19226.51912234568,15236.343696666669,2.8421709430404014e-14,3459.3507411522637,20645.918622974077,1.1753797934943576e-13,20645.918622974077,8725.87127137037,9100.467707407406,1376.1930664444417,10800.0,0,0,2.8421709430404014e-14
MAIN,2025-02-09,85645.43136482511,83851.48804930042,1793.9433155246952,24111.601692633743,19733.836164233333,81.69344576666774,0.0,53714.91231505187,326.3653158378373,54041.2776308897,9100.467707407406,8874.424603851852,1200.0,10800.0,1,1,2.842170943040401e-13
MAIN,2025-02-10,89005.74050794239,78642.29376839507,10363.446739547322,20256.39158506173,16440.398433333332,0.0,499.6630333333335,55949.64679882826,0.0,55949.64679882826,8874.424603851852,8838.067660037035,1452.186185185184,10800.0,0,0,0.0
MAIN,2025-02-11,82611.87963329219,79543.41287300413,3068.466760288059,23268.507438600835,18988.603906666664,7.815970093361102e-14,42.91220773662589,51461.19907235541,3.3115199471467354e-13,51461.19907235541,8838.067660037035,8681.275569592593,1217.24617014815,10800.0,0,0,7.815970093361102e-14
MAIN,2025-02-12,84193.15967160495,79868.4966066255,4324.66306497943,22538.293383292174,18099.91719333333,2.3092638912203256e-13,163.38428333333331,52558.34935175777,9.00097774092501e-13,52558.34935175777,8681.275569592593,8854.72051085185,1426.98035248148,10800.0,0,0,2.3092638912203256e-13
MAIN,2025-02-13,83604.66300666667,75026.24343934156,8578.41956732511,19302.198762674896,16164.072123333332,2.273736754432321e-13,558.6377833333338,52545.81760980057,7.843254934414289e-13,52545.81760980057,8854.72051085185,8266.619260222222,1311.4313551111086,10800.0,0,0,2.273736754432321e-13
MAIN,2025-02-14,36487.6850599177,36241.560199917694,246.12486000000052,18495.21017761317,15016.096076666665,2.8421709430404014e-14,2960.644282304526,19041.166072511096,1.1446843473095216e-13,19041.166072511096,8266.619260222222,8227.757223777777,1343.677703518517,10800.0,0,0,2.8421709430404014e-14
MAIN,2025-02-15,37557.15002197531,37172.08971213992,385.060309835392,18625.67935419753,14631.472566666664,2.273736754432321e-13,3897.791824609052,19599.252502404102,7.10315362084657e-13,19599.252502404102,8227.757223777777,8733.676901814817,1448.0598148148144,10800.0,0,0,2.273736754432321e-13
MAIN,2025-02-16,82940.06694725885,79789.22651108602,3150.840436172836,22718.476077119347,18303.6545827,20.180333333333465,17.206249999999727,51542.33395411361,91.8104265000006,51634.144380613616,8733.676901814817,8842.911390444448,1323.4762185185214,10800.0,1,1,2.273736754432321e-13
MAIN,2025-02-17,83580.17770292182,75836.20880345679,7743.968899465022,19581.62195012345,15877.718596666668,2.8421709430404014e-14,948.4422833333338,51907.01433801996,1.1354472917446401e-13,51907.01433801996,8842.911390444448,8824.461593703707,1286.7835629629644,10800.0,0,0,2.8421709430404014e-14
MAIN,2025-02-18,79615.34701946256,76656.56044320986,2958.7865762526853,22454.83867234567,17974.32831333333,14.942333333333618,99.60463419753388,49168.612732873735,67.98014550000117,49236.59287837373,8824.461593703707,9062.340495111115,1469.030811111113,10800.0,1,1,3.2240876635114546e-13
MAIN,2025-02-19,79946.39203637859,76863.17477448306,3083.217261895539,22839.92532131433,18944.183030164604,47.82725000000028,135.93235000000004,49558.611480174426,211.0629380416679,49769.67441821609,9062.340495111115,8569.181028555558,1310.6148185185216,10800.0,2,2,2.273736754432321e-13
MAIN,2025-02-20,79285.44863759835,74626.73455805104,4658.714079547323,19931.745456584365,16819.122091866666,32.61644000000018,553.5939000000001,49525.380379263486,152.77540496000074,49678.15578422349,8569.181028555558,7819.838504074079,1468.2745005555596,10800.0,1,1,2.842170943040401e-13
MAIN,2025-02-21,35316.34707246913,34971.03210979424,345.31496267489626,17469.206222304525,14308.456273333331,2.131628207280301e-13,6250.020127489712,18407.48904408922,6.818439146627498e-13,18407.48904408922,7819.838504074079,7643.839356000004,1673.3721777777805,10800.0,0,0,2.131628207280301e-13
MAIN,2025-02-22,37007.82988773662,36735.825164403286,272.00472333333414,19049.30344905349,14227.024116666667,3.410605131648481e-13,4068.782948683131,19146.26382429727,1.2096279533579946e-12,19146.26382429727,7643.839356000004,8980.407886074074,1487.562163481481,10800.0,0,0,3.410605131648481e-13
MAIN,2025-02-23,81485.50937082304,75805.45504226339,5680.054328559663,20694.387936460917,16925.784883333334,0.6843733333336814,505.6826791358029,50718.28718797432,3.205604693334915,50721.49279266765,8980.407886074074,8798.929380740741,1393.922592592593,10800.0,1,1,7.105427357601003e-14
MAIN,2025-02-24,79419.81460347696,73378.96807349793,6040.846529979013,20641.16450979424,16716.731263333335,16.943880000000092,1268.445090370374,48827.36361906392,79.36513392000032,48906.72875298392,8798.929380740741,8801.831591407406,1279.6253978888872,10800.0,1,1,2.842170943040401e-13
MAIN,2025-02-25,76962.14051526749,70985.57048300412,5976.570032263373,21066.72575251029,17083.11952666667,30.623666666666622,1211.264690493827,47281.97555925567,134.11634816666648,47416.091907422335,8801.831591407406,8780.640850148147,1419.888877148146,10800.0,1,1,0.0
