branch,period,n_rows,q50_mae_kw,q50_rmse_kw,q50_bias_kw,q80_pinball_kw,q80_price_weighted_pinball_yuan,q80_empirical_coverage,raw_crossing_rate
BASELINE,OVERALL,48096,311.70617744926807,457.5030884259472,-6.795708081753168,114.18689776397208,14.695645378619576,0.781187624750499,0.0
BASELINE,2025-02,4032,234.55234461805557,337.81138345682245,3.60831418650793,81.21965522222223,10.298941167017375,0.7904265873015873,0.0
BASELINE,2025-03,4464,277.6048295026882,433.9476381015333,-17.13592988351255,102.31683352867384,13.097032910666565,0.7641129032258065,0.0
BASELINE,2025-04,4320,308.60107822916666,475.832218234235,-5.034419016203693,109.3347895675926,14.146804597146836,0.775,0.0
BASELINE,2025-05,4464,348.2001124551971,502.89051861272594,-18.03160772849463,127.6477442141577,16.897923479577674,0.7632168458781362,0.0
BASELINE,2025-06,4320,400.4271459143519,573.5723466482358,-13.451906400463017,155.7553135166667,20.20383435053943,0.7810185185185186,0.0
BASELINE,2025-07,4464,420.7261025425627,564.3944745380707,-47.48051481854838,173.20705105197132,21.791452347526285,0.7782258064516129,0.0
BASELINE,2025-08,4464,341.97470490591394,485.9359300088431,4.036762544802838,122.75422368637992,15.99571359636141,0.7885304659498208,0.0
BASELINE,2025-09,4320,392.0510531365741,545.2487410214914,16.43577452546295,128.773053675,16.872432615372283,0.7780092592592592,0.0
BASELINE,2025-10,4464,256.83396477374555,379.5449448598002,10.677698331093213,85.70145674283154,11.130202805676838,0.8030913978494624,0.0
BASELINE,2025-11,4320,204.3552942824074,289.3121573103259,3.24453240740742,71.85253812314816,9.1378644687354,0.7898148148148149,0.0
BASELINE,2025-12,4464,237.8654623319892,325.47201741053453,-9.699271090949845,94.59213143637992,11.70532398369552,0.7824820788530465,0.0
LIGHTGBM,OVERALL,47520,285.2566007363943,413.2034640862748,19.97030665914477,102.11389099942411,13.26561035121354,0.775820707070707,0.0018097643097643
LIGHTGBM,2025-02,3456,226.04897913734104,334.40595375476744,44.16506209573398,74.57769718318566,9.349548748461975,0.7708333333333334,0.0040509259259259
LIGHTGBM,2025-03,4464,249.43202671526456,375.2705717461229,55.40083328684161,89.1668481767408,11.45354486250839,0.796146953405018,0.0004480286738351
LIGHTGBM,2025-04,4320,262.2199230657622,407.1585087374415,21.601780176822903,94.6699000808966,12.25583975479039,0.7877314814814815,0.0
LIGHTGBM,2025-05,4464,294.4029580327402,408.4374055714045,-7.555528651225359,108.52982864326592,14.73247032918832,0.7524641577060932,0.0011200716845878
LIGHTGBM,2025-06,4320,372.5237006167773,519.6027212195925,-14.827481539892077,141.83210307324998,18.734979711048226,0.7287037037037037,0.0025462962962962
LIGHTGBM,2025-07,4464,406.6420745191056,526.5693762620729,54.71157579105509,156.7036631233615,19.807120351038915,0.7585125448028673,0.0031362007168458
LIGHTGBM,2025-08,4464,330.2131181864948,466.8578326931852,106.34032882639733,113.15736742265024,14.676142272052203,0.837141577060932,0.0087365591397849
LIGHTGBM,2025-09,4320,347.2783291520718,482.3839633739038,61.04292250694745,113.48723561132648,15.15570375080916,0.7981481481481482,0.0
LIGHTGBM,2025-10,4464,231.62397190244863,344.1101139492886,5.301747945171883,75.47142057839478,9.925949583564623,0.8055555555555556,0.0
LIGHTGBM,2025-11,4320,186.1807340911087,266.22638093355704,-54.260730360782816,63.8621735756966,8.226528767772354,0.7534722222222222,0.0
LIGHTGBM,2025-12,4464,218.76398406144088,306.870149445266,-48.92331256187622,85.75077293230967,10.76189151793065,0.7430555555555556,0.0002240143369175
SELECTED,OVERALL,48096,285.71599105598045,413.2999768273573,17.27572889239167,102.54804423942431,13.32297698031751,0.7774866932801064,0.0014970059880239
SELECTED,2025-02,4032,234.55234461805557,337.81138345682245,3.60831418650793,81.21965522222223,10.298941167017375,0.7904265873015873,0.0
SELECTED,2025-03,4464,253.5823966178858,383.2293464963991,57.63459528199418,90.81763210995514,11.648228382532889,0.7956989247311828,0.0004480286738351
SELECTED,2025-04,4320,262.2199230657622,407.1585087374415,21.601780176822903,94.6699000808966,12.25583975479039,0.7877314814814815,0.0
SELECTED,2025-05,4464,294.4029580327402,408.4374055714045,-7.555528651225359,108.52982864326592,14.73247032918832,0.7524641577060932,0.0011200716845878
SELECTED,2025-06,4320,372.5237006167773,519.6027212195925,-14.827481539892077,141.83210307324998,18.734979711048226,0.7287037037037037,0.0025462962962962
SELECTED,2025-07,4464,406.6420745191056,526.5693762620729,54.71157579105509,156.7036631233615,19.807120351038915,0.7585125448028673,0.0031362007168458
SELECTED,2025-08,4464,330.2131181864948,466.8578326931852,106.34032882639733,113.15736742265024,14.676142272052203,0.837141577060932,0.0087365591397849
SELECTED,2025-09,4320,347.2783291520718,482.3839633739038,61.04292250694745,113.48723561132648,15.15570375080916,0.7981481481481482,0.0
SELECTED,2025-10,4464,231.62397190244863,344.1101139492886,5.301747945171883,75.47142057839478,9.925949583564623,0.8055555555555556,0.0
SELECTED,2025-11,4320,186.1807340911087,266.22638093355704,-54.260730360782816,63.8621735756966,8.226528767772354,0.7534722222222222,0.0
SELECTED,2025-12,4464,219.52240834198028,307.4501596856093,-46.67897953714375,86.3315093969017,10.833069701524895,0.744399641577061,0.0002240143369175
