decision_date,selected_branch,score_n_days,loss_B,loss_M,screen_cost_B,screen_cost_M,mae50_B,mae50_M,month
2025-02-01,BASELINE,0,,,,,,,2025-02
2025-02-02,BASELINE,0,,,,,,,2025-02
2025-02-03,BASELINE,0,,,,,,,2025-02
2025-02-04,BASELINE,0,,,,,,,2025-02
2025-02-05,BASELINE,0,,,,,,,2025-02
2025-02-06,BASELINE,1,,,,,,,2025-02
2025-02-07,BASELINE,2,,,,,,,2025-02
2025-02-08,BASELINE,3,,,,,,,2025-02
2025-02-09,BASELINE,4,,,,,,,2025-02
2025-02-10,BASELINE,5,,,,,,,2025-02
2025-02-11,BASELINE,6,,,,,,,2025-02
2025-02-12,BASELINE,7,,,,,,,2025-02
2025-02-13,BASELINE,8,,,,,,,2025-02
2025-02-14,BASELINE,9,,,,,,,2025-02
2025-02-15,BASELINE,10,,,,,,,2025-02
2025-02-16,BASELINE,11,,,,,,,2025-02
2025-02-17,BASELINE,12,,,,,,,2025-02
2025-02-18,BASELINE,13,,,,,,,2025-02
2025-02-19,BASELINE,14,,,,,,,2025-02
2025-02-20,BASELINE,15,,,,,,,2025-02
2025-02-21,BASELINE,16,,,,,,,2025-02
2025-02-22,BASELINE,17,,,,,,,2025-02
2025-02-23,BASELINE,18,,,,,,,2025-02
2025-02-24,BASELINE,19,,,,,,,2025-02
2025-02-25,BASELINE,20,,,,,,,2025-02
2025-02-26,BASELINE,21,,,,,,,2025-02
2025-02-27,BASELINE,22,,,,,,,2025-02
2025-02-28,BASELINE,23,,,,,,,2025-02
2025-03-01,BASELINE,24,,,,,,,2025-03
2025-03-02,BASELINE,25,,,,,,,2025-03
2025-03-03,BASELINE,26,,,,,,,2025-03
2025-03-04,BASELINE,27,,,,,,,2025-03
2025-03-05,LIGHTGBM,28,10.963377876323676,9.92630201509864,1597013.1276154967,1584352.3508982863,243.05191935763887,232.0839037334696,2025-03
2025-03-06,LIGHTGBM,28,11.04727914475678,10.005302628666524,1587323.3528475622,1574699.4141851407,245.41882268105155,233.5864254442228,2025-03
2025-03-07,LIGHTGBM,28,11.077408251186291,10.056796358309182,1577140.985249872,1565053.1896528753,245.6269097470238,234.8212934589161,2025-03
2025-03-08,LIGHTGBM,28,10.981762538762103,9.957260695231378,1570725.1903066654,1558305.1763672954,242.2737204489088,231.8377101756957,2025-03
2025-03-09,LIGHTGBM,28,10.852850324194597,10.032827996879275,1565661.1157485717,1553126.1222276888,239.65099201388887,231.1134998691926,2025-03
2025-03-10,LIGHTGBM,28,10.714496635558843,9.954328105846134,1551484.8669558358,1539230.4192006614,238.06273974454365,228.08942922181572,2025-03
2025-03-11,LIGHTGBM,28,10.843749780233052,10.037350708193888,1543480.504489474,1531992.4750808026,239.5366804315476,226.15721569374372,2025-03
