policy,date,block_id,physical_interval,charge_bus_kwh,discharge_bus_kwh,soc_0_kwh,soc_24_kwh
MAIN,2025-03-20,1,0:00-4:00,1502.1287625527275,152.19041692481937,9063.1077942608,4814.555099486722
MAIN,2025-03-20,2,4:00-8:00,1675.1278915807584,4438.18991856585,9063.1077942608,4814.555099486722
MAIN,2025-03-20,3,8:00-12:00,6348.124661880908,2777.3772166666668,9063.1077942608,4814.555099486722
MAIN,2025-03-20,4,12:00-16:00,1814.968462573203,481.8515657549158,9063.1077942608,4814.555099486722
MAIN,2025-03-20,5,16:00-20:00,239.9555217271321,5732.992906157015,9063.1077942608,4814.555099486722
MAIN,2025-03-20,6,20:00-24:00,4073.0792974849614,2920.336925445148,9063.1077942608,4814.555099486722
MAIN,2025-06-21,1,0:00-4:00,549.3994175484607,1452.3406394019098,7636.386369050307,9986.802564836917
MAIN,2025-06-21,2,4:00-8:00,418.2179933224858,4390.3921,7636.386369050307,9986.802564836917
MAIN,2025-06-21,3,8:00-12:00,9760.759141297738,0.0,7636.386369050307,9986.802564836917
MAIN,2025-06-21,4,12:00-16:00,0.0,0.0,7636.386369050307,9986.802564836917
MAIN,2025-06-21,5,16:00-20:00,162.1557668080361,5447.571010424426,7636.386369050307,9986.802564836917
MAIN,2025-06-21,6,20:00-24:00,8772.417109428921,2521.310710974284,7636.386369050307,9986.802564836917
MAIN,2025-09-23,1,0:00-4:00,2193.624219173905,6.198781839014146,8621.830707645991,9086.44478612445
MAIN,2025-09-23,2,4:00-8:00,329.0508635564785,6476.013817702191,8621.830707645991,9086.44478612445
MAIN,2025-09-23,3,8:00-12:00,5319.441690836708,1896.615716666667,8621.830707645991,9086.44478612445
MAIN,2025-09-23,4,12:00-16:00,5453.442167213817,495.1333936124589,8621.830707645991,9086.44478612445
MAIN,2025-09-23,5,16:00-20:00,116.31223587263132,5568.533559377841,8621.830707645991,9086.44478612445
MAIN,2025-09-23,6,20:00-24:00,8514.245730844113,2899.5067552443184,8621.830707645991,9086.44478612445
MAIN,2025-12-21,1,0:00-4:00,1553.2463565016033,147.93481677213038,9241.371080836763,9113.243008806665
MAIN,2025-12-21,2,4:00-8:00,1196.6609465515317,1510.0574047873258,9241.371080836763,9113.243008806665
MAIN,2025-12-21,3,8:00-12:00,5559.8424722407535,7137.757964861796,9241.371080836763,9113.243008806665
MAIN,2025-12-21,4,12:00-16:00,7033.411409604202,2230.006978217494,9241.371080836763,9113.243008806665
MAIN,2025-12-21,5,16:00-20:00,0.6946075533435052,5582.862827138796,9241.371080836763,9113.243008806665
MAIN,2025-12-21,6,20:00-24:00,8527.539878680815,2842.525766666666,9241.371080836763,9113.243008806665
