policy,date,block_id,physical_interval,charge_bus_kwh,discharge_bus_kwh,soc_0_kwh,soc_24_kwh
MAIN,2025-02-01,1,0:00-4:00,1705.2674754732468,0.0,9265.259272074078,9621.059273222225
MAIN,2025-02-01,2,4:00-8:00,0.0,6097.7500666666665,9265.259272074078,9621.059273222225
MAIN,2025-02-01,3,8:00-12:00,6138.89015,677.7272833333333,9265.259272074078,9621.059273222225
MAIN,2025-02-01,4,12:00-16:00,2268.553491975308,34.552000000000135,9265.259272074078,9621.059273222225
MAIN,2025-02-01,5,16:00-20:00,4.670086419751493,5771.633319999999,9265.259272074078,9621.059273222225
MAIN,2025-02-01,6,20:00-24:00,8452.608056666668,2139.808629999997,9265.259272074078,9621.059273222225
MAIN,2025-02-02,1,0:00-4:00,1366.944782839509,46.17862000000002,9621.059273222225,9400.81113122222
MAIN,2025-02-02,2,4:00-8:00,765.6144362139948,1339.6034433333332,9621.059273222225,9400.81113122222
MAIN,2025-02-02,3,8:00-12:00,6042.65533,6337.928486666668,9621.059273222225,9400.81113122222
MAIN,2025-02-02,4,12:00-16:00,4195.781587695474,1235.749666666667,9621.059273222225,9400.81113122222
MAIN,2025-02-02,5,16:00-20:00,21.78148148148062,5399.247013333335,9621.059273222225,9400.81113122222
MAIN,2025-02-02,6,20:00-24:00,8578.640676666668,2826.3649166666664,9621.059273222225,9400.81113122222
MAIN,2025-02-03,1,0:00-4:00,1588.358578477365,27.300466666666694,9400.81113122222,9285.815768333334
MAIN,2025-02-03,2,4:00-8:00,758.3529629629626,1284.1767333333332,9400.81113122222,9285.815768333334
MAIN,2025-02-03,3,8:00-12:00,5800.19125,6659.0491666666685,9400.81113122222,9285.815768333334
MAIN,2025-02-03,4,12:00-16:00,5225.32449074074,1601.70775,9400.81113122222,9285.815768333334
MAIN,2025-02-03,5,16:00-20:00,23.724300411523146,5425.199100000001,9400.81113122222,9285.815768333334
MAIN,2025-02-03,6,20:00-24:00,8549.633816666666,2881.986783333333,9400.81113122222,9285.815768333334
MAIN,2025-02-04,1,0:00-4:00,1695.620751234569,10.687000000000126,9285.815768333334,9405.762175111113
MAIN,2025-02-04,2,4:00-8:00,757.7458930041171,1427.906316666666,9285.815768333334,9405.762175111113
MAIN,2025-02-04,3,8:00-12:00,5932.2758300000005,7160.193706666667,9285.815768333334,9405.762175111113
MAIN,2025-02-04,4,12:00-16:00,6439.1181000411525,2046.5032333333336,9285.815768333334,9405.762175111113
MAIN,2025-02-04,5,16:00-20:00,20.83751028806647,5327.1925200000005,9285.815768333334,9405.762175111113
MAIN,2025-02-04,6,20:00-24:00,8514.116626666668,2840.934373333333,9285.815768333334,9405.762175111113
MAIN,2025-02-05,1,0:00-4:00,1554.8844679835406,4.642376666666678,9405.762175111113,9156.535113000004
MAIN,2025-02-05,2,4:00-8:00,865.3095267489704,1464.3017999999995,9405.762175111113,9156.535113000004
MAIN,2025-02-05,3,8:00-12:00,6006.65254,6661.916086666668,9405.762175111113,9156.535113000004
MAIN,2025-02-05,4,12:00-16:00,4987.741373580248,1480.1419,9405.762175111113,9156.535113000004
MAIN,2025-02-05,5,16:00-20:00,41.40677366255153,5631.398893333332,9405.762175111113,9156.535113000004
MAIN,2025-02-05,6,20:00-24:00,8592.10857,2840.8669333333337,9405.762175111113,9156.535113000004
MAIN,2025-02-06,1,0:00-4:00,1826.0720966666595,0.0,9156.535113000004,9397.262055481484
MAIN,2025-02-06,2,4:00-8:00,792.1762057613162,1456.103393333333,9156.535113000004,9397.262055481484
MAIN,2025-02-06,3,8:00-12:00,6200.265106666668,6030.699986666668,9156.535113000004,9397.262055481484
MAIN,2025-02-06,4,12:00-16:00,4381.147206090534,1725.803320000001,9156.535113000004,9397.262055481484
MAIN,2025-02-06,5,16:00-20:00,0.0,5220.755423333333,9156.535113000004,9397.262055481484
MAIN,2025-02-06,6,20:00-24:00,8537.44686,2957.0406833333336,9156.535113000004,9397.262055481484
MAIN,2025-02-07,1,0:00-4:00,1566.413946584361,6.331146666666712,9397.262055481484,8725.87127137037
MAIN,2025-02-07,2,4:00-8:00,0.0,5777.603066666667,9397.262055481484,8725.87127137037
MAIN,2025-02-07,3,8:00-12:00,5394.432292098769,1115.31345,9397.262055481484,8725.87127137037
MAIN,2025-02-07,4,12:00-16:00,3119.594851934148,5.297416666666663,9397.262055481484,8725.87127137037
MAIN,2025-02-07,5,16:00-20:00,2.286353909465914,5966.015326666666,9397.262055481484,8725.87127137037
MAIN,2025-02-07,6,20:00-24:00,7982.270745967078,2366.339833333333,9397.262055481484,8725.87127137037
MAIN,2025-02-08,1,0:00-4:00,1653.1822490946518,50.62225666666672,8725.87127137037,9100.467707407406
MAIN,2025-02-08,2,4:00-8:00,723.3585646090489,6269.721246666667,8725.87127137037,9100.467707407406
MAIN,2025-02-08,3,8:00-12:00,6006.262766666668,376.8593166666667,8725.87127137037,9100.467707407406
MAIN,2025-02-08,4,12:00-16:00,2189.935525514403,0.0,8725.87127137037,9100.467707407406
MAIN,2025-02-08,5,16:00-20:00,37.87726312757335,6156.797556666666,8725.87127137037,9100.467707407406
MAIN,2025-02-08,6,20:00-24:00,8615.902753333334,2382.34332,8725.87127137037,9100.467707407406
MAIN,2025-02-09,1,0:00-4:00,1594.1829639917714,20.317033333333484,9100.467707407406,8874.424603851852
MAIN,2025-02-09,2,4:00-8:00,1360.6525638683102,2477.6988600000004,9100.467707407406,8874.424603851852
MAIN,2025-02-09,3,8:00-12:00,4966.66884,7005.821820899999,9100.467707407406,8874.424603851852
MAIN,2025-02-09,4,12:00-16:00,7860.129978930039,1749.7070433333338,9100.467707407406,8874.424603851852
MAIN,2025-02-09,5,16:00-20:00,32.32773251028675,5641.352276666666,9100.467707407406,8874.424603851852
MAIN,2025-02-09,6,20:00-24:00,8297.639613333333,2838.93913,9100.467707407406,8874.424603851852
MAIN,2025-02-10,1,0:00-4:00,2040.837744609053,35.339743333333104,8874.424603851852,8838.067660037035
MAIN,2025-02-10,2,4:00-8:00,1227.2203004938256,1630.696916666665,8874.424603851852,8838.067660037035
MAIN,2025-02-10,3,8:00-12:00,6034.637716666666,4989.05095,8874.424603851852,8838.067660037035
MAIN,2025-02-10,4,12:00-16:00,2720.1808306584403,1350.7039066666684,8874.424603851852,8838.067660037035
MAIN,2025-02-10,5,16:00-20:00,0.34485596707883,5562.0705966666665,8874.424603851852,8838.067660037035
MAIN,2025-02-10,6,20:00-24:00,8233.170136666668,2872.53632,8874.424603851852,8838.067660037035
MAIN,2025-02-11,1,0:00-4:00,1893.704268847738,12.506263333333322,8838.067660037035,8681.275569592593
MAIN,2025-02-11,2,4:00-8:00,1286.7625401646178,3187.028953333333,8838.067660037035,8681.275569592593
MAIN,2025-02-11,3,8:00-12:00,5889.478993333334,5971.78715,8838.067660037035,8681.275569592593
MAIN,2025-02-11,4,12:00-16:00,5880.109554814816,1172.4833666666668,8838.067660037035,8681.275569592593
MAIN,2025-02-11,5,16:00-20:00,0.7625514403298439,5708.036073333332,8838.067660037035,8681.275569592593
MAIN,2025-02-11,6,20:00-24:00,8317.68953,2936.762100000001,8838.067660037035,8681.275569592593
MAIN,2025-02-12,1,0:00-4:00,2306.885162674896,0.0,8681.275569592593,8854.72051085185
MAIN,2025-02-12,2,4:00-8:00,1138.86398403292,2410.4123500000005,8681.275569592593,8854.72051085185
MAIN,2025-02-12,3,8:00-12:00,5833.333333333334,5496.104300000001,8681.275569592593,8854.72051085185
