policy,date,start_slot,end_slot,start_time,end_time,emergency_kwh,slot_count
MAIN,2025-02-09,65,65,10:40,10:50,81.69344576666745,1
MAIN,2025-02-16,36,36,5:50,6:00,20.18033333333324,1
MAIN,2025-02-18,36,36,5:50,6:00,14.942333333333297,1
MAIN,2025-02-19,36,36,5:50,6:00,9.432333333333418,1
MAIN,2025-02-19,39,39,6:20,6:30,38.39491666666663,1
MAIN,2025-02-20,37,37,6:00,6:10,32.6164399999999,1
MAIN,2025-02-23,37,37,6:00,6:10,0.6843733333336104,1
MAIN,2025-02-24,37,37,6:00,6:10,16.943879999999808,1
MAIN,2025-02-25,39,39,6:20,6:30,30.623666666666622,1
MAIN,2025-02-27,58,62,9:30,10:20,507.9416243000008,5
MAIN,2025-03-02,123,124,20:20,20:40,784.4508338666667,2
MAIN,2025-03-02,126,126,20:50,21:00,24.187017800000035,1
MAIN,2025-03-10,124,124,20:30,20:40,368.95280530892137,1
MAIN,2025-03-13,60,65,9:50,10:50,825.2313738863492,6
MAIN,2025-03-13,124,125,20:30,20:50,274.5213697785242,2
MAIN,2025-03-16,36,36,5:50,6:00,1.6399999999999864,1
MAIN,2025-03-18,53,60,8:40,10:00,1017.8464244730228,8
MAIN,2025-03-20,124,124,20:30,20:40,55.97419931295451,1
MAIN,2025-03-23,124,124,20:30,20:40,80.05111551810694,1
MAIN,2025-03-23,126,126,20:50,21:00,2.6324364629472257,1
MAIN,2025-03-25,128,129,21:10,21:30,15.359867612904054,2
MAIN,2025-04-02,53,62,8:40,10:20,1671.5658500000018,10
MAIN,2025-04-03,124,124,20:30,20:40,153.04583444043556,1
MAIN,2025-04-08,55,58,9:00,9:40,104.15124999999956,4
MAIN,2025-04-28,122,126,20:10,21:00,1800.647881487007,5
MAIN,2025-05-01,122,129,20:10,21:30,2033.8308321987292,8
MAIN,2025-05-01,131,132,21:40,22:00,70.775189537448,2
MAIN,2025-05-02,123,132,20:20,22:00,1587.280838937975,10
MAIN,2025-05-03,124,131,20:30,21:50,1206.2116576634935,8
MAIN,2025-05-04,123,131,20:20,21:50,1383.903523842292,9
MAIN,2025-05-05,123,130,20:20,21:40,1642.9477921363157,8
MAIN,2025-05-06,123,131,20:20,21:50,1322.1909596105224,9
MAIN,2025-05-07,124,124,20:30,20:40,624.0424813721231,1
MAIN,2025-05-08,121,121,20:00,20:10,35.99924999999996,1
MAIN,2025-05-11,116,117,19:10,19:30,41.18071666666651,2
MAIN,2025-05-17,124,124,20:30,20:40,36.97631591102305,1
MAIN,2025-05-19,123,123,20:20,20:30,67.00333333333333,1
MAIN,2025-05-22,123,123,20:20,20:30,2.5699999999999363,1
MAIN,2025-05-29,116,116,19:10,19:20,17.817433333333383,1
MAIN,2025-06-01,59,66,9:40,11:00,991.2940696586052,8
MAIN,2025-06-01,114,131,18:50,21:50,9796.33754792962,18
MAIN,2025-06-02,55,57,9:00,9:30,312.68426577689394,3
MAIN,2025-06-02,114,131,18:50,21:50,5301.35774498186,18
MAIN,2025-06-03,56,62,9:10,10:20,722.5435892165226,7
MAIN,2025-06-03,114,120,18:50,20:00,319.1298740378901,7
MAIN,2025-06-03,123,131,20:20,21:50,1368.1595590316783,9
MAIN,2025-06-04,115,116,19:00,19:20,28.70162102066911,2
MAIN,2025-06-04,123,124,20:20,20:40,197.9816558513932,2
MAIN,2025-06-04,129,129,21:20,21:30,25.36790669519769,1
MAIN,2025-06-05,114,115,18:50,19:10,82.69376382251289,2
MAIN,2025-06-05,121,121,20:00,20:10,7.62035995317467,1
MAIN,2025-06-06,123,124,20:20,20:40,892.7490900891028,2
MAIN,2025-06-07,42,46,6:50,7:40,403.9584480573846,5
