policy,month,grid_plan_kwh,grid_used_kwh,grid_unused_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,pv_curtailment_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slot_count,emergency_event_count
MAIN,2025-02,1990973.9723622927,1865772.0223311095,125201.9500311828,579358.3544356765,471344.6994613313,753.4533467333404,44632.14863683129,1211684.495198168,3536.3501455218284,1215220.84534369,14,10
MAIN,2025-03,1889881.574167064,1774255.3003771214,115626.2737899422,589756.3290461408,475926.91023820505,3450.847444020406,137559.06254653938,1124358.8257736706,20182.549903133862,1144541.3756768045,26,11
MAIN,2025-04,1603357.405324554,1520371.947067323,82985.4582572312,534260.927370415,432958.3729974164,3729.410815927448,205069.20451025196,932882.0234110028,22155.595400897168,955037.6188119,20,4
MAIN,2025-05,1583370.3368226588,1506655.2950150827,76715.0418075759,508312.526940722,411070.7820072106,10072.73032454326,232675.81543944796,938443.4997494906,63198.84715638658,1001642.3469058772,62,14
MAIN,2025-06,2037932.315237644,1896186.140302488,141746.1749351556,569340.9763072563,461449.53590114845,26798.255522125342,65099.78923517232,1260648.0244823662,166434.38073547298,1427082.4052178392,129,32
MAIN,2025-07,2327016.325336224,2130480.2906369213,196536.03469930263,549183.0533902074,449077.4903516514,32064.24764294855,117619.7157246472,1466417.925835115,185385.438270282,1651803.364105397,202,32
MAIN,2025-08,2067013.852634983,1935151.221894237,131862.63074074555,536568.8339831699,430039.6225397016,1300.8827246371984,245810.02890873927,1294962.8837220718,8002.893432148794,1302965.7771542205,44,24
MAIN,2025-09,1832543.32598546,1689412.2529748331,143131.07301062712,544547.693439674,441164.01313639,3087.177361313067,200731.88278286217,1138208.1513575222,19143.549730390954,1157351.7010879132,32,17
MAIN,2025-10,1838097.587554324,1753097.097525585,85000.49002873896,598349.6565339825,485435.4586335507,3096.5003662605304,168145.80895808034,1113576.2934992872,19002.063612415797,1132578.357111703,26,14
MAIN,2025-11,2027474.262509517,1952120.7148406424,75353.54766887431,635297.3396314022,514357.886913771,1782.5019981079622,44991.35613778592,1241973.4664292664,9330.8414012067,1251304.307830473,25,16
MAIN,2025-12,2606033.9784970405,2485930.626794454,120103.3517025858,711270.8958030368,576196.1627706273,20616.970113770483,7435.9276424823165,1627442.75354403,109752.30075429498,1737195.054298325,101,34
