policy,date,slot_id,physical_interval,grid_plan_kwh,day_grid_plan_kwh,day_plan_cost_yuan,day_emergency_cost_yuan,day_total_cost_yuan
MAIN,2025-03-20,61,10:00-10:10,0.0,68903.8505413065,42663.609101728056,390.4760144071713,43054.08511613523
MAIN,2025-03-20,73,12:00-12:10,769.302007648883,68903.8505413065,42663.609101728056,390.4760144071713,43054.08511613523
MAIN,2025-03-20,85,14:00-14:10,0.0,68903.8505413065,42663.609101728056,390.4760144071713,43054.08511613523
MAIN,2025-03-20,97,16:00-16:10,465.8604885780953,68903.8505413065,42663.609101728056,390.4760144071713,43054.08511613523
MAIN,2025-03-20,109,18:00-18:10,718.2212107297255,68903.8505413065,42663.609101728056,390.4760144071713,43054.08511613523
MAIN,2025-03-20,121,20:00-20:10,0.0,68903.8505413065,42663.609101728056,390.4760144071713,43054.08511613523
MAIN,2025-06-21,61,10:00-10:10,0.0,38014.026993471816,21762.930769458275,0.0,21762.930769458275
MAIN,2025-06-21,73,12:00-12:10,0.0,38014.026993471816,21762.930769458275,0.0,21762.930769458275
MAIN,2025-06-21,85,14:00-14:10,0.0,38014.026993471816,21762.930769458275,0.0,21762.930769458275
MAIN,2025-06-21,97,16:00-16:10,165.66181176369142,38014.026993471816,21762.930769458275,0.0,21762.930769458275
MAIN,2025-06-21,109,18:00-18:10,0.0,38014.026993471816,21762.930769458275,0.0,21762.930769458275
MAIN,2025-06-21,121,20:00-20:10,0.0,38014.026993471816,21762.930769458275,0.0,21762.930769458275
MAIN,2025-09-23,61,10:00-10:10,0.0,69879.48424955414,43544.97004323018,40.64133127220725,43585.61137450239
MAIN,2025-09-23,73,12:00-12:10,494.5615653632071,69879.48424955414,43544.97004323018,40.64133127220725,43585.61137450239
MAIN,2025-09-23,85,14:00-14:10,0.0,69879.48424955414,43544.97004323018,40.64133127220725,43585.61137450239
MAIN,2025-09-23,97,16:00-16:10,589.3262128527825,69879.48424955414,43544.97004323018,40.64133127220725,43585.61137450239
MAIN,2025-09-23,109,18:00-18:10,790.3838782743211,69879.48424955414,43544.97004323018,40.64133127220725,43585.61137450239
MAIN,2025-09-23,121,20:00-20:10,0.0,69879.48424955414,43544.97004323018,40.64133127220725,43585.61137450239
MAIN,2025-12-21,61,10:00-10:10,0.0,97601.4304399804,63014.2200661336,6.36403702616494,63020.58410315976
MAIN,2025-12-21,73,12:00-12:10,965.9469196894834,97601.4304399804,63014.2200661336,6.36403702616494,63020.58410315976
MAIN,2025-12-21,85,14:00-14:10,0.0,97601.4304399804,63014.2200661336,6.36403702616494,63020.58410315976
MAIN,2025-12-21,97,16:00-16:10,812.813683734074,97601.4304399804,63014.2200661336,6.36403702616494,63020.58410315976
MAIN,2025-12-21,109,18:00-18:10,740.102460052865,97601.4304399804,63014.2200661336,6.36403702616494,63020.58410315976
MAIN,2025-12-21,121,20:00-20:10,0.0,97601.4304399804,63014.2200661336,6.36403702616494,63020.58410315976
