policy_id,short_label,role,opportunity_hours,total_cost_yuan,delta_vs_main_yuan,emergency_kwh,emergency_cost_yuan,actual_adjustments,soc_end_kwh
P3_MEAN_ROLLOUT_NONE,仅0时,OPPORTUNITY_ABLATION,无,14216150.047031581,474378.21339367144,93886.41049379413,519440.28905304923,0,1812.2269822222222
P3_MEAN_ROLLOUT_06,6时,OPPORTUNITY_ABLATION,6,13977587.461724102,235815.62808619253,47396.605525510924,253610.08600847813,270,1812.2269822222222
P3_MEAN_ROLLOUT_12,12时,OPPORTUNITY_ABLATION,12,13880753.438673008,138981.60503509827,64368.234003252539,334611.35916771833,295,1812.2269822222222
P3_MEAN_ROLLOUT_18,18时,OPPORTUNITY_ABLATION,18,14028085.47323174,286313.63959383033,51324.929140048873,250307.67674495874,107,1812.2269822222222
P3_MEAN_ROLLOUT_0612,6+12,OPPORTUNITY_ABLATION,"6,12",13801250.965074651,59479.13143674098,50554.321576230905,266484.72161615547,554,1812.2269822222222
P3_MEAN_ROLLOUT_0618,6+18,OPPORTUNITY_ABLATION,"6,18",13925823.075279688,184051.2416417785,37189.936423257583,182737.94844685314,389,1812.2269822222222
P3_MEAN_ROLLOUT_1218,12+18,OPPORTUNITY_ABLATION,"12,18",13821197.486452315,79425.65281440504,51903.975820183019,253845.18934397365,395,1812.2269822222222
P3_MAIN_MEAN_ROLLOUT_061218,6+12+18 MAIN,PRIMARY,"6,12,18",13741771.83363791,0.0,37945.439078811847,185927.58694423895,658,1812.2269822222222
P3_NO_PREFIX_061218,NO_PREFIX,SINGLE_FACTOR_ABLATION,"6,12,18",13827562.439871699,85790.60623378865,56069.563021365269,280188.81267018628,582,1812.2269822222217
P3_ROBUST_WORST_061218,WORST,SINGLE_FACTOR_ABLATION,"6,12,18",14277597.930823129,535826.0971852187,7489.1520424777791,39835.779945334427,810,2140.8801266299697
P3_ZERO_TERMINAL_061218,ZERO_TERMINAL,SINGLE_FACTOR_ABLATION,"6,12,18",13745023.244757421,3251.411119511351,38914.156509914646,190787.03090523454,657,1812.2269822222195
P3_PARTIAL_ADJUST_MEAN_ROLLOUT_061218,PARTIAL,PREDECLARED_EXTENSION,"6,12,18",13752670.028196055,10898.194558145478,41872.111194311336,210025.8282219409,699,1812.2269822222222
