month,alpha,count
全年,0,303
全年,0.25,26
全年,0.5,27
全年,0.75,68
全年,1,578
2025-02,0,30
2025-02,0.25,2
2025-02,0.5,4
2025-02,0.75,1
2025-02,1,47
2025-03,0,27
2025-03,0.25,3
2025-03,0.5,3
2025-03,0.75,8
2025-03,1,52
2025-04,0,40
2025-04,0.25,1
2025-04,0.5,2
2025-04,0.75,4
2025-04,1,43
2025-05,0,37
2025-05,0.25,4
2025-05,0.5,2
2025-05,0.75,7
2025-05,1,43
2025-06,0,13
2025-06,0.25,4
2025-06,0.5,6
2025-06,0.75,7
2025-06,1,60
2025-07,0,5
2025-07,0.25,2
2025-07,0.5,3
2025-07,0.75,21
2025-07,1,62
2025-08,0,29
2025-08,0.25,3
2025-08,0.5,2
2025-08,0.75,2
2025-08,1,57
2025-09,0,30
2025-09,0.25,3
2025-09,0.5,1
2025-09,0.75,5
2025-09,1,51
2025-10,0,35
2025-10,0.25,0
2025-10,0.5,2
2025-10,0.75,4
2025-10,1,52
2025-11,0,25
2025-11,0.25,3
2025-11,0.5,1
2025-11,0.75,2
2025-11,1,59
2025-12,0,32
2025-12,0.25,1
2025-12,0.5,1
2025-12,0.75,7
2025-12,1,52
