date,slot_id,physical_interval_start,physical_interval_end,g0_kwh,a_kwh,effective_issue,load_kw,pv_actual_kw,soc_start_kwh,soc_end_kwh,emergency_kwh,total_cost_yuan
2025-03-20,61,2025-03-20T10:00:00,2025-03-20T10:10:00,0,0,2025-03-20T06:00:00,6577.9956000000002,6675.2480999999998,1297.6275278850894,1312.2154028850894,0,0
2025-03-20,73,2025-03-20T12:00:00,2025-03-20T12:10:00,606.73542361111083,499.14167533223701,2025-03-20T06:00:00,5958.8116,8082.9395000000004,6485.6834972136867,7235.6834972136867,0,243.90119417195535
2025-03-20,85,2025-03-20T14:00:00,2025-03-20T14:10:00,0,0,2025-03-20T06:00:00,6283.4822999999997,6453.6136999999999,10255.771229111229,10281.29093911123,0,0
2025-03-20,97,2025-03-20T16:00:00,2025-03-20T16:10:00,679.41450694444438,537.93952412320073,2025-03-20T06:00:00,6153.3743000000004,2779.8049999999998,10398.973475622119,10371.949002425676,0,503.43675954802461
2025-03-20,109,2025-03-20T18:00:00,2025-03-20T18:10:00,715.14598333333345,715.14598333333345,2025-03-20T18:00:00,4187.9836999999998,0,10800,10800,0,898.29486966500019
2025-03-20,121,2025-03-20T20:00:00,2025-03-20T20:10:00,0,0,2025-03-20T18:00:00,4586.0191000000004,0,4763.8888148148135,3914.6260185185174,0,0
2025-06-21,61,2025-06-21T10:00:00,2025-06-21T10:10:00,0,0,2025-06-21T00:00:00,3826.1041,6589.8892999999998,6463.3780944290156,6877.945874429015,0,0
2025-06-21,73,2025-06-21T12:00:00,2025-06-21T12:10:00,0,0,2025-06-21T00:00:00,3735.5414999999998,8044.2631000000001,10800,10800,0,0
2025-06-21,85,2025-06-21T14:00:00,2025-06-21T14:10:00,0,0,2025-06-21T00:00:00,4047.8905,5941.7978000000003,10800,10800,0,0
2025-06-21,97,2025-06-21T16:00:00,2025-06-21T16:10:00,262.76901249999992,262.76901249999992,2025-06-21T00:00:00,4034.2858000000001,3562.8564999999999,10800,10800,0,217.33625023874993
2025-06-21,109,2025-06-21T18:00:00,2025-06-21T18:10:00,198.45849166666704,198.45849166666704,2025-06-21T00:00:00,3274.4828000000002,860.32860000000005,10800,10573.443842592593,0,249.28371138250048
2025-06-21,121,2025-06-21T20:00:00,2025-06-21T20:10:00,0,0,2025-06-21T00:00:00,3348.2366000000002,0,5516.2649629629632,4896.2211481481481,0,0
2025-09-23,61,2025-09-23T10:00:00,2025-09-23T10:10:00,0,0,2025-09-23T06:00:00,6527.0911999999998,6506.7574000000004,2192.5531478805583,2188.7876293620398,0,0
2025-09-23,73,2025-09-23T12:00:00,2025-09-23T12:10:00,451.17640833333371,0,2025-09-23T12:00:00,5815.5592999999999,8690.3914999999997,7847.7902443620396,8279.0150743620397,0,99.506956857916748
2025-09-23,85,2025-09-23T14:00:00,2025-09-23T14:10:00,0,0,2025-09-23T12:00:00,6298.6605,6838.0168000000003,10800,10800,0,0
2025-09-23,97,2025-09-23T16:00:00,2025-09-23T16:10:00,634.27603888888871,600.18122395730006,2025-09-23T12:00:00,6704.9712,3168.3753000000002,10772.542518535742,10782.216235097312,1.1368683772161603e-13,510.5098010500418
2025-09-23,109,2025-09-23T18:00:00,2025-09-23T18:10:00,778.57794999999999,778.35803779881905,2025-09-23T12:00:00,4585.9790999999996,0,10800,10800,0,977.83364713704827
2025-09-23,121,2025-09-23T20:00:00,2025-09-23T20:10:00,0,0,2025-09-23T12:00:00,4963.0686999999998,0,4613.5777592592603,3694.4909629629642,0,0
2025-12-21,61,2025-12-21T10:00:00,2025-12-21T10:10:00,0,0,2025-12-21T06:00:00,6873.3728000000001,4886.2111000000004,3396.1768284714594,3028.1839210640519,0,0
2025-12-21,73,2025-12-21T12:00:00,2025-12-21T12:10:00,1047.6567819444444,980.00307622121193,2025-12-21T12:00:00,6501.8630000000003,5904.8948,7954.481036764204,8704.481036764204,0,447.20038171843555
2025-12-21,85,2025-12-21T14:00:00,2025-12-21T14:10:00,0,0,2025-12-21T12:00:00,6474.7834000000003,4705.4039000000002,10464.574537037037,10136.911666666667,0,0
2025-12-21,97,2025-12-21T16:00:00,2025-12-21T16:10:00,861.76640000000043,861.76640000000043,2025-12-21T12:00:00,6007.3440000000001,1199.0527999999999,10800,10800,0,712.76698944000032
2025-12-21,109,2025-12-21T18:00:00,2025-12-21T18:10:00,750.30226666666545,750.30226666666545,2025-12-21T12:00:00,4292.4867000000004,0,10800,10800,0,942.45467715999848
2025-12-21,121,2025-12-21T20:00:00,2025-12-21T20:10:00,0,0,2025-12-21T12:00:00,4485.5154000000002,0,4651.8474814814826,3821.1964814814828,0,0
