metric,value,unit
candidate,P3_MAIN_MEAN_ROLLOUT_061218,
formal_days,334,day
formal_slots,48096,slot
total_cost,13741771.83363791,CNY
ordinary_contract_cost,13555844.246693669,CNY
retained_cost,13058408.059413992,CNY
increase_cost,177115.23799251666,CNY
cancellation_cost,320320.94928716117,CNY
emergency_cost,185927.58694423895,CNY
emergency_purchase,37945.439078811847,kWh
grid_unused,851430.45305360481,kWh
pv_curtailment,1392685.2229671348,kWh
soc_start,9265.2592720740777,kWh
soc_end,1812.2269822222222,kWh
allowed_adjustments,1002,event
actual_adjustments,658,event
rejected_adjustments,344,event
result3_sha256,4d63a8e740d872c71994d75bdf42865fc3e595f75968ced03e3c968870d8ffa8,sha256
