policy_id,month,retained_cost_yuan,increase_cost_yuan,cancellation_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,a_kwh,grid_used_kwh,grid_unused_kwh,pv_curtailment_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,initial_quote_yuan,allowed_adjustments,actual_adjustments,rejected_adjustments,emergency_positive_slots,emergency_subthreshold_kwh,emergency_events,unused_normal_price_proxy_yuan,net_contract_change_kwh,revision_absolute_kwh,soc_start_kwh,soc_end_kwh
P3_MAIN_MEAN_ROLLOUT_061218,2025-02,1173642.5692675267,1755.6180632643509,33405.265079253906,1619.909715848034,1210423.3621258931,2023568.7409666604,1926134.5516552306,1859780.4289220658,66354.122733165132,42555.051066069522,580396.87569006067,476730.49827159353,320.67162913784807,1240453.0994260346,84,49,35,14,6.5050187458837172e-12,12,38330.913603803914,-97434.189311430091,108875.95187752679,9265.2592720740777,1921.8937580246961
P3_MAIN_MEAN_ROLLOUT_061218,2025-03,1082627.4920449802,13334.516176161711,30786.570613605163,545.25116426668092,1127293.8299990136,1909248.6421493501,1821057.4533938298,1763990.7330742993,57066.720319529973,124355.9396337949,596618.77687049145,483222.91844248702,78.731454166671909,1144200.6332721903,93,64,29,3,6.3380412029800937e-12,3,35022.963785863183,-88191.188755521158,148236.19414131192,1921.8937580246961,1964.439116481482
P3_MAIN_MEAN_ROLLOUT_061218,2025-04,903154.69953547197,11323.833955366565,22683.96721840656,831.81236629689954,937994.31307554222,1619356.3904605263,1550396.5737386597,1506238.8133827285,44157.760355930848,187797.03911116265,532221.31392847386,431389.65965261939,119.47900428846849,948522.6339722852,90,48,42,2,3.907985046680551e-12,2,26135.447129843313,-68959.81672186678,113055.05527545435,1964.439116481482,1641.777593641975
P3_MAIN_MEAN_ROLLOUT_061218,2025-05,924175.15567207709,10411.384826527999,18265.306748009589,46935.183399829919,999787.03064644453,1602542.5476453917,1543424.0957704808,1492496.5350334905,50927.560736990308,218437.86865208796,499084.57880477695,402899.4696146471,8936.9077753941365,960705.76916809625,93,51,42,118,3.780087354243733e-12,23,35925.897419697605,-59118.451874911087,102828.760215535,1641.777593641975,3151.8211683333316
P3_MAIN_MEAN_ROLLOUT_061218,2025-06,1257609.0620900071,26355.239161900954,26826.408974458845,43214.171829664716,1354004.8820560316,2094999.2931562418,2028288.0897203023,1920168.9508291003,108119.13889120203,76053.839215311833,546827.62816646241,443104.38932971971,9601.2934062874101,1311261.880038925,90,71,19,139,7.6507689072968788e-12,31,74220.597175399074,-66711.203435939024,133911.88014034432,3151.8211683333316,2958.4761517942584
P3_MAIN_MEAN_ROLLOUT_061218,2025-07,1425970.7516913146,55116.598372350716,50231.0200794142,35054.931103777904,1566373.301246858,2398850.6038061283,2296879.8555483534,2156866.2491155006,140013.60643285283,115500.97388828239,550528.98185800994,446166.36382790888,7816.6023195495927,1526432.7918501436,93,83,10,142,8.0042639183375286e-12,35,88250.628651216321,-101970.74825777492,238496.75102441889,2958.4761517942584,2694.155570771054
P3_MAIN_MEAN_ROLLOUT_061218,2025-08,1243883.8814353736,8494.3982652781651,30018.909966425486,8822.1912530639074,1291219.380920141,2068359.9957513439,1978545.7043727201,1910001.0070149517,68544.697357768557,226075.95335694065,533123.97991365206,432006.09880008554,1305.6917222222273,1303921.7013682243,93,60,33,56,5.2722270993399434e-12,33,44301.292106994457,-89814.291378623995,126781.91015023235,2694.155570771054,2498.9610485185203
P3_MAIN_MEAN_ROLLOUT_061218,2025-09,1086884.6053081525,11220.351013498861,29705.45316629962,1731.6693257683864,1129542.0788137196,1839640.2815433089,1753900.7432954316,1675967.6776768849,77933.065618546563,184690.96928887733,544870.32439068216,441720.20766128594,257.2755913885801,1146295.5116407517,90,55,35,12,4.9737991503207013e-12,12,51217.614962099346,-85739.538247877266,139053.92702732008,2498.9610485185203,2082.0222653703686
P3_MAIN_MEAN_ROLLOUT_061218,2025-10,1089466.9028578959,8790.432098079591,34163.88216447283,1177.1169404256534,1133598.3340608741,1901860.210611722,1794778.7770988559,1740369.5232138401,54409.253885016544,152653.40107549139,593247.18409081793,480481.88297472917,182.77001107363327,1157794.6671868416,93,58,35,4,4.6043169277254492e-12,4,33927.430595178172,-107081.43351286538,140265.26012289649,2082.0222653703686,2135.7290862962964
P3_MAIN_MEAN_ROLLOUT_061218,2025-11,1236992.7068429131,16019.599459516603,19350.918358490344,1098.7314786722275,1273461.956139592,2077921.4757916795,2028219.2154880459,1963018.906332247,65200.309155799223,57011.69930436273,624190.21587525681,505971.1905752914,184.22625541459837,1275694.5435598937,90,60,30,7,3.3431035717512714e-12,7,39187.79112883006,-49702.260303633404,108621.98711740463,2135.7290862962964,1716.7116237037039
P3_MAIN_MEAN_ROLLOUT_061218,2025-12,1634000.2326682806,14293.26660057118,24883.246918324628,44896.6183666246,1718073.3645538006,2682467.7887237775,2614139.4484877544,2495435.2309209513,118704.21756680285,7552.488374753324,699482.27578992979,566494.67956717638,9141.7899098886774,1683766.7265049294,93,59,34,49,1.1951328815484885e-11,12,70537.776303482518,-68328.340236023752,110229.55483156329,1716.7116237037039,1812.2269822222222
