slot_id,source_file,source_sheet,source_row,source_time_cell,raw_time_value,raw_time_type,raw_time_number_format,time_marker_normalized,price_fixed_yuan_per_kwh,load_kw,pv_forecast_kw
1,附件1.xlsx,Sheet1,2,A2,6.9444444444444441E-3,excel_numeric_time_serial,h:mm,0:10,0.4248,3439.8466,0
2,附件1.xlsx,Sheet1,3,A3,1.3888888888888888E-2,excel_numeric_time_serial,h:mm,0:20,0.4245,3437.9792,0
3,附件1.xlsx,Sheet1,4,A4,2.0833333333333332E-2,excel_numeric_time_serial,h:mm,0:30,0.4269,3444.3031,0
4,附件1.xlsx,Sheet1,5,A5,2.7777777777777776E-2,excel_numeric_time_serial,h:mm,0:40,0.4272,3454.4437,0
5,附件1.xlsx,Sheet1,6,A6,3.4722222222222224E-2,excel_numeric_time_serial,h:mm,0:50,0.4271,3458.8273,0
6,附件1.xlsx,Sheet1,7,A7,4.1666666666666664E-2,excel_numeric_time_serial,h:mm,1:00,0.4285,3459.8401,0
7,附件1.xlsx,Sheet1,8,A8,4.8611111111111112E-2,excel_numeric_time_serial,h:mm,1:10,0.4311,3467.1582,0
8,附件1.xlsx,Sheet1,9,A9,5.5555555555555552E-2,excel_numeric_time_serial,h:mm,1:20,0.4302,3467.9632,0
9,附件1.xlsx,Sheet1,10,A10,6.25E-2,excel_numeric_time_serial,h:mm,1:30,0.4279,3466.9683,0
10,附件1.xlsx,Sheet1,11,A11,6.9444444444444434E-2,excel_numeric_time_serial,h:mm,1:40,0.4312,3482.4927,0
11,附件1.xlsx,Sheet1,12,A12,7.6388888888888895E-2,excel_numeric_time_serial,h:mm,1:50,0.4333,3495.0841,0
12,附件1.xlsx,Sheet1,13,A13,8.3333333333333329E-2,excel_numeric_time_serial,h:mm,2:00,0.4311,3498.4443,0
13,附件1.xlsx,Sheet1,14,A14,9.0277777777777776E-2,excel_numeric_time_serial,h:mm,2:10,0.4293,3505.2295,0
14,附件1.xlsx,Sheet1,15,A15,9.7222222222222224E-2,excel_numeric_time_serial,h:mm,2:20,0.4324,3512.6387,0
15,附件1.xlsx,Sheet1,16,A16,0.10416666666666667,excel_numeric_time_serial,h:mm,2:30,0.4367,3516.8685,0
16,附件1.xlsx,Sheet1,17,A17,0.1111111111111111,excel_numeric_time_serial,h:mm,2:40,0.4348,3517.9246,0
17,附件1.xlsx,Sheet1,18,A18,0.11805555555555557,excel_numeric_time_serial,h:mm,2:50,0.4335,3518.5518,0
18,附件1.xlsx,Sheet1,19,A19,0.125,excel_numeric_time_serial,h:mm,3:00,0.4357,3521.0976,0
19,附件1.xlsx,Sheet1,20,A20,0.13194444444444445,excel_numeric_time_serial,h:mm,3:10,0.4374,3526.9261,0
20,附件1.xlsx,Sheet1,21,A21,0.1388888888888889,excel_numeric_time_serial,h:mm,3:20,0.4371,3537.2854,0
21,附件1.xlsx,Sheet1,22,A22,0.14583333333333334,excel_numeric_time_serial,h:mm,3:30,0.4356,3544.8808,0
