issue_date,issue_clock,issue_datetime,horizon_hour,nominal_target_datetime,pv_forecast_kw,date_raw,date_derivation,source_file,source_sheet,source_row,source_forecast_column,source_cell,raw_forecast_value
2025-01-01,0:00,2025-01-01 00:00:00,1,2025-01-01 01:00:00,0,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,C,C2,0
2025-01-01,0:00,2025-01-01 00:00:00,2,2025-01-01 02:00:00,0,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,D,D2,0
2025-01-01,0:00,2025-01-01 00:00:00,3,2025-01-01 03:00:00,0,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,E,E2,0
2025-01-01,0:00,2025-01-01 00:00:00,4,2025-01-01 04:00:00,0,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,F,F2,0
2025-01-01,0:00,2025-01-01 00:00:00,5,2025-01-01 05:00:00,0,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,G,G2,0
2025-01-01,0:00,2025-01-01 00:00:00,6,2025-01-01 06:00:00,0,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,H,H2,0
2025-01-01,0:00,2025-01-01 00:00:00,7,2025-01-01 07:00:00,3.1173,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,I,I2,3.1173000000000002
2025-01-01,0:00,2025-01-01 00:00:00,8,2025-01-01 08:00:00,1603.3305,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,J,J2,1603.3305
2025-01-01,0:00,2025-01-01 00:00:00,9,2025-01-01 09:00:00,3409.0929,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,K,K2,3409.0929000000001
2025-01-01,0:00,2025-01-01 00:00:00,10,2025-01-01 10:00:00,4871.2875,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,L,L2,4871.2875000000004
2025-01-01,0:00,2025-01-01 00:00:00,11,2025-01-01 11:00:00,5785.111,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,M,M2,5785.1109999999999
2025-01-01,0:00,2025-01-01 00:00:00,12,2025-01-01 12:00:00,5737.1717,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,N,N2,5737.1716999999999
2025-01-01,0:00,2025-01-01 00:00:00,13,2025-01-01 13:00:00,6047.3964,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,O,O2,6047.3963999999996
2025-01-01,0:00,2025-01-01 00:00:00,14,2025-01-01 14:00:00,4687.1165,2025-1-1,original_0h_date,附件3.xlsx,Sheet1,2,P,P2,4687.1165000000001
