date,slot_id,time_marker_normalized,load_kw,pv_actual_kw,load_source_cell,pv_source_cell
2025-01-01,1,0:10,3529.7296,0,B2,B2
2025-01-01,2,0:20,3609.5287,0,C2,C2
2025-01-01,3,0:30,3726.56,0,D2,D2
2025-01-01,4,0:40,3510.6311,0,E2,E2
2025-01-01,5,0:50,3502.5625,0,F2,F2
2025-01-01,6,1:00,3787.01,0,G2,G2
2025-01-01,7,1:10,3900.3205,0,H2,H2
2025-01-01,8,1:20,3916.8376,0,I2,I2
2025-01-01,9,1:30,3817.28,0,J2,J2
2025-01-01,10,1:40,3533.0136,0,K2,K2
2025-01-01,11,1:50,3694.6613,0,L2,L2
2025-01-01,12,2:00,4064.73,0,M2,M2
2025-01-01,13,2:10,3810.671,0,N2,N2
2025-01-01,14,2:20,3844.9495,0,O2,O2
2025-01-01,15,2:30,4234.62,0,P2,P2
2025-01-01,16,2:40,4109.9755,0,Q2,Q2
2025-01-01,17,2:50,3996.8945,0,R2,R2
2025-01-01,18,3:00,4102.19,0,S2,S2
2025-01-01,19,3:10,4086.0577,0,T2,T2
2025-01-01,20,3:20,4133.7626,0,U2,U2
2025-01-01,21,3:30,4179.18,0,V2,V2
2025-01-01,22,3:40,3953.3711,0,W2,W2
2025-01-01,23,3:50,3910.7496,0,X2,X2
2025-01-01,24,4:00,4099.31,0,Y2,Y2
2025-01-01,25,4:10,4123.8623,0,Z2,Z2
2025-01-01,26,4:20,4169.0068,0,AA2,AA2
2025-01-01,27,4:30,4260.24,0,AB2,AB2
2025-01-01,28,4:40,4217.2222,0,AC2,AC2
2025-01-01,29,4:50,4261.857,0,AD2,AD2
2025-01-01,30,5:00,4341.9,0,AE2,AE2
2025-01-01,31,5:10,4208.2208,0.0021,AF2,AF2
2025-01-01,32,5:20,4302.1233,0,AG2,AG2
2025-01-01,33,5:30,4456.59,0,AH2,AH2
2025-01-01,34,5:40,4148.637,0.0299,AI2,AI2
2025-01-01,35,5:50,4498.1333,0,AJ2,AJ2
2025-01-01,36,6:00,5369.38,0,AK2,AK2
2025-01-01,37,6:10,5440.8991,0.4169,AL2,AL2
2025-01-01,38,6:20,5316.893,0,AM2,AM2
2025-01-01,39,6:30,5399.82,0,AN2,AN2
2025-01-01,40,6:40,5447.4007,5.8062,AO2,AO2
2025-01-01,41,6:50,5444.401,0,AP2,AP2
2025-01-01,42,7:00,5433.63,3.075,AQ2,AQ2
2025-01-01,43,7:10,5449.2818,175.7953,AR2,AR2
2025-01-01,44,7:20,5510.0042,421.496,AS2,AS2
2025-01-01,45,7:30,5476,677.1,AT2,AT2
