block_id,source_rows,anchor_date_raw,anchor_date_parsed,issue_clock_sequence,trailing_date_raw_values,trailing_xml_raw_v_values,trailing_cell_types,trailing_shared_string_resolved_values,structure_ok,issue_detail
1,2-5,2025-1-1,2025-01-01,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
2,6-9,2025-1-2,2025-01-02,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
3,10-13,2025-1-3,2025-01-03,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
4,14-17,2025-1-4,2025-01-04,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
5,18-21,2025-1-5,2025-01-05,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
6,22-25,2025-1-6,2025-01-06,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
7,26-29,2025-1-7,2025-01-07,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
8,30-33,2025-1-8,2025-01-08,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
9,34-37,2025-1-9,2025-01-09,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
10,38-41,2025-1-10,2025-01-10,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
11,42-45,2025-1-11,2025-01-11,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
12,46-49,2025-1-12,2025-01-12,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
13,50-53,2025-1-13,2025-01-13,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
14,54-57,2025-1-14,2025-01-14,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
15,58-61,2025-1-15,2025-01-15,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
16,62-65,2025-1-16,2025-01-16,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
17,66-69,2025-1-17,2025-01-17,0:00 | 6:00 | 12:00 | 18:00,"["""", """", """"]","[""28"", ""28"", ""28""]","[""s"", ""s"", ""s""]","["""", """", """"]",true,
