file_name,relative_path,sha256,reference_sha256,hash_matches_reference,hash_unchanged_during_run,file_size_bytes,sheet_name,used_range_or_dimensions,row_count,column_count
C题.pdf,input/original/C题.pdf,2c098f6ae9dd47ae965aebdec3b9facf3de6c173f999783c1012c08fc5fb9d2d,2c098f6ae9dd47ae965aebdec3b9facf3de6c173f999783c1012c08fc5fb9d2d,true,true,354389,(PDF),pages=3,3,
附件1.xlsx,input/original/附件1.xlsx,66b87134f5ecccd68184d3539bb1293ef039f9e0fdd955a589b9bfa7f227c377,66b87134f5ecccd68184d3539bb1293ef039f9e0fdd955a589b9bfa7f227c377,true,true,16003,Sheet1,Sheet1:A1:D145,145,4
附件2.xlsx,input/original/附件2.xlsx,2e95fd446bfafa0d8c59577b5c2e2ea8b3f1def20dde54a3062556f4da9b4c72,2e95fd446bfafa0d8c59577b5c2e2ea8b3f1def20dde54a3062556f4da9b4c72,true,true,907128,小区负载 | 光伏发电实际功率,小区负载:A1:EO366; 光伏发电实际功率:A1:EO366,366 | 366,145 | 145
附件3.xlsx,input/original/附件3.xlsx,8a61b06c52bd0d639a1cc37c61a7d9f5b75edcbca718f64c1bd3498ec9f9d843,8a61b06c52bd0d639a1cc37c61a7d9f5b75edcbca718f64c1bd3498ec9f9d843,true,true,293526,Sheet1,Sheet1:A1:Z1461,1461,26
附件4.xlsx,input/original/附件4.xlsx,20e9c93aeab5e8e21ae4dd15587f9e190f7408692504c1319598461cd654fe71,20e9c93aeab5e8e21ae4dd15587f9e190f7408692504c1319598461cd654fe71,true,true,409790,Sheet1,Sheet1:A1:EO366,366,145
result1.xlsx,input/templates/result1.xlsx,28360e0974e7d6065394a8aba4e14a86773ae0036cc7d3ea1b211b515b03d688,28360e0974e7d6065394a8aba4e14a86773ae0036cc7d3ea1b211b515b03d688,true,true,13323,计划购电量 | 充放电量,计划购电量:A1:B145; 充放电量:A1:E7,145 | 7,2 | 5
result2.xlsx,input/templates/result2.xlsx,1c26494cfc6d754e0bd9bff7e13e1126a73d2d2da6c5336eb251d89b9a1a1a47,1c26494cfc6d754e0bd9bff7e13e1126a73d2d2da6c5336eb251d89b9a1a1a47,true,true,18397,计划购电量 | 充放电量 | 紧急购电量,计划购电量:A1:EQ335; 充放电量:A1:F20; 紧急购电量:A1:C11,335 | 20 | 11,147 | 6 | 3
result3.xlsx,input/templates/result3.xlsx,c59da470cabd0be23f602c95c8aa9d11ec224a0cdac216b3e1f218e65d006bdc,c59da470cabd0be23f602c95c8aa9d11ec224a0cdac216b3e1f218e65d006bdc,true,true,265429,计划购电量 | 调整购电量 | 充放电量 | 紧急购电量,计划购电量:A1:EQ335; 调整购电量:A1:EQ335; 充放电量:A1:F26; 紧急购电量:A1:C11,335 | 335 | 26 | 11,147 | 147 | 6 | 3
result4-2.xlsx,input/templates/result4-2.xlsx,1c26494cfc6d754e0bd9bff7e13e1126a73d2d2da6c5336eb251d89b9a1a1a47,1c26494cfc6d754e0bd9bff7e13e1126a73d2d2da6c5336eb251d89b9a1a1a47,true,true,18397,计划购电量 | 充放电量 | 紧急购电量,计划购电量:A1:EQ335; 充放电量:A1:F20; 紧急购电量:A1:C11,335 | 20 | 11,147 | 6 | 3
result4-3.xlsx,input/templates/result4-3.xlsx,c59da470cabd0be23f602c95c8aa9d11ec224a0cdac216b3e1f218e65d006bdc,c59da470cabd0be23f602c95c8aa9d11ec224a0cdac216b3e1f218e65d006bdc,true,true,265429,计划购电量 | 调整购电量 | 充放电量 | 紧急购电量,计划购电量:A1:EQ335; 调整购电量:A1:EQ335; 充放电量:A1:F26; 紧急购电量:A1:C11,335 | 335 | 26 | 11,147 | 147 | 6 | 3
