file_name,relative_path,sheet_name,used_range_or_dimensions,row_count,column_count,header_fields,structure_note
C题.pdf,input/original/C题.pdf,(PDF),pages=3,3,,,Official problem statement; read-only.
附件1.xlsx,input/original/附件1.xlsx,Sheet1,A1:D145,145,4,时间 | 电价 | 小区负载 | 光伏发电预测功率,Read-only workbook schema audit.
附件2.xlsx,input/original/附件2.xlsx,小区负载,A1:EO366,366,145,日期\时间 | 00:10:00 | 00:20:00 | 00:30:00 | 00:40:00 | 00:50:00 | 01:00:00 | 01:10:00 | 01:20:00 | 01:30:00 | 01:40:00 | 01:50:00 | 02:00:00 | 02:10:00 | 02:20:00 | 02:30:00 | 02:40:00 | 02:50:00 | 03:00:00 | 03:10:00 | 03:20:00 | 03:30:00 | 03:40:00 | 03:50:00 | 04:00:00 | 04:10:00 | 04:20:00 | 04:30:00 | 04:40:00 | 04:50:00 | 05:00:00 | 05:10:00 | 05:20:00 | 05:30:00 | 05:40:00 | 05:50:00 | 06:00:00 | 06:10:00 | 06:20:00 | 06:30:00 | 06:40:00 | 06:50:00 | 07:00:00 | 07:10:00 | 07:20:00 | 07:30:00 | 07:40:00 | 07:50:00 | 08:00:00 | 08:10:00 | 08:20:00 | 08:30:00 | 08:40:00 | 08:50:00 | 09:00:00 | 09:10:00 | 09:20:00 | 09:30:00 | 09:40:00 | 09:50:00 | 10:00:00 | 10:10:00 | 10:20:00 | 10:30:00 | 10:40:00 | 10:50:00 | 11:00:00 | 11:10:00 | 11:20:00 | 11:30:00 | 11:40:00 | 11:50:00 | 12:00:00 | 12:10:00 | 12:20:00 | 12:30:00 | 12:40:00 | 12:50:00 | 13:00:00 | 13:10:00 | 13:20:00 | 13:30:00 | 13:40:00 | 13:50:00 | 14:00:00 | 14:10:00 | 14:20:00 | 14:30:00 | 14:40:00 | 14:50:00 | 15:00:00 | 15:10:00 | 15:20:00 | 15:30:00 | 15:40:00 | 15:50:00 | 16:00:00 | 16:10:00 | 16:20:00 | 16:30:00 | 16:40:00 | 16:50:00 | 17:00:00 | 17:10:00 | 17:20:00 | 17:30:00 | 17:40:00 | 17:50:00 | 18:00:00 | 18:10:00 | 18:20:00 | 18:30:00 | 18:40:00 | 18:50:00 | 19:00:00 | 19:10:00 | 19:20:00 | 19:30:00 | 19:40:00 | 19:50:00 | 20:00:00 | 20:10:00 | 20:20:00 | 20:30:00 | 20:40:00 | 20:50:00 | 21:00:00 | 21:10:00 | 21:20:00 | 21:30:00 | 21:40:00 | 21:50:00 | 22:00:00 | 22:10:00 | 22:20:00 | 22:30:00 | 22:40:00 | 22:50:00 | 23:00:00 | 23:10:00 | 23:20:00 | 23:30:00 | 23:40:00 | 23:50:00 | 0:00+1,Read-only workbook schema audit.
附件2.xlsx,input/original/附件2.xlsx,光伏发电实际功率,A1:EO366,366,145,日期\时间 | 00:10:00 | 00:20:00 | 00:30:00 | 00:40:00 | 00:50:00 | 01:00:00 | 01:10:00 | 01:20:00 | 01:30:00 | 01:40:00 | 01:50:00 | 02:00:00 | 02:10:00 | 02:20:00 | 02:30:00 | 02:40:00 | 02:50:00 | 03:00:00 | 03:10:00 | 03:20:00 | 03:30:00 | 03:40:00 | 03:50:00 | 04:00:00 | 04:10:00 | 04:20:00 | 04:30:00 | 04:40:00 | 04:50:00 | 05:00:00 | 05:10:00 | 05:20:00 | 05:30:00 | 05:40:00 | 05:50:00 | 06:00:00 | 06:10:00 | 06:20:00 | 06:30:00 | 06:40:00 | 06:50:00 | 07:00:00 | 07:10:00 | 07:20:00 | 07:30:00 | 07:40:00 | 07:50:00 | 08:00:00 | 08:10:00 | 08:20:00 | 08:30:00 | 08:40:00 | 08:50:00 | 09:00:00 | 09:10:00 | 09:20:00 | 09:30:00 | 09:40:00 | 09:50:00 | 10:00:00 | 10:10:00 | 10:20:00 | 10:30:00 | 10:40:00 | 10:50:00 | 11:00:00 | 11:10:00 | 11:20:00 | 11:30:00 | 11:40:00 | 11:50:00 | 12:00:00 | 12:10:00 | 12:20:00 | 12:30:00 | 12:40:00 | 12:50:00 | 13:00:00 | 13:10:00 | 13:20:00 | 13:30:00 | 13:40:00 | 13:50:00 | 14:00:00 | 14:10:00 | 14:20:00 | 14:30:00 | 14:40:00 | 14:50:00 | 15:00:00 | 15:10:00 | 15:20:00 | 15:30:00 | 15:40:00 | 15:50:00 | 16:00:00 | 16:10:00 | 16:20:00 | 16:30:00 | 16:40:00 | 16:50:00 | 17:00:00 | 17:10:00 | 17:20:00 | 17:30:00 | 17:40:00 | 17:50:00 | 18:00:00 | 18:10:00 | 18:20:00 | 18:30:00 | 18:40:00 | 18:50:00 | 19:00:00 | 19:10:00 | 19:20:00 | 19:30:00 | 19:40:00 | 19:50:00 | 20:00:00 | 20:10:00 | 20:20:00 | 20:30:00 | 20:40:00 | 20:50:00 | 21:00:00 | 21:10:00 | 21:20:00 | 21:30:00 | 21:40:00 | 21:50:00 | 22:00:00 | 22:10:00 | 22:20:00 | 22:30:00 | 22:40:00 | 22:50:00 | 23:00:00 | 23:10:00 | 23:20:00 | 23:30:00 | 23:40:00 | 23:50:00 | 0:00+1,Read-only workbook schema audit.
附件3.xlsx,input/original/附件3.xlsx,Sheet1,A1:Z1461,1461,26,日期 | 预报时刻 | 预报1小时 | 预报2小时 | 预报3小时 | 预报4小时 | 预报5小时 | 预报6小时 | 预报7小时 | 预报8小时 | 预报9小时 | 预报10小时 | 预报11小时 | 预报12小时 | 预报13小时 | 预报14小时 | 预报15小时 | 预报16小时 | 预报17小时 | 预报18小时 | 预报19小时 | 预报20小时 | 预报21小时 | 预报22小时 | 预报23小时 | 预报24小时,Read-only workbook schema audit.
附件4.xlsx,input/original/附件4.xlsx,Sheet1,A1:EO366,366,145,日期\时间 | 00:10:00 | 00:20:00 | 00:30:00 | 00:40:00 | 00:50:00 | 01:00:00 | 01:10:00 | 01:20:00 | 01:30:00 | 01:40:00 | 01:50:00 | 02:00:00 | 02:10:00 | 02:20:00 | 02:30:00 | 02:40:00 | 02:50:00 | 03:00:00 | 03:10:00 | 03:20:00 | 03:30:00 | 03:40:00 | 03:50:00 | 04:00:00 | 04:10:00 | 04:20:00 | 04:30:00 | 04:40:00 | 04:50:00 | 05:00:00 | 05:10:00 | 05:20:00 | 05:30:00 | 05:40:00 | 05:50:00 | 06:00:00 | 06:10:00 | 06:20:00 | 06:30:00 | 06:40:00 | 06:50:00 | 07:00:00 | 07:10:00 | 07:20:00 | 07:30:00 | 07:40:00 | 07:50:00 | 08:00:00 | 08:10:00 | 08:20:00 | 08:30:00 | 08:40:00 | 08:50:00 | 09:00:00 | 09:10:00 | 09:20:00 | 09:30:00 | 09:40:00 | 09:50:00 | 10:00:00 | 10:10:00 | 10:20:00 | 10:30:00 | 10:40:00 | 10:50:00 | 11:00:00 | 11:10:00 | 11:20:00 | 11:30:00 | 11:40:00 | 11:50:00 | 12:00:00 | 12:10:00 | 12:20:00 | 12:30:00 | 12:40:00 | 12:50:00 | 13:00:00 | 13:10:00 | 13:20:00 | 13:30:00 | 13:40:00 | 13:50:00 | 14:00:00 | 14:10:00 | 14:20:00 | 14:30:00 | 14:40:00 | 14:50:00 | 15:00:00 | 15:10:00 | 15:20:00 | 15:30:00 | 15:40:00 | 15:50:00 | 16:00:00 | 16:10:00 | 16:20:00 | 16:30:00 | 16:40:00 | 16:50:00 | 17:00:00 | 17:10:00 | 17:20:00 | 17:30:00 | 17:40:00 | 17:50:00 | 18:00:00 | 18:10:00 | 18:20:00 | 18:30:00 | 18:40:00 | 18:50:00 | 19:00:00 | 19:10:00 | 19:20:00 | 19:30:00 | 19:40:00 | 19:50:00 | 20:00:00 | 20:10:00 | 20:20:00 | 20:30:00 | 20:40:00 | 20:50:00 | 21:00:00 | 21:10:00 | 21:20:00 | 21:30:00 | 21:40:00 | 21:50:00 | 22:00:00 | 22:10:00 | 22:20:00 | 22:30:00 | 22:40:00 | 22:50:00 | 23:00:00 | 23:10:00 | 23:20:00 | 23:30:00 | 23:40:00 | 23:50:00 | 0:00+1,Read-only workbook schema audit.
result1.xlsx,input/templates/result1.xlsx,计划购电量,A1:B145,145,2,时间段 | 购电量,Read-only workbook schema audit.
result1.xlsx,input/templates/result1.xlsx,充放电量,A1:E7,7,5,时间段 | 充电量 | 放电量 | 时刻 | 储电量,Read-only workbook schema audit.
result2.xlsx,input/templates/result2.xlsx,计划购电量,A1:EQ335,335,147,日期\时间 | 0:10-0:20 | 0:20-0:30 | 0:30-0:40 | 0:40-0:50 | 0:50-1:00 | 1:00-1:10 | 1:10-1:20 | 1:20-1:30 | 1:30-1:40 | 1:40-1:50 | 1:50-2:00 | 2:00-2:10 | 2:10-2:20 | 2:20-2:30 | 2:30-2:40 | 2:40-2:50 | 2:50-3:00 | 3:00-3:10 | 3:10-3:20 | 3:20-3:30 | 3:30-3:40 | 3:40-3:50 | 3:50-4:00 | 4:00-4:10 | 4:10-4:20 | 4:20-4:30 | 4:30-4:40 | 4:40-4:50 | 4:50-5:00 | 5:00-5:10 | 5:10-5:20 | 5:20-5:30 | 5:30-5:40 | 5:40-5:50 | 5:50-6:00 | 6:00-6:10 | 6:10-6:20 | 6:20-6:30 | 6:30-6:40 | 6:40-6:50 | 6:50-7:00 | 7:0-7:10 | 7:10-7:20 | 7:20-7:30 | 7:30-7:40 | 7:40-7:50 | 7:50-8:00 | 8:00-8:10 | 8:10-8:20 | 8:20-8:30 | 8:30-8:40 | 8:40-8:50 | 8:50-9:00 | 9:00-9:10 | 9:10-9:20 | 9:20-9:30 | 9:30-9:40 | 9:40-9:50 | 9:50-10:00 | 10:00-10:10 | 10:10-10:20 | 10:20-10:30 | 10:30-10:40 | 10:40-10:50 | 10:50-11:00 | 11:00-11:10 | 11:10-11:20 | 11:20-11:30 | 11:30-11:40 | 11:40-11:50 | 11:50-12:00 | 12:00-12:10 | 12:10-12:20 | 12:20-12:30 | 12:30-12:40 | 12:40-12:50 | 12:50-13:00 | 13:00-13:10 | 13:10-13:20 | 13:20-13:30 | 13:30-13:40 | 13:40-13:50 | 13:50-14:00 | 14:00-14:10 | 14:10-14:20 | 14:20-14:30 | 14:30-14:40 | 14:40-14:50 | 14:50-15:00 | 15:00-15:10 | 15:10-15:20 | 15:20-15:30 | 15:30-15:40 | 15:40-15:50 | 15:50-16:00 | 16:00-16:10 | 16:10-16:20 | 16:20-16:30 | 16:30-16:40 | 16:40-16:50 | 16:50-17:00 | 17:00-17:10 | 17:10-17:20 | 17:20-17:30 | 17:30-17:40 | 17:40-17:50 | 17:50-18:00 | 18:00-18:10 | 18:10-18:20 | 18:20-18:30 | 18:30-18:40 | 18:40-18:50 | 18:50-19:00 | 19:00-19:10 | 19:10-19:20 | 19:20-19:30 | 19:30-19:40 | 19:40-19:50 | 19:50-20:00 | 20:00-20:10 | 20:10-20:20 | 20:20-20:30 | 20:30-20:40 | 20:40-20:50 | 20:50-21:00 | 21:00-21:10 | 21:10-21:20 | 21:20-21:30 | 21:30-21:40 | 21:40-21:50 | 21:50-22:00 | 22:00-22:10 | 22:10-22:20 | 22:20-22:30 | 22:30-22:40 | 22:40-22:50 | 22:50-23:00 | 23:00-23:10 | 23:10-23:20 | 23:20-23:30 | 23:30-23:40 | 23:40-23:50 | 23:50-0:00+1 | 0:00-0:10+1 | 全天购电量 | 全天购电费,Read-only workbook schema audit.
result2.xlsx,input/templates/result2.xlsx,充放电量,A1:F20,20,6,日期 | 时间段 | 充电量 | 放电量 | 时刻 | 储电量,Read-only workbook schema audit.
result2.xlsx,input/templates/result2.xlsx,紧急购电量,A1:C11,11,3,日期 | 购电时间段 | 购电量,Read-only workbook schema audit.
result3.xlsx,input/templates/result3.xlsx,计划购电量,A1:EQ335,335,147,日期\时间 | 0:10-0:20 | 0:20-0:30 | 0:30-0:40 | 0:40-0:50 | 0:50-1:00 | 1:00-1:10 | 1:10-1:20 | 1:20-1:30 | 1:30-1:40 | 1:40-1:50 | 1:50-2:00 | 2:00-2:10 | 2:10-2:20 | 2:20-2:30 | 2:30-2:40 | 2:40-2:50 | 2:50-3:00 | 3:00-3:10 | 3:10-3:20 | 3:20-3:30 | 3:30-3:40 | 3:40-3:50 | 3:50-4:00 | 4:00-4:10 | 4:10-4:20 | 4:20-4:30 | 4:30-4:40 | 4:40-4:50 | 4:50-5:00 | 5:00-5:10 | 5:10-5:20 | 5:20-5:30 | 5:30-5:40 | 5:40-5:50 | 5:50-6:00 | 6:00-6:10 | 6:10-6:20 | 6:20-6:30 | 6:30-6:40 | 6:40-6:50 | 6:50-7:00 | 7:0-7:10 | 7:10-7:20 | 7:20-7:30 | 7:30-7:40 | 7:40-7:50 | 7:50-8:00 | 8:00-8:10 | 8:10-8:20 | 8:20-8:30 | 8:30-8:40 | 8:40-8:50 | 8:50-9:00 | 9:00-9:10 | 9:10-9:20 | 9:20-9:30 | 9:30-9:40 | 9:40-9:50 | 9:50-10:00 | 10:00-10:10 | 10:10-10:20 | 10:20-10:30 | 10:30-10:40 | 10:40-10:50 | 10:50-11:00 | 11:00-11:10 | 11:10-11:20 | 11:20-11:30 | 11:30-11:40 | 11:40-11:50 | 11:50-12:00 | 12:00-12:10 | 12:10-12:20 | 12:20-12:30 | 12:30-12:40 | 12:40-12:50 | 12:50-13:00 | 13:00-13:10 | 13:10-13:20 | 13:20-13:30 | 13:30-13:40 | 13:40-13:50 | 13:50-14:00 | 14:00-14:10 | 14:10-14:20 | 14:20-14:30 | 14:30-14:40 | 14:40-14:50 | 14:50-15:00 | 15:00-15:10 | 15:10-15:20 | 15:20-15:30 | 15:30-15:40 | 15:40-15:50 | 15:50-16:00 | 16:00-16:10 | 16:10-16:20 | 16:20-16:30 | 16:30-16:40 | 16:40-16:50 | 16:50-17:00 | 17:00-17:10 | 17:10-17:20 | 17:20-17:30 | 17:30-17:40 | 17:40-17:50 | 17:50-18:00 | 18:00-18:10 | 18:10-18:20 | 18:20-18:30 | 18:30-18:40 | 18:40-18:50 | 18:50-19:00 | 19:00-19:10 | 19:10-19:20 | 19:20-19:30 | 19:30-19:40 | 19:40-19:50 | 19:50-20:00 | 20:00-20:10 | 20:10-20:20 | 20:20-20:30 | 20:30-20:40 | 20:40-20:50 | 20:50-21:00 | 21:00-21:10 | 21:10-21:20 | 21:20-21:30 | 21:30-21:40 | 21:40-21:50 | 21:50-22:00 | 22:00-22:10 | 22:10-22:20 | 22:20-22:30 | 22:30-22:40 | 22:40-22:50 | 22:50-23:00 | 23:00-23:10 | 23:10-23:20 | 23:20-23:30 | 23:30-23:40 | 23:40-23:50 | 23:50-0:00+1 | 0:00-0:10+1 | 全天购电量 | 全天购电费,Read-only workbook schema audit.
