workbook,sheet,used_range,rows,cols,first_date_or_time_label,last_date_or_time_label,main_fields,ellipsis_present,notes
result1.xlsx,计划购电量,A1:B145,145,2,0:10-0:20,0:00+1-0:10+1,时间段 | 购电量,false,144 plan-purchase interval labels; template kept read-only.
result1.xlsx,充放电量,A1:E7,7,5,0:00-4:00,20:00-24:00,时间段 | 充电量 | 放电量 | 时刻 | 储电量,false,Example/ellipsis structure recorded without expanding rows.
result2.xlsx,计划购电量,A1:EQ335,335,147,0:10-0:20,0:00-0:10+1,日期\时间 | 0:10-0:20 | 0:20-0:30 | 0:30-0:40 | 0:40-0:50 | 0:50-1:00 | 1:00-1:10 | 1:10-1:20 | 1:20-1:30 | 1:30-1:40 | 1:40-1:50 | 1:50-2:00 | 2:00-2:10 | 2:10-2:20 | 2:20-2:30 | 2:30-2:40 | 2:40-2:50 | 2:50-3:00 | 3:00-3:10 | 3:10-3:20 | 3:20-3:30 | 3:30-3:40 | 3:40-3:50 | 3:50-4:00 | 4:00-4:10 | 4:10-4:20 | 4:20-4:30 | 4:30-4:40 | 4:40-4:50 | 4:50-5:00 | 5:00-5:10 | 5:10-5:20 | 5:20-5:30 | 5:30-5:40 | 5:40-5:50 | 5:50-6:00 | 6:00-6:10 | 6:10-6:20 | 6:20-6:30 | 6:30-6:40 | 6:40-6:50 | 6:50-7:00 | 7:0-7:10 | 7:10-7:20 | 7:20-7:30 | 7:30-7:40 | 7:40-7:50 | 7:50-8:00 | 8:00-8:10 | 8:10-8:20 | 8:20-8:30 | 8:30-8:40 | 8:40-8:50 | 8:50-9:00 | 9:00-9:10 | 9:10-9:20 | 9:20-9:30 | 9:30-9:40 | 9:40-9:50 | 9:50-10:00 | 10:00-10:10 | 10:10-10:20 | 10:20-10:30 | 10:30-10:40 | 10:40-10:50 | 10:50-11:00 | 11:00-11:10 | 11:10-11:20 | 11:20-11:30 | 11:30-11:40 | 11:40-11:50 | 11:50-12:00 | 12:00-12:10 | 12:10-12:20 | 12:20-12:30 | 12:30-12:40 | 12:40-12:50 | 12:50-13:00 | 13:00-13:10 | 13:10-13:20 | 13:20-13:30 | 13:30-13:40 | 13:40-13:50 | 13:50-14:00 | 14:00-14:10 | 14:10-14:20 | 14:20-14:30 | 14:30-14:40 | 14:40-14:50 | 14:50-15:00 | 15:00-15:10 | 15:10-15:20 | 15:20-15:30 | 15:30-15:40 | 15:40-15:50 | 15:50-16:00 | 16:00-16:10 | 16:10-16:20 | 16:20-16:30 | 16:30-16:40 | 16:40-16:50 | 16:50-17:00 | 17:00-17:10 | 17:10-17:20 | 17:20-17:30 | 17:30-17:40 | 17:40-17:50 | 17:50-18:00 | 18:00-18:10 | 18:10-18:20 | 18:20-18:30 | 18:30-18:40 | 18:40-18:50 | 18:50-19:00 | 19:00-19:10 | 19:10-19:20 | 19:20-19:30 | 19:30-19:40 | 19:40-19:50 | 19:50-20:00 | 20:00-20:10 | 20:10-20:20 | 20:20-20:30 | 20:30-20:40 | 20:40-20:50 | 20:50-21:00 | 21:00-21:10 | 21:10-21:20 | 21:20-21:30 | 21:30-21:40 | 21:40-21:50 | 21:50-22:00 | 22:00-22:10 | 22:10-22:20 | 22:20-22:30 | 22:30-22:40 | 22:40-22:50 | 22:50-23:00 | 23:00-23:10 | 23:10-23:20 | 23:20-23:30 | 23:30-23:40 | 23:40-23:50 | 23:50-0:00+1 | 0:00-0:10+1 | 全天购电量 | 全天购电费,false,Date coverage 2025-02-01 to 2025-12-31; 334 date rows. Final time label differs from result1 final label; no correction made.
result2.xlsx,充放电量,A1:F20,20,6,2025-02-01 00:00:00,20:00-24:00,日期 | 时间段 | 充电量 | 放电量 | 时刻 | 储电量,true,Example/ellipsis structure recorded without expanding rows.
result2.xlsx,紧急购电量,A1:C11,11,3,2025-02-01 00:00:00,2025-12-31 00:00:00,日期 | 购电时间段 | 购电量,true,Example/ellipsis structure recorded without expanding rows.
result3.xlsx,计划购电量,A1:EQ335,335,147,0:10-0:20,0:00-0:10+1,日期\时间 | 0:10-0:20 | 0:20-0:30 | 0:30-0:40 | 0:40-0:50 | 0:50-1:00 | 1:00-1:10 | 1:10-1:20 | 1:20-1:30 | 1:30-1:40 | 1:40-1:50 | 1:50-2:00 | 2:00-2:10 | 2:10-2:20 | 2:20-2:30 | 2:30-2:40 | 2:40-2:50 | 2:50-3:00 | 3:00-3:10 | 3:10-3:20 | 3:20-3:30 | 3:30-3:40 | 3:40-3:50 | 3:50-4:00 | 4:00-4:10 | 4:10-4:20 | 4:20-4:30 | 4:30-4:40 | 4:40-4:50 | 4:50-5:00 | 5:00-5:10 | 5:10-5:20 | 5:20-5:30 | 5:30-5:40 | 5:40-5:50 | 5:50-6:00 | 6:00-6:10 | 6:10-6:20 | 6:20-6:30 | 6:30-6:40 | 6:40-6:50 | 6:50-7:00 | 7:0-7:10 | 7:10-7:20 | 7:20-7:30 | 7:30-7:40 | 7:40-7:50 | 7:50-8:00 | 8:00-8:10 | 8:10-8:20 | 8:20-8:30 | 8:30-8:40 | 8:40-8:50 | 8:50-9:00 | 9:00-9:10 | 9:10-9:20 | 9:20-9:30 | 9:30-9:40 | 9:40-9:50 | 9:50-10:00 | 10:00-10:10 | 10:10-10:20 | 10:20-10:30 | 10:30-10:40 | 10:40-10:50 | 10:50-11:00 | 11:00-11:10 | 11:10-11:20 | 11:20-11:30 | 11:30-11:40 | 11:40-11:50 | 11:50-12:00 | 12:00-12:10 | 12:10-12:20 | 12:20-12:30 | 12:30-12:40 | 12:40-12:50 | 12:50-13:00 | 13:00-13:10 | 13:10-13:20 | 13:20-13:30 | 13:30-13:40 | 13:40-13:50 | 13:50-14:00 | 14:00-14:10 | 14:10-14:20 | 14:20-14:30 | 14:30-14:40 | 14:40-14:50 | 14:50-15:00 | 15:00-15:10 | 15:10-15:20 | 15:20-15:30 | 15:30-15:40 | 15:40-15:50 | 15:50-16:00 | 16:00-16:10 | 16:10-16:20 | 16:20-16:30 | 16:30-16:40 | 16:40-16:50 | 16:50-17:00 | 17:00-17:10 | 17:10-17:20 | 17:20-17:30 | 17:30-17:40 | 17:40-17:50 | 17:50-18:00 | 18:00-18:10 | 18:10-18:20 | 18:20-18:30 | 18:30-18:40 | 18:40-18:50 | 18:50-19:00 | 19:00-19:10 | 19:10-19:20 | 19:20-19:30 | 19:30-19:40 | 19:40-19:50 | 19:50-20:00 | 20:00-20:10 | 20:10-20:20 | 20:20-20:30 | 20:30-20:40 | 20:40-20:50 | 20:50-21:00 | 21:00-21:10 | 21:10-21:20 | 21:20-21:30 | 21:30-21:40 | 21:40-21:50 | 21:50-22:00 | 22:00-22:10 | 22:10-22:20 | 22:20-22:30 | 22:30-22:40 | 22:40-22:50 | 22:50-23:00 | 23:00-23:10 | 23:10-23:20 | 23:20-23:30 | 23:30-23:40 | 23:40-23:50 | 23:50-0:00+1 | 0:00-0:10+1 | 全天购电量 | 全天购电费,false,Date coverage 2025-02-01 to 2025-12-31; 334 date rows. Final time label differs from result1 final label; no correction made.
result3.xlsx,调整购电量,A1:EQ335,335,147,0:10-0:20,0:00-0:10+1,日期\时间 | 0:10-0:20 | 0:20-0:30 | 0:30-0:40 | 0:40-0:50 | 0:50-1:00 | 1:00-1:10 | 1:10-1:20 | 1:20-1:30 | 1:30-1:40 | 1:40-1:50 | 1:50-2:00 | 2:00-2:10 | 2:10-2:20 | 2:20-2:30 | 2:30-2:40 | 2:40-2:50 | 2:50-3:00 | 3:00-3:10 | 3:10-3:20 | 3:20-3:30 | 3:30-3:40 | 3:40-3:50 | 3:50-4:00 | 4:00-4:10 | 4:10-4:20 | 4:20-4:30 | 4:30-4:40 | 4:40-4:50 | 4:50-5:00 | 5:00-5:10 | 5:10-5:20 | 5:20-5:30 | 5:30-5:40 | 5:40-5:50 | 5:50-6:00 | 6:00-6:10 | 6:10-6:20 | 6:20-6:30 | 6:30-6:40 | 6:40-6:50 | 6:50-7:00 | 7:0-7:10 | 7:10-7:20 | 7:20-7:30 | 7:30-7:40 | 7:40-7:50 | 7:50-8:00 | 8:00-8:10 | 8:10-8:20 | 8:20-8:30 | 8:30-8:40 | 8:40-8:50 | 8:50-9:00 | 9:00-9:10 | 9:10-9:20 | 9:20-9:30 | 9:30-9:40 | 9:40-9:50 | 9:50-10:00 | 10:00-10:10 | 10:10-10:20 | 10:20-10:30 | 10:30-10:40 | 10:40-10:50 | 10:50-11:00 | 11:00-11:10 | 11:10-11:20 | 11:20-11:30 | 11:30-11:40 | 11:40-11:50 | 11:50-12:00 | 12:00-12:10 | 12:10-12:20 | 12:20-12:30 | 12:30-12:40 | 12:40-12:50 | 12:50-13:00 | 13:00-13:10 | 13:10-13:20 | 13:20-13:30 | 13:30-13:40 | 13:40-13:50 | 13:50-14:00 | 14:00-14:10 | 14:10-14:20 | 14:20-14:30 | 14:30-14:40 | 14:40-14:50 | 14:50-15:00 | 15:00-15:10 | 15:10-15:20 | 15:20-15:30 | 15:30-15:40 | 15:40-15:50 | 15:50-16:00 | 16:00-16:10 | 16:10-16:20 | 16:20-16:30 | 16:30-16:40 | 16:40-16:50 | 16:50-17:00 | 17:00-17:10 | 17:10-17:20 | 17:20-17:30 | 17:30-17:40 | 17:40-17:50 | 17:50-18:00 | 18:00-18:10 | 18:10-18:20 | 18:20-18:30 | 18:30-18:40 | 18:40-18:50 | 18:50-19:00 | 19:00-19:10 | 19:10-19:20 | 19:20-19:30 | 19:30-19:40 | 19:40-19:50 | 19:50-20:00 | 20:00-20:10 | 20:10-20:20 | 20:20-20:30 | 20:30-20:40 | 20:40-20:50 | 20:50-21:00 | 21:00-21:10 | 21:10-21:20 | 21:20-21:30 | 21:30-21:40 | 21:40-21:50 | 21:50-22:00 | 22:00-22:10 | 22:10-22:20 | 22:20-22:30 | 22:30-22:40 | 22:40-22:50 | 22:50-23:00 | 23:00-23:10 | 23:10-23:20 | 23:20-23:30 | 23:30-23:40 | 23:40-23:50 | 23:50-0:00+1 | 0:00-0:10+1 | 全天购电量 | 全天购电费,false,Date coverage 2025-02-01 to 2025-12-31; 334 date rows. Final time label differs from result1 final label; no correction made.
result3.xlsx,充放电量,A1:F26,26,6,2025-02-01 00:00:00,20:00-24:00,日期 | 时间段 | 充电量 | 放电量 | 时刻 | 储电量,true,Example/ellipsis structure recorded without expanding rows.
result3.xlsx,紧急购电量,A1:C11,11,3,2025-02-01 00:00:00,2025-12-31 00:00:00,日期 | 购电时间段 | 购电量,true,Example/ellipsis structure recorded without expanding rows.
result4-2.xlsx,计划购电量,A1:EQ335,335,147,0:10-0:20,0:00-0:10+1,日期\时间 | 0:10-0:20 | 0:20-0:30 | 0:30-0:40 | 0:40-0:50 | 0:50-1:00 | 1:00-1:10 | 1:10-1:20 | 1:20-1:30 | 1:30-1:40 | 1:40-1:50 | 1:50-2:00 | 2:00-2:10 | 2:10-2:20 | 2:20-2:30 | 2:30-2:40 | 2:40-2:50 | 2:50-3:00 | 3:00-3:10 | 3:10-3:20 | 3:20-3:30 | 3:30-3:40 | 3:40-3:50 | 3:50-4:00 | 4:00-4:10 | 4:10-4:20 | 4:20-4:30 | 4:30-4:40 | 4:40-4:50 | 4:50-5:00 | 5:00-5:10 | 5:10-5:20 | 5:20-5:30 | 5:30-5:40 | 5:40-5:50 | 5:50-6:00 | 6:00-6:10 | 6:10-6:20 | 6:20-6:30 | 6:30-6:40 | 6:40-6:50 | 6:50-7:00 | 7:0-7:10 | 7:10-7:20 | 7:20-7:30 | 7:30-7:40 | 7:40-7:50 | 7:50-8:00 | 8:00-8:10 | 8:10-8:20 | 8:20-8:30 | 8:30-8:40 | 8:40-8:50 | 8:50-9:00 | 9:00-9:10 | 9:10-9:20 | 9:20-9:30 | 9:30-9:40 | 9:40-9:50 | 9:50-10:00 | 10:00-10:10 | 10:10-10:20 | 10:20-10:30 | 10:30-10:40 | 10:40-10:50 | 10:50-11:00 | 11:00-11:10 | 11:10-11:20 | 11:20-11:30 | 11:30-11:40 | 11:40-11:50 | 11:50-12:00 | 12:00-12:10 | 12:10-12:20 | 12:20-12:30 | 12:30-12:40 | 12:40-12:50 | 12:50-13:00 | 13:00-13:10 | 13:10-13:20 | 13:20-13:30 | 13:30-13:40 | 13:40-13:50 | 13:50-14:00 | 14:00-14:10 | 14:10-14:20 | 14:20-14:30 | 14:30-14:40 | 14:40-14:50 | 14:50-15:00 | 15:00-15:10 | 15:10-15:20 | 15:20-15:30 | 15:30-15:40 | 15:40-15:50 | 15:50-16:00 | 16:00-16:10 | 16:10-16:20 | 16:20-16:30 | 16:30-16:40 | 16:40-16:50 | 16:50-17:00 | 17:00-17:10 | 17:10-17:20 | 17:20-17:30 | 17:30-17:40 | 17:40-17:50 | 17:50-18:00 | 18:00-18:10 | 18:10-18:20 | 18:20-18:30 | 18:30-18:40 | 18:40-18:50 | 18:50-19:00 | 19:00-19:10 | 19:10-19:20 | 19:20-19:30 | 19:30-19:40 | 19:40-19:50 | 19:50-20:00 | 20:00-20:10 | 20:10-20:20 | 20:20-20:30 | 20:30-20:40 | 20:40-20:50 | 20:50-21:00 | 21:00-21:10 | 21:10-21:20 | 21:20-21:30 | 21:30-21:40 | 21:40-21:50 | 21:50-22:00 | 22:00-22:10 | 22:10-22:20 | 22:20-22:30 | 22:30-22:40 | 22:40-22:50 | 22:50-23:00 | 23:00-23:10 | 23:10-23:20 | 23:20-23:30 | 23:30-23:40 | 23:40-23:50 | 23:50-0:00+1 | 0:00-0:10+1 | 全天购电量 | 全天购电费,false,Date coverage 2025-02-01 to 2025-12-31; 334 date rows. Final time label differs from result1 final label; no correction made.
