slot_id,attachment1_time_marker,attachment2_load_time_marker,attachment2_pv_time_marker,attachment4_time_marker,all_sources_same_marker
1,0:10,0:10,0:10,0:10,true
2,0:20,0:20,0:20,0:20,true
3,0:30,0:30,0:30,0:30,true
4,0:40,0:40,0:40,0:40,true
5,0:50,0:50,0:50,0:50,true
6,1:00,1:00,1:00,1:00,true
7,1:10,1:10,1:10,1:10,true
8,1:20,1:20,1:20,1:20,true
9,1:30,1:30,1:30,1:30,true
10,1:40,1:40,1:40,1:40,true
11,1:50,1:50,1:50,1:50,true
12,2:00,2:00,2:00,2:00,true
13,2:10,2:10,2:10,2:10,true
14,2:20,2:20,2:20,2:20,true
15,2:30,2:30,2:30,2:30,true
16,2:40,2:40,2:40,2:40,true
17,2:50,2:50,2:50,2:50,true
18,3:00,3:00,3:00,3:00,true
19,3:10,3:10,3:10,3:10,true
20,3:20,3:20,3:20,3:20,true
21,3:30,3:30,3:30,3:30,true
22,3:40,3:40,3:40,3:40,true
23,3:50,3:50,3:50,3:50,true
24,4:00,4:00,4:00,4:00,true
25,4:10,4:10,4:10,4:10,true
26,4:20,4:20,4:20,4:20,true
27,4:30,4:30,4:30,4:30,true
28,4:40,4:40,4:40,4:40,true
29,4:50,4:50,4:50,4:50,true
30,5:00,5:00,5:00,5:00,true
31,5:10,5:10,5:10,5:10,true
32,5:20,5:20,5:20,5:20,true
33,5:30,5:30,5:30,5:30,true
34,5:40,5:40,5:40,5:40,true
35,5:50,5:50,5:50,5:50,true
36,6:00,6:00,6:00,6:00,true
37,6:10,6:10,6:10,6:10,true
38,6:20,6:20,6:20,6:20,true
39,6:30,6:30,6:30,6:30,true
40,6:40,6:40,6:40,6:40,true
41,6:50,6:50,6:50,6:50,true
42,7:00,7:00,7:00,7:00,true
43,7:10,7:10,7:10,7:10,true
44,7:20,7:20,7:20,7:20,true
45,7:30,7:30,7:30,7:30,true
46,7:40,7:40,7:40,7:40,true
47,7:50,7:50,7:50,7:50,true
48,8:00,8:00,8:00,8:00,true
49,8:10,8:10,8:10,8:10,true
50,8:20,8:20,8:20,8:20,true
51,8:30,8:30,8:30,8:30,true
52,8:40,8:40,8:40,8:40,true
53,8:50,8:50,8:50,8:50,true
54,9:00,9:00,9:00,9:00,true
55,9:10,9:10,9:10,9:10,true
56,9:20,9:20,9:20,9:20,true
57,9:30,9:30,9:30,9:30,true
58,9:40,9:40,9:40,9:40,true
59,9:50,9:50,9:50,9:50,true
60,10:00,10:00,10:00,10:00,true
61,10:10,10:10,10:10,10:10,true
62,10:20,10:20,10:20,10:20,true
63,10:30,10:30,10:30,10:30,true
64,10:40,10:40,10:40,10:40,true
65,10:50,10:50,10:50,10:50,true
66,11:00,11:00,11:00,11:00,true
67,11:10,11:10,11:10,11:10,true
68,11:20,11:20,11:20,11:20,true
69,11:30,11:30,11:30,11:30,true
70,11:40,11:40,11:40,11:40,true
71,11:50,11:50,11:50,11:50,true
72,12:00,12:00,12:00,12:00,true
73,12:10,12:10,12:10,12:10,true
74,12:20,12:20,12:20,12:20,true
75,12:30,12:30,12:30,12:30,true
76,12:40,12:40,12:40,12:40,true
77,12:50,12:50,12:50,12:50,true
78,13:00,13:00,13:00,13:00,true
79,13:10,13:10,13:10,13:10,true
80,13:20,13:20,13:20,13:20,true
81,13:30,13:30,13:30,13:30,true
82,13:40,13:40,13:40,13:40,true
83,13:50,13:50,13:50,13:50,true
84,14:00,14:00,14:00,14:00,true
85,14:10,14:10,14:10,14:10,true
86,14:20,14:20,14:20,14:20,true
87,14:30,14:30,14:30,14:30,true
88,14:40,14:40,14:40,14:40,true
89,14:50,14:50,14:50,14:50,true
90,15:00,15:00,15:00,15:00,true
91,15:10,15:10,15:10,15:10,true
92,15:20,15:20,15:20,15:20,true
93,15:30,15:30,15:30,15:30,true
94,15:40,15:40,15:40,15:40,true
95,15:50,15:50,15:50,15:50,true
96,16:00,16:00,16:00,16:00,true
97,16:10,16:10,16:10,16:10,true
98,16:20,16:20,16:20,16:20,true
99,16:30,16:30,16:30,16:30,true
100,16:40,16:40,16:40,16:40,true
101,16:50,16:50,16:50,16:50,true
102,17:00,17:00,17:00,17:00,true
103,17:10,17:10,17:10,17:10,true
104,17:20,17:20,17:20,17:20,true
105,17:30,17:30,17:30,17:30,true
106,17:40,17:40,17:40,17:40,true
107,17:50,17:50,17:50,17:50,true
108,18:00,18:00,18:00,18:00,true
109,18:10,18:10,18:10,18:10,true
110,18:20,18:20,18:20,18:20,true
111,18:30,18:30,18:30,18:30,true
112,18:40,18:40,18:40,18:40,true
113,18:50,18:50,18:50,18:50,true
114,19:00,19:00,19:00,19:00,true
115,19:10,19:10,19:10,19:10,true
116,19:20,19:20,19:20,19:20,true
117,19:30,19:30,19:30,19:30,true
118,19:40,19:40,19:40,19:40,true
119,19:50,19:50,19:50,19:50,true
120,20:00,20:00,20:00,20:00,true
121,20:10,20:10,20:10,20:10,true
