slot_id,source_sheet,source_column,source_cell,raw_time_value,raw_time_type,raw_time_number_format,time_marker_normalized
1,小区负载,B,B1,6.9444444444444441E-3,excel_numeric_time_serial,h:mm,0:10
2,小区负载,C,C1,1.3888888888888888E-2,excel_numeric_time_serial,h:mm,0:20
3,小区负载,D,D1,2.0833333333333301E-2,excel_numeric_time_serial,h:mm,0:30
4,小区负载,E,E1,2.77777777777777E-2,excel_numeric_time_serial,h:mm,0:40
5,小区负载,F,F1,3.4722222222222203E-2,excel_numeric_time_serial,h:mm,0:50
6,小区负载,G,G1,4.1666666666666602E-2,excel_numeric_time_serial,h:mm,1:00
7,小区负载,H,H1,4.8611111111111098E-2,excel_numeric_time_serial,h:mm,1:10
8,小区负载,I,I1,5.5555555555555497E-2,excel_numeric_time_serial,h:mm,1:20
9,小区负载,J,J1,6.25E-2,excel_numeric_time_serial,h:mm,1:30
10,小区负载,K,K1,6.9444444444444406E-2,excel_numeric_time_serial,h:mm,1:40
11,小区负载,L,L1,7.6388888888888895E-2,excel_numeric_time_serial,h:mm,1:50
12,小区负载,M,M1,8.3333333333333301E-2,excel_numeric_time_serial,h:mm,2:00
13,小区负载,N,N1,9.0277777777777707E-2,excel_numeric_time_serial,h:mm,2:10
14,小区负载,O,O1,9.7222222222222293E-2,excel_numeric_time_serial,h:mm,2:20
15,小区负载,P,P1,0.104166666666667,excel_numeric_time_serial,h:mm,2:30
16,小区负载,Q,Q1,0.11111111111111099,excel_numeric_time_serial,h:mm,2:40
17,小区负载,R,R1,0.118055555555555,excel_numeric_time_serial,h:mm,2:50
18,小区负载,S,S1,0.125,excel_numeric_time_serial,h:mm,3:00
19,小区负载,T,T1,0.131944444444444,excel_numeric_time_serial,h:mm,3:10
20,小区负载,U,U1,0.13888888888888801,excel_numeric_time_serial,h:mm,3:20
21,小区负载,V,V1,0.14583333333333301,excel_numeric_time_serial,h:mm,3:30
22,小区负载,W,W1,0.15277777777777701,excel_numeric_time_serial,h:mm,3:40
23,小区负载,X,X1,0.15972222222222199,excel_numeric_time_serial,h:mm,3:50
24,小区负载,Y,Y1,0.16666666666666599,excel_numeric_time_serial,h:mm,4:00
25,小区负载,Z,Z1,0.17361111111111099,excel_numeric_time_serial,h:mm,4:10
26,小区负载,AA,AA1,0.180555555555555,excel_numeric_time_serial,h:mm,4:20
27,小区负载,AB,AB1,0.1875,excel_numeric_time_serial,h:mm,4:30
28,小区负载,AC,AC1,0.194444444444444,excel_numeric_time_serial,h:mm,4:40
29,小区负载,AD,AD1,0.20138888888888801,excel_numeric_time_serial,h:mm,4:50
30,小区负载,AE,AE1,0.20833333333333301,excel_numeric_time_serial,h:mm,5:00
31,小区负载,AF,AF1,0.21527777777777701,excel_numeric_time_serial,h:mm,5:10
32,小区负载,AG,AG1,0.22222222222222199,excel_numeric_time_serial,h:mm,5:20
33,小区负载,AH,AH1,0.22916666666666599,excel_numeric_time_serial,h:mm,5:30
34,小区负载,AI,AI1,0.23611111111111099,excel_numeric_time_serial,h:mm,5:40
35,小区负载,AJ,AJ1,0.243055555555555,excel_numeric_time_serial,h:mm,5:50
36,小区负载,AK,AK1,0.25,excel_numeric_time_serial,h:mm,6:00
37,小区负载,AL,AL1,0.25694444444444398,excel_numeric_time_serial,h:mm,6:10
38,小区负载,AM,AM1,0.26388888888888801,excel_numeric_time_serial,h:mm,6:20
39,小区负载,AN,AN1,0.27083333333333298,excel_numeric_time_serial,h:mm,6:30
40,小区负载,AO,AO1,0.27777777777777701,excel_numeric_time_serial,h:mm,6:40
41,小区负载,AP,AP1,0.28472222222222199,excel_numeric_time_serial,h:mm,6:50
42,小区负载,AQ,AQ1,0.29166666666666602,excel_numeric_time_serial,h:mm,7:00
43,小区负载,AR,AR1,0.29861111111111099,excel_numeric_time_serial,h:mm,7:10
44,小区负载,AS,AS1,0.30555555555555503,excel_numeric_time_serial,h:mm,7:20
45,小区负载,AT,AT1,0.3125,excel_numeric_time_serial,h:mm,7:30
46,小区负载,AU,AU1,0.31944444444444398,excel_numeric_time_serial,h:mm,7:40
47,小区负载,AV,AV1,0.32638888888888801,excel_numeric_time_serial,h:mm,7:50
48,小区负载,AW,AW1,0.33333333333333298,excel_numeric_time_serial,h:mm,8:00
49,小区负载,AX,AX1,0.34027777777777701,excel_numeric_time_serial,h:mm,8:10
50,小区负载,AY,AY1,0.34722222222222199,excel_numeric_time_serial,h:mm,8:20
51,小区负载,AZ,AZ1,0.35416666666666602,excel_numeric_time_serial,h:mm,8:30
52,小区负载,BA,BA1,0.36111111111111099,excel_numeric_time_serial,h:mm,8:40
53,小区负载,BB,BB1,0.36805555555555503,excel_numeric_time_serial,h:mm,8:50
