slot_id,source_marker,h_end_label,h_start_label,result1_label,result1_matches_h_end,result1_matches_h_start,result2_label,result3_label,result4_2_label,result4_3_label,result2_matches_h_start,result3_matches_h_start,result4_2_matches_h_start,result4_3_matches_h_start
1,0:10,0:00-0:10,0:10-0:20,0:10-0:20,false,true,0:10-0:20,0:10-0:20,0:10-0:20,0:10-0:20,true,true,true,true
2,0:20,0:10-0:20,0:20-0:30,0:20-0:30,false,true,0:20-0:30,0:20-0:30,0:20-0:30,0:20-0:30,true,true,true,true
3,0:30,0:20-0:30,0:30-0:40,0:30-0:40,false,true,0:30-0:40,0:30-0:40,0:30-0:40,0:30-0:40,true,true,true,true
4,0:40,0:30-0:40,0:40-0:50,0:40-0:50,false,true,0:40-0:50,0:40-0:50,0:40-0:50,0:40-0:50,true,true,true,true
5,0:50,0:40-0:50,0:50-1:00,0:50-1:00,false,true,0:50-1:00,0:50-1:00,0:50-1:00,0:50-1:00,true,true,true,true
6,1:00,0:50-1:00,1:00-1:10,1:00-1:10,false,true,1:00-1:10,1:00-1:10,1:00-1:10,1:00-1:10,true,true,true,true
7,1:10,1:00-1:10,1:10-1:20,1:10-1:20,false,true,1:10-1:20,1:10-1:20,1:10-1:20,1:10-1:20,true,true,true,true
8,1:20,1:10-1:20,1:20-1:30,1:20-1:30,false,true,1:20-1:30,1:20-1:30,1:20-1:30,1:20-1:30,true,true,true,true
9,1:30,1:20-1:30,1:30-1:40,1:30-1:40,false,true,1:30-1:40,1:30-1:40,1:30-1:40,1:30-1:40,true,true,true,true
10,1:40,1:30-1:40,1:40-1:50,1:40-1:50,false,true,1:40-1:50,1:40-1:50,1:40-1:50,1:40-1:50,true,true,true,true
11,1:50,1:40-1:50,1:50-2:00,1:50-2:00,false,true,1:50-2:00,1:50-2:00,1:50-2:00,1:50-2:00,true,true,true,true
12,2:00,1:50-2:00,2:00-2:10,2:00-2:10,false,true,2:00-2:10,2:00-2:10,2:00-2:10,2:00-2:10,true,true,true,true
