hypothesis,slot_id,source_marker,interval_start_minute,interval_end_minute,interval_label,inside_0_24_day,covers_requested_10_00_10_10,final_convention_selected
H-END,1,0:10,0,10,0:00-0:10,true,false,false
H-START,1,0:10,10,20,0:10-0:20,true,false,false
H-END,2,0:20,10,20,0:10-0:20,true,false,false
H-START,2,0:20,20,30,0:20-0:30,true,false,false
H-END,3,0:30,20,30,0:20-0:30,true,false,false
H-START,3,0:30,30,40,0:30-0:40,true,false,false
H-END,4,0:40,30,40,0:30-0:40,true,false,false
H-START,4,0:40,40,50,0:40-0:50,true,false,false
H-END,5,0:50,40,50,0:40-0:50,true,false,false
H-START,5,0:50,50,60,0:50-1:00,true,false,false
H-END,6,1:00,50,60,0:50-1:00,true,false,false
H-START,6,1:00,60,70,1:00-1:10,true,false,false
H-END,7,1:10,60,70,1:00-1:10,true,false,false
H-START,7,1:10,70,80,1:10-1:20,true,false,false
H-END,8,1:20,70,80,1:10-1:20,true,false,false
H-START,8,1:20,80,90,1:20-1:30,true,false,false
H-END,9,1:30,80,90,1:20-1:30,true,false,false
H-START,9,1:30,90,100,1:30-1:40,true,false,false
H-END,10,1:40,90,100,1:30-1:40,true,false,false
H-START,10,1:40,100,110,1:40-1:50,true,false,false
H-END,11,1:50,100,110,1:40-1:50,true,false,false
H-START,11,1:50,110,120,1:50-2:00,true,false,false
H-END,12,2:00,110,120,1:50-2:00,true,false,false
H-START,12,2:00,120,130,2:00-2:10,true,false,false
H-END,13,2:10,120,130,2:00-2:10,true,false,false
H-START,13,2:10,130,140,2:10-2:20,true,false,false
H-END,14,2:20,130,140,2:10-2:20,true,false,false
H-START,14,2:20,140,150,2:20-2:30,true,false,false
H-END,15,2:30,140,150,2:20-2:30,true,false,false
H-START,15,2:30,150,160,2:30-2:40,true,false,false
H-END,16,2:40,150,160,2:30-2:40,true,false,false
H-START,16,2:40,160,170,2:40-2:50,true,false,false
H-END,17,2:50,160,170,2:40-2:50,true,false,false
H-START,17,2:50,170,180,2:50-3:00,true,false,false
H-END,18,3:00,170,180,2:50-3:00,true,false,false
H-START,18,3:00,180,190,3:00-3:10,true,false,false
H-END,19,3:10,180,190,3:00-3:10,true,false,false
H-START,19,3:10,190,200,3:10-3:20,true,false,false
H-END,20,3:20,190,200,3:10-3:20,true,false,false
H-START,20,3:20,200,210,3:20-3:30,true,false,false
H-END,21,3:30,200,210,3:20-3:30,true,false,false
H-START,21,3:30,210,220,3:30-3:40,true,false,false
H-END,22,3:40,210,220,3:30-3:40,true,false,false
H-START,22,3:40,220,230,3:40-3:50,true,false,false
H-END,23,3:50,220,230,3:40-3:50,true,false,false
H-START,23,3:50,230,240,3:50-4:00,true,false,false
H-END,24,4:00,230,240,3:50-4:00,true,false,false
H-START,24,4:00,240,250,4:00-4:10,true,false,false
H-END,25,4:10,240,250,4:00-4:10,true,false,false
H-START,25,4:10,250,260,4:10-4:20,true,false,false
H-END,26,4:20,250,260,4:10-4:20,true,false,false
H-START,26,4:20,260,270,4:20-4:30,true,false,false
H-END,27,4:30,260,270,4:20-4:30,true,false,false
H-START,27,4:30,270,280,4:30-4:40,true,false,false
H-END,28,4:40,270,280,4:30-4:40,true,false,false
H-START,28,4:40,280,290,4:40-4:50,true,false,false
H-END,29,4:50,280,290,4:40-4:50,true,false,false
H-START,29,4:50,290,300,4:50-5:00,true,false,false
H-END,30,5:00,290,300,4:50-5:00,true,false,false
H-START,30,5:00,300,310,5:00-5:10,true,false,false
H-END,31,5:10,300,310,5:00-5:10,true,false,false
H-START,31,5:10,310,320,5:10-5:20,true,false,false
H-END,32,5:20,310,320,5:10-5:20,true,false,false
H-START,32,5:20,320,330,5:20-5:30,true,false,false
H-END,33,5:30,320,330,5:20-5:30,true,false,false
H-START,33,5:30,330,340,5:30-5:40,true,false,false
H-END,34,5:40,330,340,5:30-5:40,true,false,false
H-START,34,5:40,340,350,5:40-5:50,true,false,false
H-END,35,5:50,340,350,5:40-5:50,true,false,false
H-START,35,5:50,350,360,5:50-6:00,true,false,false
H-END,36,6:00,350,360,5:50-6:00,true,false,false
H-START,36,6:00,360,370,6:00-6:10,true,false,false
H-END,37,6:10,360,370,6:00-6:10,true,false,false
H-START,37,6:10,370,380,6:10-6:20,true,false,false
H-END,38,6:20,370,380,6:10-6:20,true,false,false
H-START,38,6:20,380,390,6:20-6:30,true,false,false
H-END,39,6:30,380,390,6:20-6:30,true,false,false
H-START,39,6:30,390,400,6:30-6:40,true,false,false
H-END,40,6:40,390,400,6:30-6:40,true,false,false
H-START,40,6:40,400,410,6:40-6:50,true,false,false
H-END,41,6:50,400,410,6:40-6:50,true,false,false
H-START,41,6:50,410,420,6:50-7:00,true,false,false
H-END,42,7:00,410,420,6:50-7:00,true,false,false
H-START,42,7:00,420,430,7:00-7:10,true,false,false
H-END,43,7:10,420,430,7:00-7:10,true,false,false
H-START,43,7:10,430,440,7:10-7:20,true,false,false
H-END,44,7:20,430,440,7:10-7:20,true,false,false
H-START,44,7:20,440,450,7:20-7:30,true,false,false
H-END,45,7:30,440,450,7:20-7:30,true,false,false
H-START,45,7:30,450,460,7:30-7:40,true,false,false
H-END,46,7:40,450,460,7:30-7:40,true,false,false
H-START,46,7:40,460,470,7:40-7:50,true,false,false
H-END,47,7:50,460,470,7:40-7:50,true,false,false
H-START,47,7:50,470,480,7:50-8:00,true,false,false
H-END,48,8:00,470,480,7:50-8:00,true,false,false
H-START,48,8:00,480,490,8:00-8:10,true,false,false
H-END,49,8:10,480,490,8:00-8:10,true,false,false
H-START,49,8:10,490,500,8:10-8:20,true,false,false
H-END,50,8:20,490,500,8:10-8:20,true,false,false
H-START,50,8:20,500,510,8:20-8:30,true,false,false
H-END,51,8:30,500,510,8:20-8:30,true,false,false
H-START,51,8:30,510,520,8:30-8:40,true,false,false
H-END,52,8:40,510,520,8:30-8:40,true,false,false
H-START,52,8:40,520,530,8:40-8:50,true,false,false
H-END,53,8:50,520,530,8:40-8:50,true,false,false
H-START,53,8:50,530,540,8:50-9:00,true,false,false
H-END,54,9:00,530,540,8:50-9:00,true,false,false
H-START,54,9:00,540,550,9:00-9:10,true,false,false
H-END,55,9:10,540,550,9:00-9:10,true,false,false
H-START,55,9:10,550,560,9:10-9:20,true,false,false
H-END,56,9:20,550,560,9:10-9:20,true,false,false
H-START,56,9:20,560,570,9:20-9:30,true,false,false
H-END,57,9:30,560,570,9:20-9:30,true,false,false
H-START,57,9:30,570,580,9:30-9:40,true,false,false
H-END,58,9:40,570,580,9:30-9:40,true,false,false
H-START,58,9:40,580,590,9:40-9:50,true,false,false
H-END,59,9:50,580,590,9:40-9:50,true,false,false
H-START,59,9:50,590,600,9:50-10:00,true,false,false
H-END,60,10:00,590,600,9:50-10:00,true,false,false
H-START,60,10:00,600,610,10:00-10:10,true,true,false
H-END,61,10:10,600,610,10:00-10:10,true,true,false
H-START,61,10:10,610,620,10:10-10:20,true,false,false
H-END,62,10:20,610,620,10:10-10:20,true,false,false
H-START,62,10:20,620,630,10:20-10:30,true,false,false
H-END,63,10:30,620,630,10:20-10:30,true,false,false
H-START,63,10:30,630,640,10:30-10:40,true,false,false
H-END,64,10:40,630,640,10:30-10:40,true,false,false
H-START,64,10:40,640,650,10:40-10:50,true,false,false
H-END,65,10:50,640,650,10:40-10:50,true,false,false
H-START,65,10:50,650,660,10:50-11:00,true,false,false
H-END,66,11:00,650,660,10:50-11:00,true,false,false
H-START,66,11:00,660,670,11:00-11:10,true,false,false
H-END,67,11:10,660,670,11:00-11:10,true,false,false
H-START,67,11:10,670,680,11:10-11:20,true,false,false
H-END,68,11:20,670,680,11:10-11:20,true,false,false
H-START,68,11:20,680,690,11:20-11:30,true,false,false
H-END,69,11:30,680,690,11:20-11:30,true,false,false
H-START,69,11:30,690,700,11:30-11:40,true,false,false
H-END,70,11:40,690,700,11:30-11:40,true,false,false
H-START,70,11:40,700,710,11:40-11:50,true,false,false
H-END,71,11:50,700,710,11:40-11:50,true,false,false
H-START,71,11:50,710,720,11:50-12:00,true,false,false
H-END,72,12:00,710,720,11:50-12:00,true,false,false
H-START,72,12:00,720,730,12:00-12:10,true,false,false
