类别,指标,数值,单位,分母或范围,说明
槽位能量代理分布,load_slot_kwh_proxy_count,52560.0,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,load_slot_kwh_proxy_mean,771.0056116875951,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,load_slot_kwh_proxy_std,235.29096957572352,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,load_slot_kwh_proxy_min,332.6196,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,load_slot_kwh_proxy_P1,401.50207033333334,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,load_slot_kwh_proxy_P5,441.6455,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,load_slot_kwh_proxy_P25,586.2245833333334,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,load_slot_kwh_proxy_P50,711.7805999999999,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,load_slot_kwh_proxy_P75,1023.0680208333334,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,load_slot_kwh_proxy_P95,1152.743055,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,load_slot_kwh_proxy_P99,1218.7294793333328,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,load_slot_kwh_proxy_max,1329.81415,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_count,52560.0,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_mean,385.29761818271186,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_std,491.4444564162562,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_min,0.0,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_P1,0.0,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_P5,0.0,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_P25,0.0,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_P50,3.1431500000000003,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_P75,817.2891208333333,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_P95,1326.0020816666665,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_P99,1484.1154898333325,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,pv_slot_kwh_proxy_max,1702.7,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_count,52560.0,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_mean,385.7079935048833,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_std,405.4673062466503,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_min,-1100.33185,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_P1,-755.9531756666665,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_P5,-430.3706575000001,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_P25,152.35793749999996,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_P50,521.1270750000001,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_P75,670.3279166666666,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_P95,879.5995566666667,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_P99,1001.2946461666664,kWh,"52,560 个槽位",功率×1/6 h
槽位能量代理分布,net_load_slot_kwh_proxy_max,1114.6246833333332,kWh,"52,560 个槽位",功率×1/6 h
额定10分钟转移比,rated_transfer_over_positive_net_P50,1.431637320797841,倍,正净负荷槽位能量代理 P50=582.084 kWh,未应用效率
额定10分钟转移比,rated_transfer_over_positive_net_P95,0.9215864653894799,倍,正净负荷槽位能量代理 P95=904.238 kWh,未应用效率
额定10分钟转移比,rated_transfer_over_positive_net_max,0.7476358148118648,倍,正净负荷槽位能量代理 max=1114.625 kWh,未应用效率
可用SOC带宽比,usable_band_over_daily_positive_net_P50,0.14329031445309268,倍,144槽位日期块正净负荷能量代理 P50=66996.852 kWh,仅量级比较
可用SOC带宽比,usable_band_over_daily_positive_net_P95,0.10825952983470795,倍,144槽位日期块正净负荷能量代理 P95=88675.796 kWh,仅量级比较
记录计数,negative_net_load_records,10130,条,52560,net_load_kw<0
