记录类型,变量,统计量,数值,占比,日期,slot_id,time_mark,来源位置
分布统计,load_kw,count,52560.0,,,,,
分布统计,load_kw,mean,4626.033670125571,,,,,
分布统计,load_kw,std,1411.745817454341,,,,,
分布统计,load_kw,min,1995.7176,,,,,
分布统计,load_kw,P1,2409.012422,,,,,
分布统计,load_kw,P5,2649.873,,,,,
分布统计,load_kw,P25,3517.3475,,,,,
分布统计,load_kw,P50,4270.6836,,,,,
分布统计,load_kw,P75,6138.408125,,,,,
分布统计,load_kw,P95,6916.4583299999995,,,,,
分布统计,load_kw,P99,7312.3768759999975,,,,,
分布统计,load_kw,max,7978.8849,,,,,
分布统计,pv_actual_kw,count,52560.0,,,,,
分布统计,pv_actual_kw,mean,2311.7857090962707,,,,,
分布统计,pv_actual_kw,std,2948.666738497537,,,,,
分布统计,pv_actual_kw,min,0.0,,,,,
分布统计,pv_actual_kw,P1,0.0,,,,,
分布统计,pv_actual_kw,P5,0.0,,,,,
分布统计,pv_actual_kw,P25,0.0,,,,,
分布统计,pv_actual_kw,P50,18.8589,,,,,
分布统计,pv_actual_kw,P75,4903.734725,,,,,
分布统计,pv_actual_kw,P95,7956.01249,,,,,
分布统计,pv_actual_kw,P99,8904.692938999995,,,,,
分布统计,pv_actual_kw,max,10216.2,,,,,
分布统计,net_load_kw,count,52560.0,,,,,
分布统计,net_load_kw,mean,2314.2479610293,,,,,
分布统计,net_load_kw,std,2432.8038374799016,,,,,
分布统计,net_load_kw,min,-6601.9911,,,,,
分布统计,net_load_kw,P1,-4535.719053999999,,,,,
分布统计,net_load_kw,P5,-2582.2239450000006,,,,,
分布统计,net_load_kw,P25,914.1476249999998,,,,,
分布统计,net_load_kw,P50,3126.76245,,,,,
分布统计,net_load_kw,P75,4021.9674999999997,,,,,
分布统计,net_load_kw,P95,5277.59734,,,,,
分布统计,net_load_kw,P99,6007.767876999998,,,,,
分布统计,net_load_kw,max,6687.7481,,,,,
分布统计,price_yuan_per_kwh,count,52560.0,,,,,
分布统计,price_yuan_per_kwh,mean,0.7661976046423136,,,,,
分布统计,price_yuan_per_kwh,std,0.34067333689237456,,,,,
分布统计,price_yuan_per_kwh,min,0.0076,,,,,
分布统计,price_yuan_per_kwh,P1,0.244818,,,,,
分布统计,price_yuan_per_kwh,P5,0.338895,,,,,
分布统计,price_yuan_per_kwh,P25,0.4537,,,,,
分布统计,price_yuan_per_kwh,P50,0.73845,,,,,
分布统计,price_yuan_per_kwh,P75,1.0274,,,,,
分布统计,price_yuan_per_kwh,P95,1.3419,,,,,
分布统计,price_yuan_per_kwh,P99,1.5713459999999977,,,,,
分布统计,price_yuan_per_kwh,max,1.7936,,,,,
符号计数,net_load_kw,<0,10130,0.19273211567732115,,,,
符号计数,net_load_kw,=0,0,0.0,,,,
极值记录,load_kw,global_min_record,1995.7176,,2025-10-11,133,22:10,ED285
极值记录,load_kw,global_max_record,7978.8849,,2025-07-16,106,17:40,DC198
极值记录,pv_actual_kw,global_min_record,0.0,,2025-01-01,1,0:10,B2
极值记录,pv_actual_kw,global_max_record,10216.2,,2025-04-26,69,11:30,BR117
极值记录,net_load_kw,global_min_record,-6601.9911,,2025-09-13,71,11:50,load=BT257;pv=BT257
极值记录,net_load_kw,global_max_record,6687.7481,,2025-09-28,106,17:40,load=DC272;pv=DC272
