日期,日最低价,日最高价,日内价差
2025-01-01,0.4038,1.5993,1.1955
2025-01-02,0.3623,1.6098,1.2474999999999998
2025-01-03,0.2766,1.4264,1.1498
2025-01-04,0.3175,1.4459,1.1284
2025-01-05,0.391,1.5747,1.1837
2025-01-06,0.371,1.6135,1.2425
2025-01-07,0.3841,1.5672,1.1831
2025-01-08,0.3663,1.5968,1.2305
2025-01-09,0.307,1.5726,1.2656
2025-01-10,0.2836,1.4151,1.1315
2025-01-11,0.2503,1.4519,1.2016
2025-01-12,0.3872,1.6226,1.2354
2025-01-13,0.3812,1.5303,1.1491
2025-01-14,0.3771,1.5809,1.2038
2025-01-15,0.4052,1.5854,1.1802
2025-01-16,0.3275,1.6041,1.2766000000000002
2025-01-17,0.2934,1.4338,1.1404
2025-01-18,0.2881,1.3945,1.1064
2025-01-19,0.3757,1.5934,1.2177
2025-01-20,0.383,1.5695,1.1864999999999999
2025-01-21,0.3668,1.5603,1.1935
2025-01-22,0.3719,1.5811,1.2092
2025-01-23,0.34,1.6401,1.3000999999999998
2025-01-24,0.2582,1.4135,1.1553
2025-01-25,0.2605,1.4005,1.1400000000000001
2025-01-26,0.3577,1.6006,1.2429000000000001
2025-01-27,0.3871,1.5717,1.1846
2025-01-28,0.3261,1.6056,1.2794999999999999
2025-01-29,0.3689,1.593,1.2241
2025-01-30,0.3538,1.5522,1.1984
2025-01-31,0.2432,1.4161,1.1728999999999998
2025-02-01,0.2537,1.1766,0.9229
2025-02-02,0.3697,1.3998,1.0301
2025-02-03,0.3709,1.3447,0.9738
2025-02-04,0.381,1.3987,1.0177
2025-02-05,0.3423,1.3848,1.0425
2025-02-06,0.3228,1.447,1.1242
2025-02-07,0.2631,1.2102,0.9470999999999999
2025-02-08,0.2752,1.1675,0.8923
2025-02-09,0.3001,1.3378,1.0377
2025-02-10,0.3637,1.352,0.9883000000000001
2025-02-11,0.36,1.343,0.983
2025-02-12,0.3727,1.3314,0.9586999999999999
2025-02-13,0.3026,1.3496,1.047
2025-02-14,0.2247,1.1609,0.9362
2025-02-15,0.2846,1.1564,0.8718000000000001
