月份,样本数,均值,P10,P50,P90
1,4464,0.8596107750896057,0.4068,0.85965,1.37524
2,4032,0.7695711805555556,0.3785,0.77595,1.2355
3,4464,0.7255331989247312,0.35973,0.71465,1.18321
4,4320,0.6988464120370371,0.36108999999999997,0.65265,1.1654499999999999
5,4464,0.6912003360215054,0.35463,0.6347,1.1621500000000002
6,4320,0.7662756712962964,0.40317000000000003,0.7357,1.2306099999999998
7,4464,0.8300811827956989,0.4529,0.76385,1.36955
8,4464,0.7864659722222223,0.41673,0.69245,1.3635000000000008
9,4320,0.7202801851851851,0.36807,0.6864,1.20179
10,4464,0.7202710573476703,0.35733,0.72,1.1867800000000002
11,4320,0.7610268287037036,0.3619,0.77395,1.23
12,4464,0.8617168234767025,0.40326,0.87665,1.3760200000000002
