记录类型,电价_元每kWh,槽位数,起始slot_id,结束slot_id,起始time_mark,结束time_mark
价格水平,0.3713,1,34,34,5:40,5:40
价格水平,0.3859,1,133,133,22:10,22:10
价格水平,0.4113,1,76,76,12:40,12:40
价格水平,0.4186,1,136,136,22:40,22:40
价格水平,0.4198,1,135,135,22:30,22:30
价格水平,0.4209,1,132,132,22:00,22:00
价格水平,0.422,1,141,141,23:30,23:30
价格水平,0.4237,1,138,138,23:00,23:00
价格水平,0.424,2,140,142,23:20,23:40
价格水平,0.4241,1,137,137,22:50,22:50
价格水平,0.4245,1,2,2,0:20,0:20
价格水平,0.4248,2,1,139,0:10,23:10
价格水平,0.4269,1,3,3,0:30,0:30
价格水平,0.4271,2,5,143,0:50,23:50
价格水平,0.4272,1,4,4,0:40,0:40
价格水平,0.4276,1,144,144,0:00+1,0:00+1
价格水平,0.4279,1,9,9,1:30,1:30
价格水平,0.4285,1,6,6,1:00,1:00
价格水平,0.4293,1,13,13,2:10,2:10
价格水平,0.4301,1,33,33,5:30,5:30
价格水平,0.4302,1,8,8,1:20,1:20
价格水平,0.4311,2,7,12,1:10,2:00
价格水平,0.4312,1,10,10,1:40,1:40
价格水平,0.4324,1,14,14,2:20,2:20
价格水平,0.4333,2,11,31,1:50,5:10
价格水平,0.4335,1,17,17,2:50,2:50
价格水平,0.4348,1,16,16,2:40,2:40
价格水平,0.4353,1,22,22,3:40,3:40
价格水平,0.4356,1,21,21,3:30,3:30
价格水平,0.4357,1,18,18,3:00,3:00
价格水平,0.436,1,23,23,3:50,3:50
价格水平,0.4364,1,27,27,4:30,4:30
价格水平,0.4367,1,15,15,2:30,2:30
价格水平,0.4368,1,134,134,22:20,22:20
价格水平,0.4371,1,20,20,3:20,3:20
价格水平,0.4374,1,19,19,3:10,3:10
价格水平,0.4378,1,24,24,4:00,4:00
价格水平,0.4389,1,26,26,4:20,4:20
价格水平,0.4393,1,28,28,4:40,4:40
价格水平,0.4395,1,30,30,5:00,5:00
价格水平,0.4401,1,25,25,4:10,4:10
价格水平,0.4411,1,73,73,12:10,12:10
价格水平,0.4422,1,29,29,4:50,4:50
价格水平,0.4432,1,72,72,12:00,12:00
价格水平,0.4439,1,32,32,5:20,5:20
价格水平,0.4463,1,75,75,12:30,12:30
价格水平,0.4551,1,74,74,12:20,12:20
价格水平,0.4662,2,67,71,11:10,11:50
价格水平,0.4785,1,70,70,11:40,11:40
价格水平,0.4827,1,69,69,11:30,11:30
价格水平,0.5007,1,68,68,11:20,11:20
价格水平,0.5025,1,66,66,11:00,11:00
价格水平,0.5682,1,77,77,12:50,12:50
价格水平,0.5708,1,35,35,5:50,5:50
价格水平,0.66,1,91,91,15:10,15:10
价格水平,0.6694,1,90,90,15:00,15:00
价格水平,0.6899,1,46,46,7:40,7:40
价格水平,0.7217,1,92,92,15:20,15:20
价格水平,0.7308,1,93,93,15:30,15:30
价格水平,0.7534,1,94,94,15:40,15:40
价格水平,0.7644,1,45,45,7:30,7:30
价格水平,0.7764,1,131,131,21:50,21:50
价格水平,0.7823,1,95,95,15:50,15:50
价格水平,0.7972,1,44,44,7:20,7:20
价格水平,0.799,1,65,65,10:50,10:50
价格水平,0.8055,1,96,96,16:00,16:00
价格水平,0.8092,1,43,43,7:10,7:10
价格水平,0.8271,1,97,97,16:10,16:10
价格水平,0.8279,1,78,78,13:00,13:00
价格水平,0.8334,1,42,42,7:00,7:00
价格水平,0.8416,1,80,80,13:20,13:20
价格水平,0.8442,1,41,41,6:50,6:50
价格水平,0.8519,1,98,98,16:20,16:20
价格水平,0.86,1,47,47,7:50,7:50
价格水平,0.8601,1,40,40,6:40,6:40
价格水平,0.8618,1,81,81,13:30,13:30
