older_issue_datetime,newer_issue_datetime,issue_pair,nominal_target_datetime,older_horizon_hour,newer_horizon_hour,older_forecast_kw,newer_forecast_kw,revision_kw,abs_revision_kw,same_nominal_target,consecutive_release_gap_hours
2025-01-01 00:00:00,2025-01-01 06:00:00,0→6,2025-01-01 07:00:00,7,1,3.1173,3.0919,-0.02540000000000031,0.02540000000000031,true,6
2025-01-01 00:00:00,2025-01-01 06:00:00,0→6,2025-01-01 08:00:00,8,2,1603.3305,1588.7839,-14.546600000000126,14.546600000000126,true,6
2025-01-01 00:00:00,2025-01-01 06:00:00,0→6,2025-01-01 09:00:00,9,3,3409.0929,3297.9893,-111.10359999999991,111.10359999999991,true,6
2025-01-01 00:00:00,2025-01-01 06:00:00,0→6,2025-01-01 10:00:00,10,4,4871.2875,4692.2274,-179.0601000000006,179.0601000000006,true,6
2025-01-01 00:00:00,2025-01-01 06:00:00,0→6,2025-01-01 11:00:00,11,5,5785.111,5220.3894,-564.7215999999999,564.7215999999999,true,6
2025-01-01 00:00:00,2025-01-01 06:00:00,0→6,2025-01-01 12:00:00,12,6,5737.1717,5078.6992,-658.4724999999999,658.4724999999999,true,6
2025-01-01 00:00:00,2025-01-01 06:00:00,0→6,2025-01-01 13:00:00,13,7,6047.3964,5314.2003,-733.1960999999992,733.1960999999992,true,6
2025-01-01 06:00:00,2025-01-01 12:00:00,6→12,2025-01-01 13:00:00,7,1,5314.2003,5330.4298,16.22949999999946,16.22949999999946,true,6
2025-01-01 00:00:00,2025-01-01 06:00:00,0→6,2025-01-01 14:00:00,14,8,4687.1165,4833.7142,146.59770000000026,146.59770000000026,true,6
2025-01-01 06:00:00,2025-01-01 12:00:00,6→12,2025-01-01 14:00:00,8,2,4833.7142,4549.2579,-284.45630000000074,284.45630000000074,true,6
2025-01-01 00:00:00,2025-01-01 06:00:00,0→6,2025-01-01 15:00:00,15,9,3572.6529,3588.0375,15.384599999999864,15.384599999999864,true,6
2025-01-01 06:00:00,2025-01-01 12:00:00,6→12,2025-01-01 15:00:00,9,3,3588.0375,3365.5312,-222.5063,222.5063,true,6
2025-01-01 00:00:00,2025-01-01 06:00:00,0→6,2025-01-01 16:00:00,16,10,1629.9964,1660.0369,30.040500000000065,30.040500000000065,true,6
2025-01-01 06:00:00,2025-01-01 12:00:00,6→12,2025-01-01 16:00:00,10,4,1660.0369,1504.2156,-155.82130000000006,155.82130000000006,true,6
