月份,变量,样本数,均值,P10,P50,P90,平均144槽位日期块能量代理_kWh
1,load_kw,4464,4725.773469153226,2956.83529,4286.383,6946.1230399999995,113418.56325967741
2,load_kw,4032,4516.8965253224205,2792.2552,4103.505,6692.90389,108405.5166077381
3,load_kw,4464,4355.698995407706,2681.18867,3797.03385,6383.73275,104536.77588978494
4,load_kw,4320,4392.976799050925,2703.53739,3874.1182,6382.664000000001,105431.44317722222
5,load_kw,4464,4401.6777526881715,2764.50975,3766.83135,6419.666830000001,105640.26606451612
6,load_kw,4320,4800.372629444444,3190.1330000000003,4306.317950000001,6660.14112,115208.94310666666
7,load_kw,4464,5337.258656070789,3738.61432,4885.5727,7219.00255,128094.20774569892
8,load_kw,4464,5045.177050336021,3438.86178,4540.8288,7006.36325,121084.2492080645
9,load_kw,4320,4535.910432824075,2895.665,3921.73,6449.3492,108861.85038777777
10,load_kw,4464,4347.019491330645,2670.587,3789.2069,6381.06733,104328.46779193547
11,load_kw,4320,4337.6713466898145,2678.618,3771.855,6382.49718,104104.11232055555
12,load_kw,4464,4691.305896191756,2929.692,4247.86135,6853.059470000001,112591.34150860216
1,pv_actual_kw,4464,1589.1838943548387,0.0,0.0,5521.7325,38140.413464516125
2,pv_actual_kw,4032,1966.4803466517858,0.0,0.0021000000000000003,6470.99999,47195.52831964286
3,pv_actual_kw,4464,2304.1967555331544,0.0,3.95585,7101.939420000002,55300.722132795694
4,pv_actual_kw,4320,2701.685689328704,0.0,516.2003500000001,7896.1348100000005,64840.45654388889
5,pv_actual_kw,4464,2806.502396550179,0.0,1032.7687500000002,7748.6888100000015,67356.0575172043
6,pv_actual_kw,4320,2369.8265653009257,0.0,1042.32195,6447.761439999999,56875.83756722222
7,pv_actual_kw,4464,2723.254275,0.0,1081.85625,7567.29132,65358.1026
8,pv_actual_kw,4464,2915.9930929883517,0.0,760.8612,8389.83807,69983.83423172042
9,pv_actual_kw,4320,2607.5995060879627,0.0,86.175,7908.86303,62582.38814611111
10,pv_actual_kw,4464,2364.313051769713,0.0,0.02965,7708.3875,56743.51324247312
11,pv_actual_kw,4320,1854.376335601852,0.0,0.0,6415.16547,44505.03205444444
12,pv_actual_kw,4464,1513.8368958781361,0.0,0.0,5371.65025,36332.085501075264
1,net_load_kw,4464,3136.589574798387,668.3125000000001,3486.0269,4991.872660000001,75278.14979516128
2,net_load_kw,4032,2550.416178670635,-631.8941200000002,3173.72875,4434.02962,61209.98828809523
3,net_load_kw,4464,2051.5022398745514,-1619.2460899999999,2744.4817000000003,4337.361400000001,49236.05375698925
4,net_load_kw,4320,1691.2911097222222,-2173.381750000001,2657.2785000000003,4270.86764,40590.986633333334
5,net_load_kw,4464,1595.1753561379926,-2359.5826899999997,2616.42675,4466.97075,38284.20854731183
6,net_load_kw,4320,2430.5460641435184,-811.3953599999999,3084.5382499999996,5065.05168,58333.10553944444
7,net_load_kw,4464,2614.0043810707884,-1299.6661200000003,3584.24575,5622.509000000002,62736.105145698915
8,net_load_kw,4464,2129.1839573476705,-2436.259139999999,3364.7146000000002,5474.25521,51100.41497634408
9,net_load_kw,4320,1928.310926736111,-2250.0222900000003,2920.53945,4751.59891,46279.46224166666
10,net_load_kw,4464,1982.7064395609318,-2060.9973500000006,2788.7343499999997,4368.12382,47584.95454946236
11,net_load_kw,4320,2483.2950110879633,-752.7942499999996,3036.63395,4458.41441,59599.08026611111
12,net_load_kw,4464,3177.46900031362,813.1810599999999,3492.69935,5123.100740000003,76259.25600752688
