峰谷类型,slot_id,time_mark,日期数,占比
负荷最大,1,0:10,0,0.0
负荷最大,2,0:20,0,0.0
负荷最大,3,0:30,0,0.0
负荷最大,4,0:40,0,0.0
负荷最大,5,0:50,0,0.0
负荷最大,6,1:00,0,0.0
负荷最大,7,1:10,0,0.0
负荷最大,8,1:20,0,0.0
负荷最大,9,1:30,0,0.0
负荷最大,10,1:40,0,0.0
负荷最大,11,1:50,0,0.0
负荷最大,12,2:00,0,0.0
负荷最大,13,2:10,0,0.0
负荷最大,14,2:20,0,0.0
负荷最大,15,2:30,0,0.0
负荷最大,16,2:40,0,0.0
负荷最大,17,2:50,0,0.0
负荷最大,18,3:00,0,0.0
负荷最大,19,3:10,0,0.0
负荷最大,20,3:20,0,0.0
负荷最大,21,3:30,0,0.0
负荷最大,22,3:40,0,0.0
负荷最大,23,3:50,0,0.0
负荷最大,24,4:00,0,0.0
负荷最大,25,4:10,0,0.0
负荷最大,26,4:20,0,0.0
负荷最大,27,4:30,0,0.0
负荷最大,28,4:40,0,0.0
负荷最大,29,4:50,0,0.0
负荷最大,30,5:00,0,0.0
负荷最大,31,5:10,0,0.0
负荷最大,32,5:20,0,0.0
负荷最大,33,5:30,0,0.0
负荷最大,34,5:40,0,0.0
负荷最大,35,5:50,0,0.0
负荷最大,36,6:00,0,0.0
负荷最大,37,6:10,0,0.0
负荷最大,38,6:20,0,0.0
负荷最大,39,6:30,0,0.0
负荷最大,40,6:40,0,0.0
负荷最大,41,6:50,0,0.0
负荷最大,42,7:00,0,0.0
负荷最大,43,7:10,0,0.0
负荷最大,44,7:20,0,0.0
负荷最大,45,7:30,0,0.0
负荷最大,46,7:40,0,0.0
负荷最大,47,7:50,0,0.0
负荷最大,48,8:00,12,0.03287671232876712
负荷最大,49,8:10,98,0.2684931506849315
负荷最大,50,8:20,1,0.0027397260273972603
负荷最大,51,8:30,19,0.052054794520547946
负荷最大,52,8:40,14,0.038356164383561646
负荷最大,53,8:50,1,0.0027397260273972603
