slot_id,time_mark,变量,样本数,均值,标准差,P10,P50,P90
1,0:10,load_kw,365,3439.8466342465763,634.5571538667965,2456.42128,3465.0342,4385.73558
2,0:20,load_kw,365,3437.9792413698638,603.3679953926313,2503.66132,3452.6851,4354.93568
3,0:30,load_kw,365,3444.3030958904105,601.3839976090354,2529.67,3467.02,4307.07
4,0:40,load_kw,365,3454.443659726027,587.0427035551322,2568.1365800000003,3476.4439,4349.835660000001
5,0:50,load_kw,365,3458.827338356165,583.9081809874868,2561.91706,3491.0769,4271.3085
6,1:00,load_kw,365,3459.8400547945207,590.8829554968567,2562.24,3507.56,4332.104000000001
7,1:10,load_kw,365,3467.1581654794522,585.0832815532905,2536.5207,3510.7796,4262.34058
8,1:20,load_kw,365,3467.963179726027,565.4936928662736,2569.37534,3532.2407,4216.918
9,1:30,load_kw,365,3466.9682739726027,547.9185192347164,2606.482,3519.32,4169.224
10,1:40,load_kw,365,3482.492672054794,547.2173595873329,2599.6925,3533.0136,4248.04236
11,1:50,load_kw,365,3495.08410109589,546.5853382263016,2603.83176,3553.1771,4189.88606
12,2:00,load_kw,365,3498.4443013698633,542.8982776290612,2616.118,3553.83,4142.170000000001
13,2:10,load_kw,365,3505.2294761643834,544.6585342340251,2618.0826,3566.7016,4195.9967400000005
14,2:20,load_kw,365,3512.638685479452,541.7011994660543,2640.21422,3580.066,4167.2285600000005
15,2:30,load_kw,365,3516.8684657534245,527.7954972380709,2668.1859999999997,3594.62,4151.612
16,2:40,load_kw,365,3517.924567945205,520.3853501569266,2679.79308,3601.2505,4162.00328
17,2:50,load_kw,365,3518.551812328767,521.5724398130227,2660.71274,3603.0912,4180.27438
18,3:00,load_kw,365,3521.097616438356,524.2318006641192,2652.018,3601.04,4154.344
19,3:10,load_kw,365,3526.926095068493,509.29892724159635,2669.87448,3614.0257,4128.4249
20,3:20,load_kw,365,3537.2853967123287,510.23796357303684,2690.16374,3610.2324,4145.01604
21,3:30,load_kw,365,3544.8808493150686,523.1598663091277,2670.3740000000003,3617.8,4208.724
22,3:40,load_kw,365,3541.2786986301367,519.8596101477026,2706.21744,3631.228,4155.71992
