星期序号,星期,变量,样本数,均值,P50,P90
0,周一,load_kw,7488,5162.540201442307,4953.97565,6746.04209
1,周二,load_kw,7488,5172.680314863782,4960.57675,6769.15771
2,周三,load_kw,7632,5171.497756381027,4955.1679,6780.090330000002
3,周四,load_kw,7488,5168.024295953525,4981.79015,6773.841
4,周五,load_kw,7488,3263.8267482905985,3242.98825,4084.45278
5,周六,load_kw,7488,3266.967671781517,3241.7354,4080.2793600000005
6,周日,load_kw,7488,5166.209008199787,4968.344300000001,6756.74733
0,周一,pv_actual_kw,7488,2314.821517454594,23.7367,7116.0134
1,周二,pv_actual_kw,7488,2303.3895751869654,18.622700000000002,7103.418720000001
2,周三,pv_actual_kw,7632,2285.40945115304,8.2492,7129.3954300000005
3,周四,pv_actual_kw,7488,2322.10796985844,19.3024,7194.45663
4,周五,pv_actual_kw,7488,2327.128523824786,21.535400000000003,7222.246990000001
5,周六,pv_actual_kw,7488,2313.3468782318373,20.90895,7110.735000000001
6,周日,pv_actual_kw,7488,2316.80328369391,21.35585,7148.97717
0,周一,net_load_kw,7488,2847.7186839877136,3566.26375,4900.4335
1,周二,net_load_kw,7488,2869.2907396768155,3569.46465,4907.14303
2,周三,net_load_kw,7632,2886.088305227988,3574.48235,4927.52355
3,周四,net_load_kw,7488,2845.9163260950854,3564.91,4936.20496
4,周五,net_load_kw,7488,936.698224465812,2441.33115,3276.40572
5,周六,net_load_kw,7488,953.6207935496795,2437.9829499999996,3284.3205700000003
6,周日,net_load_kw,7488,2849.405724505876,3559.0662,4918.04072
