小时,电价,负载,光伏,购电,SOC
0,0.42635,3446.687633333333,0.0,7946.687633333332,10050.0
1,0.43036666666666673,3473.2511,0.0,3473.2511,10050.0
2,0.4329666666666667,3511.609566666666,0.0,3511.609566666666,10050.0
3,0.4361833333333333,3536.3110333333334,0.0,3536.3110333333334,10050.0
4,0.43911666666666666,3567.7467666666666,0.13898333333333335,3567.607783333333,10050.0
5,0.44815000000000005,3602.4474,107.27111666666667,4328.509616666666,10800.0
6,0.8837833333333333,4406.033533333333,787.6392333333333,0.0,6779.561888888889
7,0.79235,4568.4122,2239.3867499999997,0.0,4191.755833333333
8,1.1024166666666668,5796.679883333332,4029.872183333333,0.0,2228.6361666666658
9,0.9853333333333333,5928.880016666666,5644.531116666667,0.0,1897.8598907407395
10,0.9477000000000001,5877.158683333333,6825.320733333334,0.0,2751.2057357407393
11,0.48279999999999995,5810.216016666666,7471.850483333334,1274.5726047325156,5393.792100000004
12,0.4608666666666667,5507.167033333333,7539.3924166666675,2438.9930499999996,9417.888690000003
13,0.8599666666666667,5717.158566666667,6975.108316666666,0.0,10550.043465
14,1.0047833333333334,5677.456016666667,5864.084116666666,0.0,10698.77624074074
15,0.7195999999999999,5666.097683333333,4316.096299999999,1462.4722269547324,10800.0
16,0.8637166666666666,5660.779116666667,2542.1851666666666,3118.59395,10800.0
17,0.9805333333333334,5434.037083333334,968.6529166666667,4465.384166666667,10800.0
18,1.2544833333333334,4215.503166666666,171.12156666666667,3230.4800833333334,9895.664981481481
19,1.348,4254.969599999999,0.18426666666666666,0.0,5168.125722222223
20,1.3343666666666667,4287.182066666666,0.0,715.8689166666666,1200.0
21,0.9129499999999999,4284.494533333333,0.0,4284.494533333333,1200.0
22,0.41768333333333335,3375.6777833333326,0.0,6709.011116666666,4200.0
23,0.4242666666666666,3418.851616666667,0.0,5418.851616666666,6000.0
