时段起点,电价(元/kWh),负载电量(kWh),光伏电量(kWh),计划购电量(kWh),充电量(kWh),放电量(kWh),弃光量(kWh),时段末储电量(kWh)
0:00,0.4276,574.1209833333332,0.0,907.4543166666665,333.3333333333333,0.0,0.0,6300.0
00:10:00,0.4248,573.3077666666666,0.0,1406.6410999999998,833.3333333333333,0.0,0.0,7050.0
00:20:00,0.4245,572.9965333333333,0.0,1406.3298666666665,833.3333333333333,0.0,0.0,7800.0
00:30:00,0.4269,574.0505166666667,0.0,1407.38385,833.3333333333333,0.0,0.0,8550.0
00:40:00,0.4272,575.7406166666666,0.0,1409.07395,833.3333333333333,0.0,0.0,9300.0
00:50:00,0.4271,576.4712166666666,0.0,1409.8045499999998,833.3333333333333,0.0,0.0,10050.0
01:00:00,0.4285,576.6400166666666,0.0,576.6400166666666,0.0,0.0,0.0,10050.0
01:10:00,0.4311,577.8597,0.0,577.8597,0.0,0.0,0.0,10050.0
01:20:00,0.4302,577.9938666666667,0.0,577.9938666666667,0.0,0.0,0.0,10050.0
01:30:00,0.4279,577.82805,0.0,577.82805,0.0,0.0,0.0,10050.0
01:40:00,0.4312,580.41545,0.0,580.41545,0.0,0.0,0.0,10050.0
01:50:00,0.4333,582.5140166666666,0.0,582.5140166666666,0.0,0.0,0.0,10050.0
02:00:00,0.4311,583.0740499999999,0.0,583.0740499999999,0.0,0.0,0.0,10050.0
02:10:00,0.4293,584.2049166666666,0.0,584.2049166666666,0.0,0.0,0.0,10050.0
02:20:00,0.4324,585.4397833333333,0.0,585.4397833333333,0.0,0.0,0.0,10050.0
02:30:00,0.4367,586.1447499999999,0.0,586.1447499999999,0.0,0.0,0.0,10050.0
02:40:00,0.4348,586.3207666666666,0.0,586.3207666666666,0.0,0.0,0.0,10050.0
02:50:00,0.4335,586.4253,0.0,586.4253,0.0,0.0,0.0,10050.0
03:00:00,0.4357,586.8496,0.0,586.8496,0.0,0.0,0.0,10050.0
03:10:00,0.4374,587.8210166666667,0.0,587.8210166666667,0.0,0.0,0.0,10050.0
03:20:00,0.4371,589.5475666666666,0.0,589.5475666666666,0.0,0.0,0.0,10050.0
03:30:00,0.4356,590.8134666666666,0.0,590.8134666666666,0.0,0.0,0.0,10050.0
03:40:00,0.4353,590.2131166666666,0.0,590.2131166666666,0.0,0.0,0.0,10050.0
03:50:00,0.436,591.0662666666666,0.0,591.0662666666666,0.0,0.0,0.0,10050.0
04:00:00,0.4378,593.3678333333332,0.0,593.3678333333332,0.0,0.0,0.0,10050.0
04:10:00,0.4401,593.6596833333333,0.0,593.6596833333333,0.0,0.0,0.0,10050.0
04:20:00,0.4389,592.7863833333333,0.0,592.7863833333333,0.0,0.0,0.0,10050.0
04:30:00,0.4364,593.3378666666666,0.0,593.3378666666666,0.0,0.0,0.0,10050.0
04:40:00,0.4393,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,0.0,10050.0
04:50:00,0.4422,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,0.0,10050.0
05:00:00,0.4395,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,0.0,10050.0
05:10:00,0.4333,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,0.0,10050.0
05:20:00,0.4439,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,0.0,10050.0
05:30:00,0.4301,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,0.0,10050.0
05:40:00,0.3713,581.0198333333333,30.693383333333333,1383.659783333333,833.3333333333333,0.0,0.0,10800.0
05:50:00,0.5708,637.3165666666666,46.17636666666667,591.1401999999999,0.0,0.0,0.0,10800.0
06:00:00,0.9099,733.0121166666665,64.75823333333332,0.0,0.0,668.2538833333332,0.0,10057.495685185186
06:10:00,0.9368,742.3353833333333,86.88005,0.0,0.0,655.4553333333333,0.0,9329.211981481481
06:20:00,0.8758,728.6319833333333,112.12795,0.0,0.0,616.5040333333334,0.0,8644.2075
06:30:00,0.8759,732.1588333333334,140.70434999999998,0.0,0.0,591.4544833333334,0.0,7987.035851851852
06:40:00,0.8601,730.7659333333332,173.27906666666667,0.0,0.0,557.4868666666666,0.0,7367.606000000001
06:50:00,0.8442,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,0.0,6779.561888888889
07:00:00,0.8334,753.90935,251.43863333333334,0.0,0.0,502.4707166666667,0.0,6221.261092592593
07:10:00,0.8092,754.0120166666667,298.56845,0.0,0.0,455.4435666666667,0.0,5715.212685185185
07:20:00,0.7972,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,0.0,5259.583018518519
07:30:00,0.7644,753.8736333333333,396.87685,0.0,0.0,356.99678333333327,0.0,4862.919925925926
07:40:00,0.6899,730.5594333333333,447.1958666666667,0.0,0.0,283.36356666666666,0.0,4548.071518518518
07:50:00,0.86,818.4099833333332,497.72586666666666,0.0,0.0,320.68411666666657,0.0,4191.755833333333
08:00:00,1.1617,966.6221166666666,548.2006666666666,0.0,0.0,418.42144999999994,0.0,3726.8431111111104
08:10:00,1.1683,980.8043333333333,598.89355,0.0,0.0,381.91078333333326,0.0,3302.4977962962957
08:20:00,1.0956,958.0118833333332,648.4555333333333,0.0,0.0,309.55634999999995,0.0,2958.5462962962956
08:30:00,1.0849,961.5096833333333,696.8902833333333,0.0,0.0,264.61940000000004,0.0,2664.52474074074
08:40:00,1.061,959.0350833333333,745.2942833333333,0.0,0.0,213.74080000000004,0.0,2427.0349629629623
08:50:00,1.043,970.6967833333333,792.1378666666666,0.0,0.0,178.55891666666673,0.0,2228.6361666666658
09:00:00,1.036,992.3766833333334,836.9845666666666,0.0,0.0,155.39211666666677,0.0,2055.9782592592583
09:10:00,1.0147,993.1616,880.9020999999999,0.0,0.0,112.25950000000012,0.0,1931.2454814814803
09:20:00,0.9922,988.2592333333333,923.8623666666667,0.0,0.0,64.3968666666666,0.0,1859.6934074074063
09:30:00,0.97,987.2971333333332,964.7348833333333,0.0,0.0,22.56224999999995,0.0,1834.6242407407397
09:40:00,0.9422,984.5976666666667,1002.0217333333333,0.0,17.42406666666659,0.0,0.0,1850.3059007407396
09:50:00,0.9569,983.1877,1036.0254666666665,0.0,52.83776666666654,0.0,0.0,1897.8598907407395
10:00:00,0.9977,983.7032666666667,1068.2656833333333,0.0,84.56241666666665,0.0,0.0,1973.9660657407394
10:10,0.9919,982.9132166666666,1099.8968,0.0,116.9835833333334,0.0,0.0,2079.2512907407395
10:20,0.9588,981.1261333333333,1127.7867333333334,0.0,146.66060000000004,0.0,0.0,2211.2458307407396
10:30,0.9549,978.9118,1152.43205,0.0,173.52024999999992,0.0,0.0,2367.4140557407395
10:40,0.9839,976.3384666666667,1177.36755,0.0,201.02908333333323,0.0,0.0,2548.3402307407396
10:50,0.799,974.1658,1199.5719166666665,0.0,225.40611666666655,0.0,0.0,2751.2057357407393
11:00,0.5025,973.1764499999999,1217.1857,0.0,244.00925000000007,0.0,0.0,2970.8140607407395
11:10,0.4662,973.1183833333332,1231.2808,575.1709166666665,833.3333333333333,0.0,0.0,3720.8140607407395
11:20,0.5007,970.5729666666666,1243.2044999999998,0.0,272.6315333333332,0.0,0.0,3966.1824407407394
11:30,0.4827,969.1322,1253.4531833333333,0.0,284.3209833333333,0.0,0.0,4222.07132574074
11:40,0.4785,972.06585,1261.3673166666667,179.2771713991827,468.5786380658495,0.0,0.0,4643.792100000004
11:50,0.4662,952.1501666666666,1265.3589833333333,520.1245166666665,833.3333333333333,0.0,0.0,5393.792100000004
12:00,0.4432,919.9101166666666,1266.84055,486.40289999999993,833.3333333333333,0.0,0.0,6143.792100000004
12:10,0.4411,915.7984499999999,1268.7193333333332,480.4124499999999,833.3333333333333,0.0,0.0,6893.792100000004
12:20,0.4551,919.0754,1267.1087333333332,485.29999999999995,833.3333333333333,0.0,0.0,7643.792100000004
12:30,0.4463,914.3048333333332,1259.0312,488.6069666666666,833.3333333333333,0.0,0.0,8393.792100000004
12:40,0.4113,910.3937999999999,1245.4564,498.27073333333317,833.3333333333333,0.0,0.0,9143.792100000004
12:50,0.5682,927.6844333333333,1232.2361999999998,0.0,304.5517666666665,0.0,0.0,9417.888690000003
13:00,0.8279,954.2924666666665,1218.79965,0.0,264.5071833333334,0.0,0.0,9655.945155000003
13:10,0.8636,956.5826166666667,1199.0901666666666,0.0,242.50754999999992,0.0,0.0,9874.201950000002
13:20,0.8416,952.4472666666667,1175.5228499999998,0.0,223.07558333333316,0.0,0.0,10074.969975000002
13:30,0.8618,952.9750833333333,1151.7343999999998,0.0,198.75931666666656,0.0,0.0,10253.853360000001
13:40,0.8623,951.3747666666666,1128.7345833333334,0.0,177.3598166666668,0.0,0.0,10413.477195000001
13:50,0.9026,949.4863666666666,1101.2266666666665,0.0,151.74029999999982,0.0,0.0,10550.043465
14:00,0.9754,948.7163833333334,1068.7514166666665,0.0,120.0350333333331,0.0,0.0,10658.074995
14:10,1.0002,947.8548499999999,1035.6693,0.0,87.81445000000008,0.0,0.0,10737.108
14:20,0.9978,946.4936666666667,1000.1185333333333,0.0,53.62486666666655,0.0,0.0,10785.37038
14:30,1.0271,944.9084666666665,961.1636,0.0,16.255133333333447,0.0,0.0,10800.0
14:40,1.0906,944.0324666666667,920.2511,0.0,0.0,23.781366666666713,0.0,10773.57625925926
14:50,0.9376,945.4501833333334,878.1301666666666,0.0,0.0,67.32001666666679,0.0,10698.77624074074
15:00,0.6694,947.0423999999999,834.9525333333332,112.0898666666667,0.0,0.0,0.0,10698.77624074074
15:10,0.66,944.8365833333334,790.5747333333334,266.73269362139905,112.47084362139907,0.0,0.0,10800.0
15:20,0.7217,942.7275166666666,745.204,197.52351666666664,0.0,0.0,0.0,10800.0
15:30,0.7308,942.8477833333333,698.03375,244.8140333333332,0.0,0.0,0.0,10800.0
15:40,0.7534,943.7668,648.2321833333333,295.5346166666667,0.0,0.0,0.0,10800.0
15:50,0.7823,944.8766,599.0990999999999,345.77750000000015,0.0,0.0,0.0,10800.0
16:00,0.8055,945.57945,550.6479666666667,394.9314833333333,0.0,0.0,0.0,10800.0
16:10,0.8271,945.1691000000001,499.73744999999997,445.4316500000001,0.0,-0.0,0.0,10800.0
16:20,0.8519,943.5987666666666,447.90218333333337,495.69658333333325,0.0,0.0,0.0,10800.0
16:30,0.8791,944.3153666666667,397.1963166666667,547.11905,0.0,-0.0,0.0,10800.0
16:40,0.9024,948.1728666666666,348.18743333333333,599.9854333333333,0.0,-0.0,0.0,10800.0
16:50,0.9163,933.9435666666666,298.5138166666667,635.4297499999999,0.0,-0.0,0.0,10800.0
17:00,0.9264,911.1187333333334,250.28805,660.8306833333334,0.0,0.0,0.0,10800.0
17:10,0.9462,911.2323166666666,209.19538333333333,702.0369333333333,0.0,0.0,0.0,10800.0
17:20,0.9742,910.7878333333333,172.72205,738.0657833333333,0.0,-0.0,0.0,10800.0
