日期,自适应分位数,计划购电量(kWh),紧急购电量(kWh),计划购电费(元),紧急购电费(元),总费用(元),0:00储电量(kWh),24:00储电量(kWh)
2025-02-01,0.75,49050.161499907466,0.0,25879.008046350304,0.0,25879.008046350304,10800.0,10800.0
2025-02-02,0.75,96314.99289808364,0.0,61370.97977295529,0.0,61370.97977295529,10800.0,10800.0
2025-02-03,0.75,93344.07660115128,0.0,59179.844021113575,0.0,59179.844021113575,10800.0,10800.0
2025-02-04,0.75,93590.94426484352,0.0,59400.81060975384,0.0,59400.81060975384,10800.0,10800.0
2025-02-05,0.75,89119.4825026606,1.9264141228017024,56053.16572647469,11.189576432293688,56064.35530290698,10800.0,10800.0
2025-02-06,0.75,90058.03583365952,27.027433731288852,56896.31801550885,157.68359342819127,57054.00160893704,10800.0,10800.0
2025-02-07,0.75,44228.506180330376,0.0,22974.440878447494,0.0,22974.440878447494,10800.0,10800.0
2025-02-08,0.75,39847.10632705728,40.17308092536052,20622.687905949755,245.57804369672886,20868.265949646484,10800.0,10800.0
2025-02-09,0.75,85198.87600083729,78.59121570924393,53297.36360571122,407.8664297049375,53705.23003541616,10800.0,10776.350356724355
2025-02-10,0.7502463504507879,86305.94253571787,0.0,54146.445005956775,0.0,54146.445005956775,10776.350356724355,10699.464346847728
2025-02-11,0.7510472463870028,86675.74878223632,144.0772157805747,54451.5943976143,802.8698939792577,55254.46429159356,10699.464346847728,10691.56547698097
2025-02-12,0.7511295262814482,85354.42860429603,0.0,53468.43824042,0.0,53468.43824042,10691.56547698097,10800.0
2025-02-13,0.75,85470.20798596505,0.0,53567.65105227516,0.0,53567.65105227516,10800.0,10800.0
2025-02-14,0.75,38503.37624774012,0.0,20038.77031870924,0.0,20038.77031870924,10800.0,10800.0
2025-02-15,0.75,37798.1541538202,0.0,19674.49185936032,0.0,19674.49185936032,10800.0,10800.0
2025-02-16,0.75,83889.57342191826,32.15822107680685,52378.13572425179,146.30382678893278,52524.43955104073,10800.0,10800.0
2025-02-17,0.75,82388.75537319647,9.387593058519656,51340.94458206847,42.70885461973518,51383.653436688204,10800.0,10800.0
2025-02-18,0.75,82599.4451739962,17.233249729573117,51567.7483005748,78.4026696446929,51646.150970219496,10800.0,10800.0
2025-02-19,0.75,80640.61102622126,35.70067434740952,50143.813202009245,156.95943234400505,50300.77263435325,10800.0,10696.859801788622
2025-02-20,0.7510743770647018,79399.54360187659,18.44004695509932,49131.08143447441,86.37317993768521,49217.45461441209,10696.859801788622,10800.0
2025-02-21,0.75,36828.74715244166,0.0,19126.354240927554,0.0,19126.354240927554,10800.0,10800.0
2025-02-22,0.75,36681.012715265824,0.0,19074.791456258863,0.0,19074.791456258863,10800.0,10800.0
2025-02-23,0.75,80240.52456023195,12.252814209334474,49690.190926414376,57.392181756522675,49747.5831081709,10800.0,10800.0
2025-02-24,0.75,77861.95794147145,34.135311118072764,47911.150518072114,155.86352570382127,48067.01404377593,10800.0,10800.0
2025-02-25,0.75,78262.50662271808,34.52535703859371,48210.427683095746,155.35177204465978,48365.77945514041,10800.0,10800.0
2025-02-26,0.75,76115.39297139237,0.0,46872.292388832575,0.0,46872.292388832575,10800.0,10800.0
2025-02-27,0.75,74186.79380516021,330.4934297489334,45472.9477518269,1625.810062883772,47098.75781471067,10800.0,10800.0
2025-02-28,0.75,35488.268638842885,0.0,18260.004057094513,0.0,18260.004057094513,10800.0,10800.0
2025-03-01,0.75,35604.46155963684,0.0,18413.043692501513,0.0,18413.043692501513,10800.0,10800.0
2025-03-02,0.75,74499.02506533125,3211.443375360336,45677.42943901156,21690.574434165323,67368.00387317689,10800.0,10800.0
2025-03-03,0.75,73116.02753549522,3992.8988114202075,44903.72188667094,25021.194082821392,69924.91596949233,10800.0,10759.861217823356
2025-03-04,0.7504181123143401,73380.75632560768,888.6047157877643,45110.82186537072,6159.708120295369,51270.52998566609,10759.861217823356,10726.922499746857
2025-03-05,0.7507612239609702,76400.00523438968,3.286666666666747,46946.73131441006,14.952690000000366,46961.68400441006,10726.922499746857,10800.0
2025-03-06,0.75,74767.46770426026,0.0,46025.58824181516,0.0,46025.58824181516,10800.0,10800.0
2025-03-07,0.75,35022.36339726246,0.0,18121.814120412197,0.0,18121.814120412197,10800.0,10800.0
2025-03-08,0.75,34278.64588882171,0.0,17767.579781978533,0.0,17767.579781978533,10800.0,10800.0
2025-03-09,0.75,76077.71699213721,0.0,46629.98810701407,0.0,46629.98810701407,10800.0,10800.0
2025-03-10,0.75,75266.35175748989,0.0,46188.38981636765,0.0,46188.38981636765,10800.0,10800.0
2025-03-11,0.75,75181.07635460142,0.0,46056.03401316173,0.0,46056.03401316173,10800.0,10800.0
2025-03-12,0.75,71564.80365455552,0.0,43581.93364319107,0.0,43581.93364319107,10800.0,10800.0
2025-03-13,0.75,70638.75569094585,1566.2697443767877,42975.374363440584,10309.215554160608,53284.58991760119,10800.0,10800.0
2025-03-14,0.75,32916.254528159145,0.0,16917.158495902935,0.0,16917.158495902935,10800.0,10800.0
2025-03-15,0.75,32853.5570752531,0.0,16878.524071086482,0.0,16878.524071086482,10800.0,10739.265045552915
2025-03-16,0.7506326557754904,70673.67729258887,1.6400000000001,42879.611109794576,7.461180000000455,42887.072289794574,10739.265045552915,10800.0
2025-03-17,0.75,71337.50522423629,0.0,43225.0019427236,0.0,43225.0019427236,10800.0,10800.0
2025-03-18,0.75,68172.23868060138,643.576717531806,41115.31904162737,3182.4180864392843,44297.737128066656,10800.0,10800.0
2025-03-19,0.75,70271.29732648621,0.0,42586.0177500267,0.0,42586.0177500267,10800.0,10800.0
2025-03-20,0.75,71435.35438224033,0.0,43351.74272252103,0.0,43351.74272252103,10800.0,10800.0
2025-03-21,0.75,31851.042872063394,0.0,16267.38609630564,0.0,16267.38609630564,10800.0,10800.0
2025-03-22,0.75,32207.786733028224,0.0,16490.172358319458,0.0,16490.172358319458,10800.0,10800.0
2025-03-23,0.75,69372.85760975347,39.2089317387798,41921.46446091818,252.35215540113683,42173.81661631932,10800.0,10800.0
2025-03-24,0.75,65537.71557414862,0.0,39560.740226530135,0.0,39560.740226530135,10800.0,10800.0
2025-03-25,0.75,67042.68585438217,27.40709034026645,40532.22797901559,191.19186221369876,40723.41984122929,10800.0,10800.0
2025-03-26,0.75,67510.27549498188,0.0,40683.855945674055,0.0,40683.855945674055,10800.0,10800.0
2025-03-27,0.75,69439.53068129825,0.0,41975.29188726817,0.0,41975.29188726817,10800.0,10800.0
2025-03-28,0.75,31400.03780189185,0.0,15943.851554926525,0.0,15943.851554926525,10800.0,10800.0
2025-03-29,0.75,31207.79924425382,0.0,15818.780593702393,0.0,15818.780593702393,10800.0,10800.0
2025-03-30,0.75,69553.97268586993,0.0,41820.33515864096,0.0,41820.33515864096,10800.0,10800.0
2025-03-31,0.75,68981.31658278953,0.0,41412.089916359015,0.0,41412.089916359015,10800.0,10800.0
2025-04-01,0.75,70165.6987911101,0.0,42274.24370004533,0.0,42274.24370004533,10800.0,10800.0
2025-04-02,0.75,63237.63015134762,1669.8201208784003,37882.98203583885,8820.773179020624,46703.75521485948,10800.0,10800.0
2025-04-03,0.75,65567.99841018191,67.00059876063631,39199.43737460488,328.96233670151673,39528.399711306396,10800.0,10800.0
2025-04-04,0.75,30321.690135980454,0.0,15214.484323231929,0.0,15214.484323231929,10800.0,10800.0
2025-04-05,0.75,30545.49930393997,0.0,15389.281026129971,0.0,15389.281026129971,10800.0,10800.0
2025-04-06,0.75,64431.475101923446,0.0,38280.946045748955,0.0,38280.946045748955,10800.0,10800.0
2025-04-07,0.75,64556.34018543336,0.0,38395.53505734716,0.0,38395.53505734716,10800.0,10800.0
2025-04-08,0.75,66385.03971341235,104.15124999999911,39275.698539155674,513.4415774999956,39789.14011665567,10800.0,10800.0
2025-04-09,0.75,63196.67299495053,516.33976898637,37759.52082278991,3593.6627089143703,41353.183531704286,10800.0,10800.0
2025-04-10,0.75,62804.45355970929,0.0,37656.47195406331,0.0,37656.47195406331,10800.0,10800.0
2025-04-11,0.75,29951.73310899931,0.0,14886.508051736284,0.0,14886.508051736284,10800.0,10800.0
2025-04-12,0.75,30325.309393873133,0.0,15180.84558032779,0.0,15180.84558032779,10800.0,10800.0
2025-04-13,0.75,60910.92696419364,0.0,36346.82056241377,0.0,36346.82056241377,10800.0,10800.0
2025-04-14,0.75,59526.69751542334,0.0,35613.84899506951,0.0,35613.84899506951,10800.0,10800.0
2025-04-15,0.75,61067.31694574437,0.0,36590.567568953134,0.0,36590.567568953134,10800.0,10800.0
2025-04-16,0.75,61945.67671109804,0.0,36755.14787296135,0.0,36755.14787296135,10800.0,10800.0
2025-04-17,0.75,60191.78683634974,0.0,36043.833847630696,0.0,36043.833847630696,10800.0,10800.0
2025-04-18,0.75,29244.339779693248,0.0,14369.27116063913,0.0,14369.27116063913,10800.0,10800.0
2025-04-19,0.75,29045.486303812846,0.0,14294.480380894654,0.0,14294.480380894654,10800.0,10800.0
2025-04-20,0.75,58667.49829464233,0.0,34993.70634130475,0.0,34993.70634130475,10800.0,10800.0
2025-04-21,0.75,57636.412739575964,0.0,34274.29596621814,0.0,34274.29596621814,10800.0,10800.0
2025-04-22,0.75,56391.69992155171,0.0,33805.63467710123,0.0,33805.63467710123,10800.0,10800.0
2025-04-23,0.75,61101.972032606674,0.0,36058.008417091994,0.0,36058.008417091994,10800.0,10800.0
2025-04-24,0.75,58932.4480945182,0.0,35115.033452546806,0.0,35115.033452546806,10800.0,10800.0
2025-04-25,0.75,28408.75988873399,0.0,13785.332806736647,0.0,13785.332806736647,10800.0,10800.0
2025-04-26,0.75,28547.402712113028,0.0,13887.569271479822,0.0,13887.569271479822,10800.0,10800.0
2025-04-27,0.75,57605.896354433564,0.0,34172.08985661999,0.0,34172.08985661999,10800.0,10800.0
2025-04-28,0.75,56175.16165106607,4300.700983080164,33482.433954269174,29072.968391066126,62555.4023453353,10800.0,10800.0
2025-04-29,0.75,58315.36793686856,109.27866118175086,34601.610758026014,762.3279404038941,35363.938698429905,10800.0,10800.0
2025-04-30,0.75,58224.56046562502,0.0,34421.30029519734,0.0,34421.30029519734,10800.0,10800.0
2025-05-01,0.75,55106.40939357902,1778.5096291719235,33065.716008993084,11478.417165741568,44544.133174734656,10800.0,10249.317142059695
2025-05-02,0.7557362797702115,27793.82639346257,2098.6384930469562,13478.779601731236,12804.199390939448,26282.978992670684,10249.317142059695,9863.644991669853
2025-05-03,0.7597536980034391,28262.967840988633,1329.4110381416979,13856.53914968991,7458.014173463509,21314.55332315342,9863.644991669853,9694.929442999826
2025-05-04,0.7615111516354185,56608.903670730404,1248.9022552048475,33907.80014044534,7807.66939749218,41715.46953793752,9694.929442999826,9408.93815270487
2025-05-05,0.7644902275759909,59529.9359182946,1335.4017903945532,35339.97647075039,8812.976475469448,44152.95294621984,9408.93815270487,9204.329426884648
2025-05-06,0.7666215684699516,56819.33139711786,1028.517970638277,34301.23636430579,6572.421560616687,40873.657924922474,9204.329426884648,8832.079454243394
2025-05-07,0.7704991723516313,60080.68045198521,1456.0368044644817,35965.85404942046,9960.97182284091,45926.82587226137,8832.079454243394,8808.641974248036
2025-05-08,0.7707433127682496,61967.893079678724,35.999250000000075,37882.96690284935,243.22893262500048,38126.195835474355,8808.641974248036,9194.998399955553
2025-05-09,0.7667187666671297,31159.531490337948,0.0,16363.086363277876,0.0,16363.086363277876,9194.998399955553,9985.483651185079
2025-05-10,0.7584845453001554,30816.01692059389,0.0,16060.91747579153,0.0,16060.91747579153,9985.483651185079,10386.807700436293
2025-05-11,0.7543040864537887,61162.49809473088,41.18071666666674,37182.08231149963,277.36103945833383,37459.44335095797,10386.807700436293,10743.128036941407
2025-05-12,0.7505924162818604,62982.779050367215,0.0,38120.26798028227,0.0,38120.26798028227,10743.128036941407,10800.0
2025-05-13,0.75,61390.46605797263,0.0,37364.091640098726,0.0,37364.091640098726,10800.0,10800.0
2025-05-14,0.75,62690.922519371285,0.0,38094.043708451834,0.0,38094.043708451834,10800.0,10800.0
2025-05-15,0.75,62216.37631394281,0.0,37808.02579063387,0.0,37808.02579063387,10800.0,10800.0
2025-05-16,0.75,30480.121968286097,0.0,15929.506096667645,0.0,15929.506096667645,10800.0,10800.0
2025-05-17,0.75,30373.058708305325,0.0,15857.656857278074,0.0,15857.656857278074,10800.0,10800.0
2025-05-18,0.75,63126.144817085165,5.236666666666679,38212.997780659854,35.318698333333415,38248.31647899319,10800.0,10800.0
2025-05-19,0.75,62027.49450515185,67.00333333333344,37608.32400484215,451.9039816666674,38060.22798650882,10800.0,10800.0
2025-05-20,0.75,61709.13796183678,0.0,37392.102426980266,0.0,37392.102426980266,10800.0,10800.0
2025-05-21,0.75,61594.856700309494,23.022053556135393,37313.065447345216,146.08185759177962,37459.147304936996,10800.0,10800.0
2025-05-22,0.75,62140.38023357424,0.0,37848.35074466404,0.0,37848.35074466404,10800.0,10800.0
2025-05-23,0.75,30083.56199163981,0.0,15758.950230684868,0.0,15758.950230684868,10800.0,10800.0
2025-05-24,0.75,30629.76281772475,0.0,16227.026558308145,0.0,16227.026558308145,10800.0,10800.0
